Id,Title,Closest_Title,Closest_id,Closest_similarity
fre000001,"Argélie, Reine de Thessalie","Vasta, Reine de Bordélie",fre001123,0.58415
fre000002,Coriolan,Coriolan,fre001861,1.0
fre000003,Lyncée,Galatée,fre000822,0.99428
fre001461,Risette ou Les Millions de la Mansarde,Colombine Mannequin,fre001827,0.43078
fre001562,Diogène et Scapin,Les Fourberies de Scapin,fre001010,0.65051
fre001563,Gaieté Marseillaise,Olympie,fre001435,0.40448
fre000004,L'Homme qui ne Peut pas Siffler,Un Monsieur qui n'aime pas les Monologues,fre000630,0.3745
fre001821,Le Nouveau Né,La Nouveauté,fre000868,0.55835
fre001561,La Double Méprise,La Méprise,fre000942,0.7518
fre001564,Au Clair de la Lune,"Arlequin, Roi de la Lune",fre001614,0.63688
fre001565,Mascarille,Turcaret,fre001893,0.67813
fre001566,Molière à Shakespeare,Le Philinte de Molière,fre000610,0.64647
fre001567,Pygmalion,Herménégilde,fre000809,0.44735
fre001568,Smilis,Amarillis,fre001238,0.74631
fre001569,Polyxène,Polixène,fre000007,0.93835
fre000005,L'Avare Amoureux,L'Avare et son Ami,fre001467,0.66728
fre000006,Pan et Doris Pastorale,Cléagénor et Doristée,fre001246,0.52551
fre000007,Polixène,Polixène,fre000865,1.0
fre000008,Les Trois Spectacles Prologue,La Pièce et le Prologue,fre000501,0.71523
fre000009,L'Epreuve Réciproque,L'Epreuve,fre000064,0.67344
fre000010,L'Ecole des Bourgeois,Le Bourgeois Gentilhomme,fre000997,0.55752
fre000011,L'Hiver,Le Manteau Ecarlate,fre001354,0.36466
fre000012,Le Pauvre Bougre et le Bon Génie,Oh ! Voilà Bien le Diable !,fre000040,0.43575
fre000013,Un Mécontent,Les Désespérés de l'Opéra,fre000244,0.47079
fre001570,Une Idée Lumineuse,Une Fausse Invite,fre001112,0.36451
fre001822,Les Lilas Blancs,Les Libellistes,fre000093,0.47001
fre000014,Les Papilllotes,La Pupille,fre000613,0.52334
fre001501,Une Séduction,Le Séducteur,fre000131,0.76134
fre000015,"Anaximandre, Comédie.",Anaxandre,fre000578,0.67796
fre001571,La Comédienne,Les Comédiens,fre000478,0.81614
fre001573,Le Rêve du Mari,Le Rêve,fre001903,0.66541
fre001572,Les Etourdis,Le Sourd,fre000273,0.60679
fre000016,Molière et ses Amis ou La Soirée d'Auteuil,Le Souper d'Auteuil,fre000895,0.65745
fre001504,Dialogue de la Prude et de la Coquette,"La Coquette, ou L'Académie des Dames.",fre001207,0.48263
fre000017,Adam,Socrate,fre001446,0.99998
fre000018,Les Aventures de Ninette,Les Fourberies de Nérine,fre001583,0.43071
fre000019,Les Bonnes Gens,Les Sincères,fre000952,0.49268
fre000021,Fragment d'une Comédie Intitulée Chapelain Décoiffé [2],Fragment d'une Comédie Intitulée Chapelain Décoiffé.,fre000020,0.9522
fre000020,Fragment d'une Comédie Intitulée Chapelain Décoiffé.,Fragment d'une Comédie Intitulée Chapelain Décoiffé [2],fre000021,0.9522
fre000022,Le Club des Dames ou Le Retour de Descartes,"La Coquette, ou L'Académie des Dames.",fre001207,0.44342
fre001502,Dialogue d'Alcippe et de Dionice,Stratonice,fre001181,0.48185
fre000023,La Déroute des Précieuses,La Déroute des Précieuses,fre001159,1.0
fre001503,Dialogue des Yeux et de la Bouche,Dialogue des Yeux et de la Bouche,fre001793,1.0
fre000024,Dialogue entre Voltaire et Rousseau,Les Tragédies de M. de Voltaire,fre000210,0.51991
fre001575,Dialogue sur les Vacances et les Ennuis de l'Ecole,Les Vacances,fre000473,0.51656
fre000025,Le Jeu d'Esmorée,Le Pédant Joué,fre000424,0.46372
fre000026,Le Jus du Pelerin,La Fièvre de Palmerin,fre001309,0.47537
