,Alexandre le Grand,Alexandre le Grand,Andromaque,Andromaque,Artaxerce,Artaxerce,Don Juan ou Le Festin de Pierre,Don Juan ou Le Festin de Pierre,Médée,Médée (1682)
Alexandre le Grand,13.907115459442139,,,,,,,,,
Andromaque,261.623337328434,258.2495075762272,,,,,,,,
Andromaque,260.6052465736866,256.805801063776,11.25871467590332,,,,,,,
Artaxerce,266.49083192646503,263.62917912751436,314.7624212652445,314.7398600131273,,,,,,
Artaxerce,290.2932327836752,284.51893247663975,338.437073841691,338.6353832036257,339.78782700002193,,,,,
Don Juan ou Le Festin de Pierre,186.61411517858505,176.95153558254242,251.2328063249588,249.2074521780014,264.84001886844635,272.469313621521,,,,
Don Juan ou Le Festin de Pierre,637.3213466107845,633.1946320533752,669.536177188158,668.4911588281393,671.2773513197899,689.2170310765505,606.4645080566406,,,
Médée,230.43433144688606,226.7081546932459,285.25680731236935,283.86014418303967,293.35471946001053,306.9146020412445,214.3259418606758,658.34511102736,,
Médée (1682),226.01091957092285,221.44483184814453,282.28711618483067,280.5189104825258,290.2996730208397,306.4488289654255,208.44585931301117,653.6184254139662,21.758387684822083,
