Nom,Acte 1,Acte 2,Acte 3,Acte 4,Acte 5,Piece,Personnages
,,,,,,,
"Argélie, Reine de Thessalie","[{'#clytie', '#argelie'}, {'#argelie', '#timagene', '#phoenix'}, {'#timagene', '#ismene', '#phoenix'}, {'#timagene', '#clytie', '#phoenix', '#ismene'}]","[{'#clytie', '#dione', '#ismene'}, {'#arcas', '#ismene'}, {'#argelie', '#arcas', '#ismene'}, {'#dione', '#ismene'}, {'#timagene', '#ismene'}, {'#phoenix', '#ismene'}]","[{'#cleon', '#phoenix'}, {'#phoenix', '#ismene'}, {'#ismene', '#dione'}]","[{'#argelie', '#arcas'}, {'#argelie'}, {'#argelie', '#timagene'}, {'#argelie', '#ismene'}, {'#ismene', '#argelie', '#arcas', '#phoenix'}, {'#argelie'}, {'#argelie', '#arcas'}, {'#argelie'}]","[{'#dione', '#ismene'}, {'#arcas', '#ismene'}, {'#ismene', '#phoenix'}, {'#clytie', '#phoenix'}, {'#argelie', '#phoenix', '#ismene'}, {'#dione', '#ismene'}, {'#cleon', '#ismene'}, {'#phoenix', '#timagene', '#ismene'}]","[{'#clytie', '#argelie'}, {'#argelie', '#timagene', '#phoenix'}, {'#timagene', '#ismene', '#phoenix'}, {'#timagene', '#clytie', '#phoenix', '#ismene'}, {'#clytie', '#dione', '#ismene'}, {'#arcas', '#ismene'}, {'#argelie', '#arcas', '#ismene'}, {'#dione', '#ismene'}, {'#timagene', '#ismene'}, {'#phoenix', '#ismene'}, {'#cleon', '#phoenix'}, {'#phoenix', '#ismene'}, {'#ismene', '#dione'}, {'#argelie', '#arcas'}, {'#argelie'}, {'#argelie', '#timagene'}, {'#argelie', '#ismene'}, {'#ismene', '#argelie', '#arcas', '#phoenix'}, {'#argelie'}, {'#argelie', '#arcas'}, {'#argelie'}, {'#dione', '#ismene'}, {'#arcas', '#ismene'}, {'#ismene', '#phoenix'}, {'#clytie', '#phoenix'}, {'#argelie', '#phoenix', '#ismene'}, {'#dione', '#ismene'}, {'#cleon', '#ismene'}, {'#phoenix', '#timagene', '#ismene'}]","{'#cleon', '#timagene', '#ismene', '#phoenix', '#arcas', '#clytie', '#argelie', '#dione'}"
,,,,,,,
Coriolan,"[{'#coriolan', '#albin'}, {'#aufide', '#coriolan'}, {'#coriolan', '#albin'}, {'#virgile', '#coriolan'}]","[{'#camille', '#sabine'}, {'#camille', '#virgile', '#sabine'}, {'#camille', '#coriolan'}, {'#coriolan', '#albin'}, {'#aufide', '#coriolan'}]","[{'#coriolan', '#virgile'}, {'#virgile', '#coriolan', '#albin'}, {'#camille', '#coriolan'}, {'#camille', '#coriolan', '#albin'}, {'#camille'}]","[{'#aufide', '#camille'}, {'#aufide', '#coriolan'}, {'#coriolan', '#albin'}, {'#virgile', '#coriolan'}]","[{'#aufide', '#virgile'}, {'#virgile'}, {'#virgile', '#albin'}, {'#virgile', '#sabine', '#albin'}, {'#camille', '#virgile', '#sabine'}]","[{'#coriolan', '#albin'}, {'#aufide', '#coriolan'}, {'#coriolan', '#albin'}, {'#virgile', '#coriolan'}, {'#camille', '#sabine'}, {'#camille', '#virgile', '#sabine'}, {'#camille', '#coriolan'}, {'#coriolan', '#albin'}, {'#aufide', '#coriolan'}, {'#coriolan', '#virgile'}, {'#virgile', '#coriolan', '#albin'}, {'#camille', '#coriolan'}, {'#camille', '#coriolan', '#albin'}, {'#camille'}, {'#aufide', '#camille'}, {'#aufide', '#coriolan'}, {'#coriolan', '#albin'}, {'#virgile', '#coriolan'}, {'#aufide', '#virgile'}, {'#virgile'}, {'#virgile', '#albin'}, {'#virgile', '#sabine', '#albin'}, {'#camille', '#virgile', '#sabine'}]","{'#aufide', '#coriolan', '#sabine', '#albin', '#camille', '#virgile'}"
,,,,,,,
Lyncée,"[{'#iphis', '#erigone'}, {'#dirce', '#erigone'}, {'#erigone', '#danaüs'}]","[{'#lyncee', '#hypermestre'}, {'#lyncee', '#danaüs', '#hypermestre'}, {'#danaüs', '#hypermestre'}, {'#hypermestre'}]","[{'#dirce', '#erigone'}, {'#iphis', '#erigone'}, {'#erigone', '#danaüs'}, {'#erigone'}, {'#dirce', '#erigone'}, {'#lyncee', '#erigone'}, {'#lyncee', '#hypermestre'}]","[{'#iphis', '#danaüs'}, {'#danaüs', '#hypermestre'}, {'#iphis', '#danaüs', '#hypermestre'}, {'#danaüs'}, {'#erigone', '#danaüs'}, {'#lycaste', '#danaüs'}]","[{'#iphis', '#erigone'}, {'#erigone'}, {'#erigone', '#danaüs', '#hypermestre'}, {'#erigone', '#hypermestre'}, {'#lycaste', '#erigone', '#hypermestre'}, {'#lyncee', '#hypermestre'}]","[{'#iphis', '#erigone'}, {'#dirce', '#erigone'}, {'#erigone', '#danaüs'}, {'#lyncee', '#hypermestre'}, {'#lyncee', '#danaüs', '#hypermestre'}, {'#danaüs', '#hypermestre'}, {'#hypermestre'}, {'#dirce', '#erigone'}, {'#iphis', '#erigone'}, {'#erigone', '#danaüs'}, {'#erigone'}, {'#dirce', '#erigone'}, {'#lyncee', '#erigone'}, {'#lyncee', '#hypermestre'}, {'#iphis', '#danaüs'}, {'#danaüs', '#hypermestre'}, {'#iphis', '#danaüs', '#hypermestre'}, {'#danaüs'}, {'#erigone', '#danaüs'}, {'#lycaste', '#danaüs'}, {'#iphis', '#erigone'}, {'#erigone'}, {'#erigone', '#danaüs', '#hypermestre'}, {'#erigone', '#hypermestre'}, {'#lycaste', '#erigone', '#hypermestre'}, {'#lyncee', '#hypermestre'}]","{'#lycaste', '#hypermestre', '#dirce', '#erigone', '#lyncee', '#iphis', '#danaüs'}"
,,,,,,,
Risette ou Les Millions de la Mansarde,"[{'#risette'}, {'#evelina', '#risette'}, {'#evelina'}, {'#evelina', '#antonin'}, {'#antonin'}, {'#risette', '#evelina', '#antonin'}, {'#risette', '#evelina', '#antonin'}, {'#evelina', '#antonin'}, {'#antonin'}, {'#antonin', '#le-portier', '#evelina', '#risette'}, {'#evelina', '#antonin'}, {'#risette', '#evelina', '#antonin'}]",[],[],[],[],"[{'#risette'}, {'#evelina', '#risette'}, {'#evelina'}, {'#evelina', '#antonin'}, {'#antonin'}, {'#risette', '#evelina', '#antonin'}, {'#risette', '#evelina', '#antonin'}, {'#evelina', '#antonin'}, {'#antonin'}, {'#antonin', '#le-portier', '#evelina', '#risette'}, {'#evelina', '#antonin'}, {'#risette', '#evelina', '#antonin'}]","{'#risette', '#evelina', '#le-portier', '#antonin'}"
,,,,,,,
L'Homme qui ne Peut pas Siffler,[{'#un-homme'}],[],[],[],[],[{'#un-homme'}],{'#un-homme'}
,,,,,,,
L'Avare Amoureux,"[{'#nerine', '#argante'}, {'#nerine'}, {'#julie', '#nerine'}, {'#julie', '#nerine', '#valere', '#dorimene'}, {'#nerine', '#argante'}, {'#argante'}, {'#julie', '#nerine', '#argante'}, {'#argante'}, {'#dorimene', '#argante'}, {'#dorimene', '#nerine'}, {'#nerine', '#argante'}, {'#nerine'}, {'#nerine', '#valere'}, {'#julie', '#nerine', '#valere'}, {'#nerine', '#geronte'}, {'#nerine'}, {'#nerine', '#argante'}, {'#nerine', '#argante', '#geronte'}, {'#argante', '#monsieur-subtil', '#geronte', '#monsieur-courte-ligne'}, {'#dorimene', '#argante', '#geronte'}, {'#dorimene', '#nerine', '#geronte'}, {'#argante', '#monsieur-subtil'}]",[],[],[],[],"[{'#nerine', '#argante'}, {'#nerine'}, {'#julie', '#nerine'}, {'#julie', '#nerine', '#valere', '#dorimene'}, {'#nerine', '#argante'}, {'#argante'}, {'#julie', '#nerine', '#argante'}, {'#argante'}, {'#dorimene', '#argante'}, {'#dorimene', '#nerine'}, {'#nerine', '#argante'}, {'#nerine'}, {'#nerine', '#valere'}, {'#julie', '#nerine', '#valere'}, {'#nerine', '#geronte'}, {'#nerine'}, {'#nerine', '#argante'}, {'#nerine', '#argante', '#geronte'}, {'#argante', '#monsieur-subtil', '#geronte', '#monsieur-courte-ligne'}, {'#dorimene', '#argante', '#geronte'}, {'#dorimene', '#nerine', '#geronte'}, {'#argante', '#monsieur-subtil'}]","{'#geronte', '#monsieur-courte-ligne', '#julie', '#nerine', '#monsieur-subtil', '#valere', '#dorimene', '#argante'}"
,,,,,,,
