Nom,Genre,Date,Nombre actes,Nombre de scenes,Acte 1,Acte 2,Acte 3,Acte 4,Acte 5,Piece,Personnages
Le Quinze Janvier,A propos,1860,1,3,"[{'#l-actrice', '#le-poete'}, {'#le-poete'}, {'#le-poete', '#moliere'}]",[],[],[],[],"[{'#l-actrice', '#le-poete'}, {'#le-poete'}, {'#le-poete', '#moliere'}]","{'#l-actrice', '#le-poete', '#moliere'}"
Au Déclin,À propos,1895,1,9,"[{'#racine', '#manicamp'}, {'#racine'}, {'#racine', '#laure'}, {'#racine'}, {'#racine', '#madame-de-maintenon'}, {'#racine', '#le-roi', '#madame-de-maintenon'}, {'#racine'}, {'#racine', '#laure'}, {'#racine', '#laure', '#madame-de-maintenon'}]",[],[],[],[],"[{'#racine', '#manicamp'}, {'#racine'}, {'#racine', '#laure'}, {'#racine'}, {'#racine', '#madame-de-maintenon'}, {'#racine', '#le-roi', '#madame-de-maintenon'}, {'#racine'}, {'#racine', '#laure'}, {'#racine', '#laure', '#madame-de-maintenon'}]","{'#manicamp', '#racine', '#madame-de-maintenon', '#laure', '#le-roi'}"
Horatius Coclès.,Acte lyrique,1794,1,9,"[{'#choeur-des-romaines', '#choeur-des-romains', '#le-choeur', '#horace', '#valerius'}, {'#choeur-general', '#mutius', '#le-choeur', '#le-peuple', '#horace', '#valerius'}, {'#horace', '#valerius'}, {'#horace'}, {'#le-soldat', '#un-romain', '#horace'}, {'#le-jeune-horace', '#un-romain', '#le-depute', '#horace'}, {'#le-choeur', '#un-soldat', '#un-romain', '#horace'}, {'#mutius', '#le-choeur', '#horace'}, {'#valerius', '#choeur-general', '#horace'}]",[],[],[],[],"[{'#choeur-des-romaines', '#choeur-des-romains', '#le-choeur', '#horace', '#valerius'}, {'#choeur-general', '#mutius', '#le-choeur', '#le-peuple', '#horace', '#valerius'}, {'#horace', '#valerius'}, {'#horace'}, {'#le-soldat', '#un-romain', '#horace'}, {'#le-jeune-horace', '#un-romain', '#le-depute', '#horace'}, {'#le-choeur', '#un-soldat', '#un-romain', '#horace'}, {'#mutius', '#le-choeur', '#horace'}, {'#valerius', '#choeur-general', '#horace'}]","{'#le-soldat', '#choeur-general', '#choeur-des-romaines', '#un-soldat', '#choeur-des-romains', '#mutius', '#le-choeur', '#le-peuple', '#le-jeune-horace', '#horace', '#un-romain', '#le-depute', '#valerius'}"
Les Ecosseuses de la Halle,Ambigu poissard,1767,1,13,"[{'#fanchon', '#margot'}, {'#jerome', '#fanchon', '#le-marchand', '#margot'}, {'#genevieve', '#fanchon', '#margot', '#le-marchand', '#jerome'}, {'#marie-jeanne', '#fanchon', '#babet', '#margot'}, {'#tous-trois', '#marie-jeanne', '#la-fermiere', '#babet'}, {'#fanchon', '#la-fermiere', '#margot'}, {'#genevieve', '#jerome', '#margot'}, {'#jerome', '#fanchon', '#belle-rose', '#margot'}, {'#manon', '#margot', '#belle-rose', '#la-marchande'}, {'#fanchon', '#la-bouquetiere', '#margot', '#la-marchande', '#le-perruquier'}, {'#genevieve', '#fanchon', '#belle-rose', '#la-bouquetiere', '#margot', '#jerome', '#le-petit-maitre'}, {'#jerome', '#margot', '#belle-rose', '#fanchon'}, {'#le-violon', '#genevieve', '#l-aveugle', '#fanchon', '#belle-rose', '#la-bouquetiere', '#la-marchande', '#margot', '#babet', '#le-marchand', '#jerome', '#marie-jeanne', '#le-perruquier'}]",[],[],[],[],"[{'#fanchon', '#margot'}, {'#jerome', '#fanchon', '#le-marchand', '#margot'}, {'#genevieve', '#fanchon', '#margot', '#le-marchand', '#jerome'}, {'#marie-jeanne', '#fanchon', '#babet', '#margot'}, {'#tous-trois', '#marie-jeanne', '#la-fermiere', '#babet'}, {'#fanchon', '#la-fermiere', '#margot'}, {'#genevieve', '#jerome', '#margot'}, {'#jerome', '#fanchon', '#belle-rose', '#margot'}, {'#manon', '#margot', '#belle-rose', '#la-marchande'}, {'#fanchon', '#la-bouquetiere', '#margot', '#la-marchande', '#le-perruquier'}, {'#genevieve', '#fanchon', '#belle-rose', '#la-bouquetiere', '#margot', '#jerome', '#le-petit-maitre'}, {'#jerome', '#margot', '#belle-rose', '#fanchon'}, {'#le-violon', '#genevieve', '#l-aveugle', '#fanchon', '#belle-rose', '#la-bouquetiere', '#la-marchande', '#margot', '#babet', '#le-marchand', '#jerome', '#marie-jeanne', '#le-perruquier'}]","{'#genevieve', '#le-violon', '#l-aveugle', '#fanchon', '#belle-rose', '#tous-trois', '#manon', '#margot', '#le-marchand', '#babet', '#la-fermiere', '#la-marchande', '#la-bouquetiere', '#jerome', '#marie-jeanne', '#le-petit-maitre', '#le-perruquier'}"
Chapelle et Boileau,Anecdote,1846,1,1,"[{'#chapelle', '#la-servante', '#boileau'}]",[],[],[],[],"[{'#chapelle', '#la-servante', '#boileau'}]","{'#chapelle', '#la-servante', '#boileau'}"
Potemkin,Anecdote dramatique,1861,1,6,"[{'#le-major', '#potemkin', '#la-comtesse'}, {'#mouravieff', '#potemkin', '#la-comtesse'}, {'#catherine', '#potemkin'}, {'#potemkin'}, {'#mouravieff', '#potemkin'}, {'#catherine', '#l-ambassadeur-de-prusse', '#la-comtesse', '#le-prince-de-ligne', '#momonoff', '#le-comte-momonoff', '#l-ambassadeur-d-angleterre', '#potemkin', '#le-prlnge-de-ligne'}]",[],[],[],[],"[{'#le-major', '#potemkin', '#la-comtesse'}, {'#mouravieff', '#potemkin', '#la-comtesse'}, {'#catherine', '#potemkin'}, {'#potemkin'}, {'#mouravieff', '#potemkin'}, {'#catherine', '#l-ambassadeur-de-prusse', '#la-comtesse', '#le-prince-de-ligne', '#momonoff', '#le-comte-momonoff', '#l-ambassadeur-d-angleterre', '#potemkin', '#le-prlnge-de-ligne'}]","{'#l-ambassadeur-de-prusse', '#catherine', '#la-comtesse', '#le-prince-de-ligne', '#momonoff', '#le-major', '#le-comte-momonoff', '#mouravieff', '#l-ambassadeur-d-angleterre', '#potemkin', '#le-prlnge-de-ligne'}"
La Fête Séculaire de Corneille,Apologie,1785,1,10,"[{'#alcipe'}, {'#alcipe', '#philiste'}, {'#thalie', '#ariste'}, {'#alcipe', '#thalie'}, {'#alcipe', '#thalie'}, {'#melpomene', '#thalie'}, {'#melpomene', '#thalie', '#cliton'}, {'#melpomene', '#le-grec', '#le-romain', '#rodrigue'}, {'#melpomene', '#thalie'}, {'#melpomene', '#thalie', '#le-temps'}]",[],[],[],[],"[{'#alcipe'}, {'#alcipe', '#philiste'}, {'#thalie', '#ariste'}, {'#alcipe', '#thalie'}, {'#alcipe', '#thalie'}, {'#melpomene', '#thalie'}, {'#melpomene', '#thalie', '#cliton'}, {'#melpomene', '#le-grec', '#le-romain', '#rodrigue'}, {'#melpomene', '#thalie'}, {'#melpomene', '#thalie', '#le-temps'}]","{'#melpomene', '#le-grec', '#le-romain', '#rodrigue', '#philiste', '#le-temps', '#alcipe', '#cliton', '#thalie', '#ariste'}"
Aricie,Ballet,1697,4,26,"[{'#elise'}, {'#arcas', '#elise'}, {'#alcipe', '#arcas', '#tous-deux'}, {'#alcipe'}, {'#choeur', '#une-bergere', '#une-princesse-coquette'}]","[{'#alcipe', '#fernand'}, {'#elise'}, {'#alcipe', '#elise'}, {'#aricie', '#elise'}, {'#aricie'}, {'#aricie', '#fernand'}, {'#fernand', '#elise'}, {'#choeur', '#deux-amants-heureux', '#l-amant', '#deux-amantes', '#l-amante'}, {'#aricie', '#elise'}]","[{'#aristandre'}, {'#aricie', '#aristandre'}, {'#le-demon', '#choeur'}, {'#aristandre'}]","[{'#alcipe', '#fernand'}, {'#alcipe', '#elise'}, {'#arcas', '#elise'}, {'#aricie', '#elise'}, {'#fernand'}, {'#aricie'}, {'#florinde', '#fernand', '#aricie'}, {'#choeur', '#fernand', '#elise', '#habitans-de-l-ile-inconnue'}]",[],"[{'#elise'}, {'#arcas', '#elise'}, {'#alcipe', '#arcas', '#tous-deux'}, {'#alcipe'}, {'#choeur', '#une-bergere', '#une-princesse-coquette'}, {'#alcipe', '#fernand'}, {'#elise'}, {'#alcipe', '#elise'}, {'#aricie', '#elise'}, {'#aricie'}, {'#aricie', '#fernand'}, {'#fernand', '#elise'}, {'#choeur', '#deux-amants-heureux', '#l-amant', '#deux-amantes', '#l-amante'}, {'#aricie', '#elise'}, {'#aristandre'}, {'#aricie', '#aristandre'}, {'#le-demon', '#choeur'}, {'#aristandre'}, {'#alcipe', '#fernand'}, {'#alcipe', '#elise'}, {'#arcas', '#elise'}, {'#aricie', '#elise'}, {'#fernand'}, {'#aricie'}, {'#florinde', '#fernand', '#aricie'}, {'#choeur', '#fernand', '#elise', '#habitans-de-l-ile-inconnue'}]","{'#choeur', '#une-bergere', '#elise', '#une-princesse-coquette', '#arcas', '#tous-deux', '#habitans-de-l-ile-inconnue', '#alcipe', '#fernand', '#aricie', '#aristandre', '#deux-amants-heureux', '#le-demon', '#l-amant', '#deux-amantes', '#florinde', '#l-amante'}"
La Fête de la Seine,Ballet,1690,1,2,"[{'#l-ocean', '#thetis'}, {'#l-ocean', '#ensemble', '#le-pactole', '#une-jeune-fontaine-et-un-ruisseau', '#deux-nereides', '#thetis', '#le-gange', '#tous-ensemble', '#deux-jeunes-ruisseaux', '#le-danube', '#le-gange-et-le-nil', '#deux-tritons', '#le-nil', '#la-seine'}]",[],[],[],[],"[{'#l-ocean', '#thetis'}, {'#l-ocean', '#ensemble', '#le-pactole', '#une-jeune-fontaine-et-un-ruisseau', '#deux-nereides', '#thetis', '#le-gange', '#tous-ensemble', '#deux-jeunes-ruisseaux', '#le-danube', '#le-gange-et-le-nil', '#deux-tritons', '#le-nil', '#la-seine'}]","{'#l-ocean', '#ensemble', '#le-pactole', '#une-jeune-fontaine-et-un-ruisseau', '#deux-nereides', '#thetis', '#le-gange', '#tous-ensemble', '#deux-jeunes-ruisseaux', '#le-danube', '#le-gange-et-le-nil', '#deux-tritons', '#le-nil', '#la-seine'}"
Le Carnaval de Venise,Ballet,1699,5,34,"[{'#le-choeur', '#l-ordonnateur'}, {'#le-choeur', '#minerve', '#l-ordonnateur'}, {'#minerve', '#le-choeur', '#suivant-de-la-musique', '#l-ordonnateur'}]","[{'#leonore'}, {'#isabelle', '#leonore'}, {'#leandre', '#isabelle', '#leonore'}, {'#leandre'}, {'#une-musicienne', '#la-musicienne', '#un-esclavon', '#le-choeur', '#un-armenien', '#une-bohemienne'}, {'#leandre', '#isabelle'}]","[{'#rodolphe'}, {'#ensemble', '#leonore', '#rodolphe'}, {'#choeur', '#la-fortune', '#un-masque'}, {'#rodolphe'}, {'#leandre', '#trio-italien'}, {'#leandre', '#isabelle'}, {'#rodolphe'}, {'#isabelle', '#rodolphe'}, {'#rodolphe'}]","[{'#leonore'}, {'#leonore', '#rodolphe'}, {'#rodolphe'}, {'#le-choeur', '#un-barquerolle', '#un-chef-des-castellans', '#une-castellane'}, {'#isabelle'}, {'#leandre', '#isabelle'}]","[{'#le-choeur', '#pluton'}, {'#orphee', '#pluton'}, {'#orphee'}, {'#ombre-heureuse'}, {'#eurydice'}, {'#orphee', '#eurydice'}, {'#orphee', '#pluton', '#eurydice'}, {'#le-choeur', '#pluton'}, {'#leandre'}, {'#le-carnaval', '#le-choeur'}]","[{'#le-choeur', '#l-ordonnateur'}, {'#le-choeur', '#minerve', '#l-ordonnateur'}, {'#minerve', '#le-choeur', '#suivant-de-la-musique', '#l-ordonnateur'}, {'#leonore'}, {'#isabelle', '#leonore'}, {'#leandre', '#isabelle', '#leonore'}, {'#leandre'}, {'#une-musicienne', '#la-musicienne', '#un-esclavon', '#le-choeur', '#un-armenien', '#une-bohemienne'}, {'#leandre', '#isabelle'}, {'#rodolphe'}, {'#ensemble', '#leonore', '#rodolphe'}, {'#choeur', '#la-fortune', '#un-masque'}, {'#rodolphe'}, {'#leandre', '#trio-italien'}, {'#leandre', '#isabelle'}, {'#rodolphe'}, {'#isabelle', '#rodolphe'}, {'#rodolphe'}, {'#leonore'}, {'#leonore', '#rodolphe'}, {'#rodolphe'}, {'#le-choeur', '#un-barquerolle', '#un-chef-des-castellans', '#une-castellane'}, {'#isabelle'}, {'#leandre', '#isabelle'}, {'#le-choeur', '#pluton'}, {'#orphee', '#pluton'}, {'#orphee'}, {'#ombre-heureuse'}, {'#eurydice'}, {'#orphee', '#eurydice'}, {'#orphee', '#pluton', '#eurydice'}, {'#le-choeur', '#pluton'}, {'#leandre'}, {'#le-carnaval', '#le-choeur'}]","{'#choeur', '#un-esclavon', '#orphee', '#isabelle', '#la-fortune', '#eurydice', '#trio-italien', '#la-musicienne', '#un-masque', '#leandre', '#suivant-de-la-musique', '#ombre-heureuse', '#une-musicienne', '#ensemble', '#un-chef-des-castellans', '#rodolphe', '#le-choeur', '#un-armenien', '#une-castellane', '#l-ordonnateur', '#un-barquerolle', '#leonore', '#minerve', '#le-carnaval', '#une-bohemienne', '#pluton'}"
Les Muses Galantes,Ballet,1743,4,21,"[{'#le-choeur', '#l-amour', '#la-gloire'}]","[{'#egle', '#doris'}, {'#hesiode'}, {'#egle', '#un-songe'}, {'#hesiode'}, {'#le-choeur', '#hesiode'}, {'#hesiode', '#euterpe'}, {'#le-choeur', '#doris'}]","[{'#ovide'}, {'#erithie'}, {'#le-choeur', '#ovide', '#homme', '#erithie'}, {'#ovide', '#erithie'}, {'#le-choeur', '#ovide', '#chef-des-sarmates'}]","[{'#polycrate', '#anacreon'}, {'#polycrate', '#troupe-de-sammiennes', '#anacreon'}, {'#polycrate'}, {'#themire', '#polycrate'}, {'#themire'}, {'#themire', '#anacreon'}, {'#themire', '#polycrate'}, {'#le-choeur', '#anacreon'}]",[],"[{'#le-choeur', '#l-amour', '#la-gloire'}, {'#egle', '#doris'}, {'#hesiode'}, {'#egle', '#un-songe'}, {'#hesiode'}, {'#le-choeur', '#hesiode'}, {'#hesiode', '#euterpe'}, {'#le-choeur', '#doris'}, {'#ovide'}, {'#erithie'}, {'#le-choeur', '#ovide', '#homme', '#erithie'}, {'#ovide', '#erithie'}, {'#le-choeur', '#ovide', '#chef-des-sarmates'}, {'#polycrate', '#anacreon'}, {'#polycrate', '#troupe-de-sammiennes', '#anacreon'}, {'#polycrate'}, {'#themire', '#polycrate'}, {'#themire'}, {'#themire', '#anacreon'}, {'#themire', '#polycrate'}, {'#le-choeur', '#anacreon'}]","{'#ovide', '#erithie', '#anacreon', '#troupe-de-sammiennes', '#un-songe', '#themire', '#le-choeur', '#doris', '#polycrate', '#homme', '#chef-des-sarmates', '#l-amour', '#la-gloire', '#egle', '#hesiode', '#euterpe'}"
Les Rieurs du Beau-Richard,Ballet,1659,1,9,"[{'#rieur'}, {'#marchand'}, {'#cribleurs', '#le-marchand'}, {'#le-savetier', '#le-marchand'}, {'#le-savetier', '#le-marchand', '#le-notaire'}, {'#le-meunier', '#l-ane'}, {'#le-marchand', '#la-femme'}, {'#le-marchand', '#le-patissier', '#la-femme'}, {'#le-savetier', '#le-marchand'}]",[],[],[],[],"[{'#rieur'}, {'#marchand'}, {'#cribleurs', '#le-marchand'}, {'#le-savetier', '#le-marchand'}, {'#le-savetier', '#le-marchand', '#le-notaire'}, {'#le-meunier', '#l-ane'}, {'#le-marchand', '#la-femme'}, {'#le-marchand', '#le-patissier', '#la-femme'}, {'#le-savetier', '#le-marchand'}]","{'#le-notaire', '#la-femme', '#le-patissier', '#le-meunier', '#l-ane', '#le-savetier', '#le-marchand', '#marchand', '#cribleurs', '#rieur'}"
Maître Galimathias pour le Grand Bal,Ballet,1626,1,2,"[{'#pour-les-eunuques', '#le-grand-cam', '#atabalipa', '#le-baillis-de-frisland', '#un-grenadin', '#mahomet', '#les-grenadins', '#le-grand-turc', '#le-grand-cacique', '#le-baillif-de-groënland'}, {'#le-fanfan', '#la-douairiere'}]",[],[],[],[],"[{'#pour-les-eunuques', '#le-grand-cam', '#atabalipa', '#le-baillis-de-frisland', '#un-grenadin', '#mahomet', '#les-grenadins', '#le-grand-turc', '#le-grand-cacique', '#le-baillif-de-groënland'}, {'#le-fanfan', '#la-douairiere'}]","{'#pour-les-eunuques', '#le-grand-cam', '#atabalipa', '#le-baillis-de-frisland', '#un-grenadin', '#mahomet', '#le-fanfan', '#les-grenadins', '#le-grand-turc', '#le-grand-cacique', '#la-douairiere', '#le-baillif-de-groënland'}"
L'Engagement Téméraire,Bergerie,1747,3,22,"[{'#eliante', '#isabelle'}, {'#dorante'}, {'#dorante', '#carlin'}, {'#dorante', '#lisette'}, {'#dorante', '#isabelle', '#lisette'}, {'#isabelle', '#lisette'}]","[{'#isabelle', '#lisette'}, {'#carlin'}, {'#eliante', '#carlin'}, {'#carlin'}, {'#lisette', '#carlin'}, {'#isabelle', '#carlin'}, {'#dorante', '#carlin'}, {'#dorante', '#isabelle'}, {'#dorante'}]","[{'#dorante', '#lisette', '#valere'}, {'#dorante'}, {'#eliante', '#valere'}, {'#eliante', '#isabelle', '#lisette', '#valere'}, {'#dorante', '#un-laquais', '#isabelle', '#lisette'}, {'#dorante', '#le-notaire', '#valere', '#isabelle', '#eliante', '#lisette'}, {'#dorante', '#carlin', '#valere', '#isabelle', '#eliante', '#lisette'}]",[],[],"[{'#eliante', '#isabelle'}, {'#dorante'}, {'#dorante', '#carlin'}, {'#dorante', '#lisette'}, {'#dorante', '#isabelle', '#lisette'}, {'#isabelle', '#lisette'}, {'#isabelle', '#lisette'}, {'#carlin'}, {'#eliante', '#carlin'}, {'#carlin'}, {'#lisette', '#carlin'}, {'#isabelle', '#carlin'}, {'#dorante', '#carlin'}, {'#dorante', '#isabelle'}, {'#dorante'}, {'#dorante', '#lisette', '#valere'}, {'#dorante'}, {'#eliante', '#valere'}, {'#eliante', '#isabelle', '#lisette', '#valere'}, {'#dorante', '#un-laquais', '#isabelle', '#lisette'}, {'#dorante', '#le-notaire', '#valere', '#isabelle', '#eliante', '#lisette'}, {'#dorante', '#carlin', '#valere', '#isabelle', '#eliante', '#lisette'}]","{'#dorante', '#un-laquais', '#le-notaire', '#carlin', '#valere', '#isabelle', '#eliante', '#lisette'}"
Le Devin du Village,Bergerie,1753,1,8,"[{'#colette'}, {'#colette', '#le-devin'}, {'#le-devin'}, {'#le-devin', '#colin'}, {'#colin'}, {'#colette', '#colin'}, {'#le-devin', '#colin'}, {'#choeur', '#ensemble', '#les-villageoises', '#colette', '#le-choeur', '#le-devin', '#colin'}]",[],[],[],[],"[{'#colette'}, {'#colette', '#le-devin'}, {'#le-devin'}, {'#le-devin', '#colin'}, {'#colin'}, {'#colette', '#colin'}, {'#le-devin', '#colin'}, {'#choeur', '#ensemble', '#les-villageoises', '#colette', '#le-choeur', '#le-devin', '#colin'}]","{'#choeur', '#ensemble', '#les-villageoises', '#colette', '#le-choeur', '#le-devin', '#colin'}"
Paul et Pauline,Coémdie,1867,1,8,"[{'#pauline', '#monsieur-valbray'}, {'#pauline', '#paul', '#monsieur-valbray'}, {'#pauline', '#paul'}, {'#pauline', '#paul', '#monsieur-valbray'}, {'#pauline', '#monsieur-valbray'}, {'#monsieur-valbray'}, {'#paul', '#monsieur-valbray'}, {'#pauline', '#paul', '#monsieur-valbray'}]",[],[],[],[],"[{'#pauline', '#monsieur-valbray'}, {'#pauline', '#paul', '#monsieur-valbray'}, {'#pauline', '#paul'}, {'#pauline', '#paul', '#monsieur-valbray'}, {'#pauline', '#monsieur-valbray'}, {'#monsieur-valbray'}, {'#paul', '#monsieur-valbray'}, {'#pauline', '#paul', '#monsieur-valbray'}]","{'#pauline', '#paul', '#monsieur-valbray'}"
Adélaïde et Vermouth,Comédie,1870,1,8,"[{'#adelaïde'}, {'#voix-d-une-marchande-de-plaisirs', '#vermouth', '#adelaïde'}, {'#adelaïde'}, {'#vermouth', '#adelaïde'}, {'#vermouth'}, {'#vermouth', '#adelaïde'}, {'#adelaïde'}, {'#vermouth', '#adelaïde'}]",[],[],[],[],"[{'#adelaïde'}, {'#voix-d-une-marchande-de-plaisirs', '#vermouth', '#adelaïde'}, {'#adelaïde'}, {'#vermouth', '#adelaïde'}, {'#vermouth'}, {'#vermouth', '#adelaïde'}, {'#adelaïde'}, {'#vermouth', '#adelaïde'}]","{'#vermouth', '#adelaïde', '#voix-d-une-marchande-de-plaisirs'}"
Agar dans le Désert,Comédie,1829,1,2,"[{'#ismaël', '#agar', '#l-ange'}, {'#agar', '#ismaël', '#l-ange'}]",[],[],[],[],"[{'#ismaël', '#agar', '#l-ange'}, {'#agar', '#ismaël', '#l-ange'}]","{'#ismaël', '#agar', '#l-ange'}"
Aldo le Rimeur,Comédie,1833,2,8,"[{'#aldo', '#tickle'}, {'#aldo', '#meg'}, {'#tickle', '#aldo', '#la-reine', '#jane'}]","[{'#la-reine', '#tickle'}, {'#la-reine', '#tickle'}, {'#aldo', '#la-reine'}, {'#aldo'}, {'#acroceronius', '#aldo'}]",[],[],[],"[{'#aldo', '#tickle'}, {'#aldo', '#meg'}, {'#tickle', '#aldo', '#la-reine', '#jane'}, {'#la-reine', '#tickle'}, {'#la-reine', '#tickle'}, {'#aldo', '#la-reine'}, {'#aldo'}, {'#acroceronius', '#aldo'}]","{'#meg', '#jane', '#tickle', '#acroceronius', '#la-reine', '#aldo'}"
"Alfonse Dit l'Impuissant, Tragédie en un Acte",Comédie,1740,1,11,"[{'#alcimadure'}, {'#alfonse', '#alcimadure'}, {'#alcimadure'}, {'#leonor', '#alcimadure'}, {'#leonor'}, {'#leonor', '#alvares'}, {'#alvares'}, {'#alcimadure', '#alvares'}, {'#alcimadure'}, {'#alfonse'}, {'#alcimadure', '#alfonse', '#alvares'}]",[],[],[],[],"[{'#alcimadure'}, {'#alfonse', '#alcimadure'}, {'#alcimadure'}, {'#leonor', '#alcimadure'}, {'#leonor'}, {'#leonor', '#alvares'}, {'#alvares'}, {'#alcimadure', '#alvares'}, {'#alcimadure'}, {'#alfonse'}, {'#alcimadure', '#alfonse', '#alvares'}]","{'#alvares', '#leonor', '#alfonse', '#alcimadure'}"
Alzate ou Le Préjugé Détruit,Comédie,1752,1,14,"[{'#oronte', '#ariste'}, {'#ariste'}, {'#ariste', '#le-valet'}, {'#valere', '#ariste'}, {'#egle', '#lisette', '#ariste'}, {'#ariste'}, {'#alzate', '#lisette', '#ariste'}, {'#alzate', '#valere', '#ariste'}, {'#ariste'}, {'#egle', '#alzate', '#lisette', '#ariste'}, {'#valere', '#egle', '#alzate'}, {'#egle', '#oronte', '#alzate', '#ariste'}, {'#oronte', '#alzate'}, {'#egle', '#valere', '#oronte', '#alzate'}]",[],[],[],[],"[{'#oronte', '#ariste'}, {'#ariste'}, {'#ariste', '#le-valet'}, {'#valere', '#ariste'}, {'#egle', '#lisette', '#ariste'}, {'#ariste'}, {'#alzate', '#lisette', '#ariste'}, {'#alzate', '#valere', '#ariste'}, {'#ariste'}, {'#egle', '#alzate', '#lisette', '#ariste'}, {'#valere', '#egle', '#alzate'}, {'#egle', '#oronte', '#alzate', '#ariste'}, {'#oronte', '#alzate'}, {'#egle', '#valere', '#oronte', '#alzate'}]","{'#valere', '#oronte', '#alzate', '#le-valet', '#egle', '#lisette', '#ariste'}"
Amour et Piano,Comédie,1887,1,8,"[{'#baptiste', '#lucile'}, {'#lucile'}, {'#baptiste', '#lucile'}, {'#baptiste', '#edouard'}, {'#edouard'}, {'#edouard', '#lucile'}, {'#baptiste', '#edouard'}, {'#baptiste', '#edouard', '#lucile'}]",[],[],[],[],"[{'#baptiste', '#lucile'}, {'#lucile'}, {'#baptiste', '#lucile'}, {'#baptiste', '#edouard'}, {'#edouard'}, {'#edouard', '#lucile'}, {'#baptiste', '#edouard'}, {'#baptiste', '#edouard', '#lucile'}]","{'#baptiste', '#edouard', '#lucile'}"
Amphitryon,Comédie,1668,3,21,"[{'#sosie'}, {'#sosie', '#mercure'}, {'#cleanthis', '#mercure', '#alcmene', '#jupiter'}, {'#cleanthis', '#mercure'}]","[{'#amphitryon', '#sosie'}, {'#amphitryon', '#cleanthis', '#sosie', '#alcmene'}, {'#cleanthis', '#sosie'}, {'#cleanthis', '#jupiter'}, {'#cleanthis', '#sosie'}, {'#alcmene', '#jupiter'}, {'#cleanthis', '#sosie'}]","[{'#amphitryon'}, {'#amphitryon', '#mercure'}, {'#amphitryon'}, {'#naucrates', '#amphitryon', '#sosie', '#polidas'}, {'#naucrates', '#sosie', '#jupiter', '#amphitryon', '#polidas'}, {'#sosie', '#mercure'}, {'#argatiphonditas', '#amphitryon', '#posicles', '#sosie'}, {'#naucrates', '#cleanthis', '#amphitryon'}, {'#sosie', '#mercure'}, {'#naucrates', '#sosie', '#jupiter'}]",[],[],"[{'#sosie'}, {'#sosie', '#mercure'}, {'#cleanthis', '#mercure', '#alcmene', '#jupiter'}, {'#cleanthis', '#mercure'}, {'#amphitryon', '#sosie'}, {'#amphitryon', '#cleanthis', '#sosie', '#alcmene'}, {'#cleanthis', '#sosie'}, {'#cleanthis', '#jupiter'}, {'#cleanthis', '#sosie'}, {'#alcmene', '#jupiter'}, {'#cleanthis', '#sosie'}, {'#amphitryon'}, {'#amphitryon', '#mercure'}, {'#amphitryon'}, {'#naucrates', '#amphitryon', '#sosie', '#polidas'}, {'#naucrates', '#sosie', '#jupiter', '#amphitryon', '#polidas'}, {'#sosie', '#mercure'}, {'#argatiphonditas', '#amphitryon', '#posicles', '#sosie'}, {'#naucrates', '#cleanthis', '#amphitryon'}, {'#sosie', '#mercure'}, {'#naucrates', '#sosie', '#jupiter'}]","{'#naucrates', '#cleanthis', '#sosie', '#alcmene', '#jupiter', '#argatiphonditas', '#amphitryon', '#posicles', '#polidas', '#mercure'}"
Amphitryon,Comédie,1865,5,17,"[{'#sosie', '#mercure'}, {'#mercure'}, {'#mercure', '#alcmene', '#jupiter'}]","[{'#amphitryon', '#sosie'}, {'#amphitryon', '#sosie', '#alcmene'}]","[{'#jupiter'}, {'#alcmene', '#jupiter'}, {'#sosie', '#alcmene', '#jupiter'}, {'#mercure'}]","[{'#amphitryon'}, {'#amphitryon', '#mercure'}, {'#amphitryon', '#sosie', '#blepharon'}, {'#amphitryon', '#sosie', '#blepharon', '#jupiter'}, {'#amphitryon'}]","[{'#amphitryon', '#bromia'}, {'#jupiter'}, {'#amphitryon'}]","[{'#sosie', '#mercure'}, {'#mercure'}, {'#mercure', '#alcmene', '#jupiter'}, {'#amphitryon', '#sosie'}, {'#amphitryon', '#sosie', '#alcmene'}, {'#jupiter'}, {'#alcmene', '#jupiter'}, {'#sosie', '#alcmene', '#jupiter'}, {'#mercure'}, {'#amphitryon'}, {'#amphitryon', '#mercure'}, {'#amphitryon', '#sosie', '#blepharon'}, {'#amphitryon', '#sosie', '#blepharon', '#jupiter'}, {'#amphitryon'}, {'#amphitryon', '#bromia'}, {'#jupiter'}, {'#amphitryon'}]","{'#sosie', '#bromia', '#alcmene', '#jupiter', '#blepharon', '#amphitryon', '#mercure'}"
"Anaximandre, Comédie.",Comédie,1805,1,12,"[{'#anaximandre'}, {'#anaximandre', '#aspasie'}, {'#aspasie'}, {'#phrosine', '#aspasie'}, {'#anaximandre', '#phrosine'}, {'#anaximandre', '#phrosine', '#melidore'}, {'#anaximandre', '#pretresse'}, {'#phrosine'}, {'#phrosine', '#aspasie'}, {'#phrosine', '#aspasie'}, {'#anaximandre', '#aspasie'}, {'#anaximandre', '#phrosine'}]",[],[],[],[],"[{'#anaximandre'}, {'#anaximandre', '#aspasie'}, {'#aspasie'}, {'#phrosine', '#aspasie'}, {'#anaximandre', '#phrosine'}, {'#anaximandre', '#phrosine', '#melidore'}, {'#anaximandre', '#pretresse'}, {'#phrosine'}, {'#phrosine', '#aspasie'}, {'#phrosine', '#aspasie'}, {'#anaximandre', '#aspasie'}, {'#anaximandre', '#phrosine'}]","{'#pretresse', '#aspasie', '#melidore', '#anaximandre', '#phrosine'}"
