,"Argélie, Reine de Thessalie",Coriolan,Lyncée,Risette ou Les Millions de la Mansarde,L'Homme qui ne Peut pas Siffler,L'Avare Amoureux,Pan et Doris Pastorale,Polixène,Les Trois Spectacles Prologue,L'Epreuve Réciproque,L'Ecole des Bourgeois,L'Hiver,Le Pauvre Bougre et le Bon Génie,Un Mécontent,Les Papilllotes,Une Séduction,"Anaximandre, Comédie.",Molière et ses Amis ou La Soirée d'Auteuil,Dialogue de la Prude et de la Coquette,Adam,Les Aventures de Ninette,Les Bonnes Gens,Fragment d'une Comédie Intitulée Chapelain Décoiffé [2],Fragment d'une Comédie Intitulée Chapelain Décoiffé.,Le Club des Dames ou Le Retour de Descartes,Dialogue d'Alcippe et de Dionice,La Déroute des Précieuses,Dialogue des Yeux et de la Bouche,Dialogue entre Voltaire et Rousseau,Le Jeu d'Esmorée,Le Jus du Pelerin,La Matinée du Comédien Français,Farce Nouvelle Tres Bonne et Fort Joyeuse à Trois Personnages d'un Pardonneur d'un Triacleur et d'une Tavernière,Farce Nouvelle Fort Joyeuse du Pont aux Anes,Le Portier du Parnasse,Le Prix d'un Moment,La Réception de Monseigneur le Vicomte d'Argenson,La Résurrection du Sauveur,Farce Nouvelle Très Bonne et Fort Joyeuse de la Resurrection de Jenin Landore,Les Sauvages ou Le Roi Bienfaisant.,Le Sérail de de Lys,Sermon Joyeux de Bien Boire,Les Vierges Sages et les Vierges Folles,Oh ! Voilà Bien le Diable !,Zélamire,Cendrillon,Le Chinois Poli en France,La Ressource Comique,La Tableau Parlant,Mademoiselle Lange,Ca n'en Est pas ou Tout ce qui Reluit n'est pas or,La Comédie à l'Impromptu,"Les Etrennes de l'Amitié, de l'Amour et de la Nature",Hurlubrelu,Janot,Janot chez le Dégraisseur,Jocrisse Changé de Condition,"On Fait ce qu'on Peut, Non pas ce qu'on Veut",Mon Ami Naze,Les Guêpes,Le Cri de la Nature,Horatius Coclès.,Le Centenaire de Molière,La Pucelle d'Orléans,La Pucelle d'Orléans,Hommage à Racine vers Dits par Madame Provost-Ponsin au Théâtre Français Représentation du 21 Décembre 1871 232ème Anniversaire de la Naissance de Racine,L'Ecole Tragique ou Cadet Roussel Maitre de Déclamation,Albert Durer,La Comédie au Chateau,L'Epreuve,La Musicomanie,"Dipné, Infante D'Irlande. Tragédie",Geneviève ou L'Innocence Reconnue Tragédie Chrétienne,Geneviève ou L'Innocence Reconnue Tragédie,Le Coligny,Ancien Pierrot,Mascarade de la Foire Saint-Germain,Arlequin Misanthrope,Les Fées ou Les Contes de ma Mère L'Oye.,Pasquin et Marforio.,Le Faucon,La Mort de César,L'Ombre de Molière,Célinde,Clarimonde,La Clorise,La Parthénie,Le Prince Fugitif,Saint Eustache Martyr,La Rapinière,"Candide Marié, ou Il Faut Cultiver son Jardin.",Le Mariage de Scarron,Molière au Théâtre,L'Autre Tartuffe,Le Barbier de Séville ou La Précaution Inutile,L'Amour Quêteur,La Cacophonie,Les Libellistes,"Le Ramoneur Prince, et le Prince Ramoneur",Le Sculpteur
Une Séduction,,,,,1.000011582976406,,,,,,,,,0.9998988709789264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anaximandre, Comédie.",,,,,0.9992882853987589,,,,,,,,,0.9999793044404487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molière et ses Amis ou La Soirée d'Auteuil,,,,,0.9995643058199313,,,,,,,,,1.0001074315330758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dialogue de la Prude et de la Coquette,,,,,1.0012988549907034,,,,,,,,,1.0027466052915992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam,,,,,0.9992557156227323,,,,,,,,,1.0001366604929385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Aventures de Ninette,,,,,1.0018940902337796,,,,,,,,,1.0019145651561459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Bonnes Gens,,,,,0.9971212518626246,,,,,,,,,1.0002713100663547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragment d'une Comédie Intitulée Chapelain Décoiffé [2],,,,,0.9976372400919596,,,,,,,,,1.0027224977811178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragment d'une Comédie Intitulée Chapelain Décoiffé.,,,,,0.999242015182972,,,,,,,,,1.0036386754363775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Club des Dames ou Le Retour de Descartes,,,,,1.0001083112425275,,,,,,,,,0.999580110443963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dialogue d'Alcippe et de Dionice,,,,,0.9875672499338786,,,,,,,,,1.013083557287852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Déroute des Précieuses,,,,,1.0146151259541512,,,,,,,,,1.0284792333841324,,,,,,,,,,,,1.0254233161608377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dialogue des Yeux et de la Bouche,,,,,1.0038725354454734,,,,,,,,,1.0055890408429233,,,,,,,,,,,,1.007046707651832,1.021577006036585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dialogue entre Voltaire et Rousseau,,,,,0.9977530870172713,,,,,,,,,1.0035087880161073,,,,,,,,,,,,1.0750188926855724,0.9999736266003715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Jeu d'Esmorée,,,,,1.0008262706403972,,,,,,,,,0.9994959510674998,,,,,,,,,,,,1.0012096567314213,0.9990508531321999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Jus du Pelerin,,,,,0.9934596485561795,,,,,,,,,0.9979370832443237,,,,,,,,,,,,1.1017137376798525,1.0313335061073303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Matinée du Comédien Français,,,,,1.0000325411433455,,,,,,,,,0.9998274088903452,,,,,,,,,,,,0.9971026730836685,0.9971657747005319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farce Nouvelle Tres Bonne et Fort Joyeuse à Trois Personnages d'un Pardonneur d'un Triacleur et d'une Tavernière,,,,,1.001923382282257,,,,,,,,,1.0027987137436867,,,,,,,,,,,,1.0486486794220076,0.9993500808874766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farce Nouvelle Fort Joyeuse du Pont aux Anes,,,,,1.0017105911312432,,,,,,,,,1.0018798231050885,,,,,,,,,,,,1.027498383974207,1.00408591586968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Portier du Parnasse,,,,,0.9995016992092133,,,,,,,,,0.9996018584817647,,,,,,,,,,,,0.9994463277980685,0.9976961001753807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Prix d'un Moment,,,,,0.9973258177439371,,,,,,,,,0.999740375412835,,,,,,,,,,,,1.019640823205312,0.9875585867298974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Réception de Monseigneur le Vicomte d'Argenson,,,,,0.992505345079634,,,,,,,,,0.9990501403808594,,,,,,,,,,,,1.156408300002416,1.0049343672063615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Résurrection du Sauveur,,,,,1.0043256422504783,,,,,,,,,1.001010162755847,,,,,,,,,,,,1.0298802903853357,1.025676226709038,,,,,,,,,,1.0565002823714167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farce Nouvelle Très Bonne et Fort Joyeuse de la Resurrection de Jenin Landore,,,,,1.0012419835380886,,,,,,,,,1.0011693653853044,,,,,,,,,,,,1.0265106944934181,1.0101920127868653,,,,,,,,,,1.0476916673390761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Sauvages ou Le Roi Bienfaisant.,,,,,1.0003619539110284,,,,,,,,,1.0009641580115585,,,,,,,,,,,,1.012898534312284,0.9958879866994413,,,,,,,,,,1.0131942654462684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Sérail de de Lys,,,,,1.007085458798842,,,,,,,,,1.015219970182939,,,,,,,,,,,,1.0793105085690817,1.0770353945818814,,,,,,,,,,1.0991193420357175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sermon Joyeux de Bien Boire,,,,,1.000908484723833,,,,,,,,,1.0031025966008504,,,,,,,,,,,,1.0341725872622596,1.0069490922821893,,,,,,,,,,1.0419394657015801,,,,1.0035091797510782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Vierges Sages et les Vierges Folles,,,,,1.0004713162779808,,,,,,,,,1.0036128491163254,,,,,,,,,,,,1.0772058114409446,1.0133932799100875,,,,,,,,,,1.1408541232347489,,,,1.053228309750557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oh ! Voilà Bien le Diable !,,,,,1.0000308647490384,,,,,,,,,1.0005443650379515,,,,,,,,,,,,1.0109929536518298,0.9877610373915288,,,,,,,,,,1.0373941367132622,,,,0.9945649536032426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zélamire,,,,,0.9993346403462227,,,,,,,,,0.9997546857511493,,,,,,,,,,,,0.992848620728148,0.993357005253644,,,,,,,,,,1.0026082234203535,,,,0.9930549792840447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cendrillon,,,,,0.9998436482160683,,,,,,,,,0.9996673532780385,,,,,,,,,,,,0.9964945406321711,0.9961014489999553,,,,,,,,,,1.0034341315095057,,,,0.996118064494741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Chinois Poli en France,,,,,0.9991332087295735,,,,,,,,,1.0006428041205502,,,,,,,,,,,,0.9960111951985896,0.9920730397401266,,,,,,,,,,1.010991518860621,,,,0.9957932699595066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Ressource Comique,,,,,0.9998724265589248,,,,,,,,,0.9999641463121198,,,,,,,,,,,,0.9973286851100368,0.9974324761405784,,,,,,,,,,1.0047626269681473,,,,0.9966743948591731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Tableau Parlant,,,,,0.9996840505189794,,,,,,,,,1.0002817598081404,,,,,,,,,,,,0.9971716538552315,0.9973757063509315,,,,,,,,,,1.004006644330358,,,,0.9974664472123628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mademoiselle Lange,,,,,1.0001593332593612,,,,,,,,,1.00007314379044,,,,,,,,,,,,1.0015588537764155,0.9999440924897378,,,,,,,,,,1.0091414379974755,,,,1.0020760630375773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca n'en Est pas ou Tout ce qui Reluit n'est pas or,,,,,1.0001558958594479,,,,,,,,,1.0001408025399963,,,,,,,,,,,,1.0042840019980472,1.0014364762092705,,,,,,,,,,1.011534396392196,,,,0.9994184929933121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Comédie à l'Impromptu,,,,,0.9996812680104116,,,,,,,,,1.0001920207484707,,,,,,,,,,,,1.0004131260576907,1.000178103153412,,,,,,,,,,1.0099162034265272,,,,1.0008849302927654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Les Etrennes de l'Amitié, de l'Amour et de la Nature",,,,,0.999630640853535,,,,,,,,,1.0005034244421758,,,,,,,,,,,,0.9942326371115867,0.9925029530669703,,,,,,,,,,1.0059373976305277,,,,0.9967435249174484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurlubrelu,,,,,1.000258740554788,,,,,,,,,1.000032407703886,,,,,,,,,,,,1.0036879289926957,1.0013157441663336,,,,,,,,,,1.0100449898594162,,,,0.9999161339008774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janot,,,,,1.0003485797364036,,,,,,,,,1.000068101912369,,,,,,,,,,,,1.007218767978527,1.0026853960237385,,,,,,,,,,1.0106151470431575,,,,1.0001366741863298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janot chez le Dégraisseur,,,,,1.0004314065889548,,,,,,,,,1.0006735233860162,,,,,,,,,,,,1.0108225209112385,1.0035361724955436,,,,,,,,,,1.0169227078898262,,,,1.0016558700390445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jocrisse Changé de Condition,,,,,1.000079875642603,,,,,,,,,1.0000195202889381,,,,,,,,,,,,1.003663915937597,1.0013488472282113,,,,,,,,,,1.011351435447668,,,,0.9993082825239603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"On Fait ce qu'on Peut, Non pas ce qu'on Veut",,,,,0.9998535897181584,,,,,,,,,0.9999806712223933,,,,,,,,,,,,0.99973498912958,1.0001758082096392,,,,,,,,,,1.0080964754177975,,,,0.9993460136193496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Ami Naze,,,,,0.874760627746582,,,,,,,,,1.0111621022224426,,,,,,,,,,,,0.9918580214182536,1.0065088644623756,,,,,,,,,,0.9956206811798943,,,,0.9979898712851785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Guêpes,,,,,0.999846897246553,,,,,,,,,0.9999498987384505,,,,,,,,,,,,1.0013430179215224,1.0002005766282576,,,,,,,,,,1.0032620650448212,,,,0.99940999076791,,,,,,,,,,,,,,,,,,0.9998522059091617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Cri de la Nature,,,,,1.0000457925561033,,,,,,,,,1.000022245777978,,,,,,,,,,,,0.9951850901905892,0.9950879849033591,,,,,,,,,,1.0029232452926322,,,,0.996494235325252,,,,,,,,,,,,,,,,,,0.9998557803071575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horatius Coclès.,,,,,1.001427173614502,,,,,,,,,1.0007177388275064,,,,,,,,,,,,1.0266166538982602,0.996892450929998,,,,,,,,,,1.0302267120434687,,,,1.006637658719178,,,,,,,,,,,,,,,,,,0.9996432838859138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Centenaire de Molière,,,,,0.9997641159632993,,,,,,,,,0.9999806258004521,,,,,,,,,,,,0.9979685396309986,0.9972262096518292,,,,,,,,,,1.0025552673322855,,,,0.9977316832315893,,,,,,,,,,,,,,,,,,0.9999392128896827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Pucelle d'Orléans,,,,,1.0002404092792496,,,,,,,,,1.000005644393632,,,,,,,,,,,,0.9944958245136823,0.9944061202357015,,,,,,,,,,1.0007436059385657,,,,0.9961697708563025,,,,,,,,,,,,,,,,,,0.999651234938329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Pucelle d'Orléans,,,,,1.0002180683512647,,,,,,,,,1.0001636983967628,,,,,,,,,,,,0.9951888648401789,0.9925922746417903,,,,,,,,,,0.9996046216047111,,,,0.992042991794458,,,,,,,,,,,,,,,,,,0.9995326244530558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hommage à Racine vers Dits par Madame Provost-Ponsin au Théâtre Français Représentation du 21 Décembre 1871 232ème Anniversaire de la Naissance de Racine,,,,,0.9062227010726929,,,,,,,,,1.1517073512077332,,,,,,,,,,,,0.9928733030954997,0.9596357196569443,,,,,,,,,,0.9822945329878066,,,,0.9790331233631481,,,,,,,,,,,,,,,,,,0.9473638534545898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Ecole Tragique ou Cadet Roussel Maitre de Déclamation,,,,,0.9996249637906514,,,,,,,,,1.0001040971468365,,,,,,,,,,,,1.0016356433600255,0.9990391643409556,,,,,,,,,,1.0042383543758435,,,,0.9986230536383025,,,,,,,,,,,,,,,,,,0.9997085635624234,,,,,,,0.9995205551047984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Durer,,,,,0.9998048417708453,,,,,,,,,0.9999645177055808,,,,,,,,,,,,1.0066348885788636,0.9994546529124765,,,,,,,,,,1.0157346027738907,,,,1.0032309437499327,,,,,,,,,,,,,,,,,,0.9999176039415247,,,,,,,0.9981223176507389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Comédie au Chateau,,,,,0.9991928111939203,,,,,,,,,0.9995823488349006,,,,,,,,,,,,1.0085245126060076,0.9996307208424523,,,,,,,,,,1.0165073509727205,,,,0.9976661659422374,,,,,,,,,,,,,,,,,,0.9988749907130287,,,,,,,0.9988400375559217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Epreuve,,,,,0.9995169980185372,,,,,,,,,1.0215945925031389,,,,,,,,,,,,1.0087810039520264,1.0162642523646355,,,,,,,,,,0.9998453524377611,,,,0.9540230198339983,,,,,,,,,,,,,,,,,,0.988438333783831,,,,,,,0.9758730615888324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Musicomanie,,,,,0.999785777219792,,,,,,,,,1.0001060686160608,,,,,,,,,,,,1.0022218889489616,1.0009278633545355,,,,,,,,,,1.009314644121632,,,,1.0020773779485643,,,,,,,,,,,,,,,,,,0.999993827539621,,,,,,,0.999989339064077,,,,0.9992004132147917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dipné, Infante D'Irlande. Tragédie",,,,,0.9999113986109711,,,,,,,,,0.99985217824324,,,,,,,,,,,,0.99834536041416,0.9977713992164403,,,,,,,,,,0.9990897963885155,,,,0.9973089844496991,,,,,,,,,,,,,,,,,,0.9998059085611597,,,,,,,0.999587967534114,,,,0.997312403376192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geneviève ou L'Innocence Reconnue Tragédie Chrétienne,,,,,0.9998713693434785,,,,,,,,,0.999918084052598,,,,,,,,,,,,0.9979698947388259,0.9968465079831924,,,,,,,,,,0.9989406668200753,,,,0.9960263239225774,,,,,,,,,,,,,,,,,,0.9996399793210904,,,,,,,0.9994795379914655,,,,0.9976493060780491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
