,fre000001,fre000002,fre000003
fre000002,205.49775731563568,,
fre000003,195.31065154075623,183.9033614397049,
fre001461,297.5355043411255,290.7565590143204,295.93577468395233
fre000004,,242.22786808013916,212.37364792823792
fre000005,,,234.99003553390503
