,fre000001,fre000002,fre000003,fre001461,fre000004
fre000002,-1.0,,,,
fre000003,-1.0,-1.0,,,
fre001461,-1.0,-1.0,-1.0,,
fre000004,-1.0,-1.0,-1.0,-1.0,
fre000005,-1.0,-1.0,-1.0,-1.0,306.00672483444214
fre000006,,-1.0,-1.0,-1.0,60.09822082519531
fre000007,,,-1.0,-1.0,47.95859098434448
fre000008,,,,-1.0,49.78562808036804
fre000009,,,,,281.1033672094345
