Auteur,Auteur normalized,Wikidata reference ID
[anonyme],[Anonyme],IDUNKNOWN
A. Carrière Doisin,A. Carrière Doisin,
A. Carrière-Doisin,A. Carrière Doisin,
Abbé Auguste Théodore Vincent Lebeau De Schosne,Abbé Auguste Théodore Vincent Lebeau De Schosne,ID0003
Abbé Auguste-Théodore-Vincent Lebeau De Schosne,Abbé Auguste Théodore Vincent Lebeau De Schosne,ID0003
Abbé Augustin-Théodore-Vincent Lebeau de Schosne,Abbé Augustin Théodore Vincent Lebeau De Schosne,ID0003
Abbé D' Aubignac,Abbé D'Aubignac,Q714015
Abbé De Voisenon,Abbé De Voisenon,Q2976734
Abbé Lebardin,Abbé Lebardin,
"Abbé Pellegrin, Simon Joseph","Abbé Pellegrin, Simon Joseph",Q3484170
"Abbé Pellegrin, Simon-Joseph","Abbé Pellegrin, Simon Joseph",Q3484170
Abel Boyer,Abel Boyer,Q2821489
Abel Jannet,Abel Jannet,ID0004
Abel Jeannet,Abel Jeannet,ID0004
Abraham Blondet,Abraham Blondet,Q17485858
Abraham Dreyfus,Abraham Dreyfus,Q94825445
Achille Jubinal,Achille Jubinal,Q340222
Achille Mélandri,Achille Mélandri,Q25391711
Adèle Regnauld,Adèle Regnauld,Q108664365
Adèle Regnauld De Prébois,Adèle Regnauld De Prébois,Q108664365
Adolphe,Adolphe,Q137819
Adolphe Adam,Adolphe Adam,Q189544
Adolphe Bayard,Adolphe Bayard,Q137819
Adolphe Carcassonne,Adolphe Carcassonne,Q2824848
Adolphe Choler,Adolphe Choler,Q18012018
Adolphe Cormon,Adolphe Cormon,Q137819
Adolphe d'Ennery,Adolphe D'Ennery,Q137819
Adolphe De Leuven,Adolphe De Leuven,Q2087458
Adolphe Dumas,Adolphe Dumas,Q2824811
Adolphe Joly,Adolphe Joly,Q111530676
Adolphe Lemoine,Adolphe Lemoine,Q2824866
Adrien Thomas Perdou De Subligny,Adrien Thomas Perdou De Subligny,Q2825111
Adrien-Thomas Perdou De Subligny,Adrien Thomas Perdou De Subligny,Q2825111
Aimé Leroy,Aimé Leroy,
Alain René Lesage,Alain René Lesage,Q267962
Alain-René Lesage,Alain René Lesage,Q267962
Albert,Albert,Q27179277
Albert Glatigny,Albert Glatigny,Q2622119
Albert Henri Fiot,Albert Henri Fiot,
Albert Lambert,Albert Lambert,Q28197175
Albert Père Lambert,Albert Père Lambert,Q28197175
Albert Lambert Père ,Albert Lambert Père,Q28197175
Alexandre Dumas,Alexandre Dumas,Q38337
Alexandre Dumas Père,Alexandre Dumas Père,Q38337
Alexandre Dumas Fils,Alexandre Dumas Fils,Q169150
Alexandre Fils Dumas,Alexandre Fils Dumas,Q169150
Alexandre Guillaume De Moissy,Alexandre Guillaume De Moissy,Q2833352
Alexandre Hardy,Alexandre Hardy,Q1393375
Alexandre Louis Bertrand De Beaunoir,Alexandre Louis Bertrand De Beaunoir,Q2893251
Alexandre Père Dumas,Alexandre Père Dumas,Q38337
Alexandre Tanevot,Alexandre Tanevot,Q28933577
Alexandre-Guillaume De Moissy,Alexandre Guillaume De Moissy,Q2833352
Alexandre-Louis-Bertrand De Beaunoir,Alexandre Louis Bertrand De Beaunoir,Q2893251
Alexandres Père Dumas,Alexandres Père Dumas,Q38337
Alexis Decomberousse,Alexis Decomberousse,Q17708941
Alexis Piron,Alexis Piron,Q983437
Alfred Capus,Alfred Capus,Q198621
Alfred De Musset,Alfred De Musset,Q179680
Alfred Delacour,Alfred Delacour,Q2835059
Alfred Jarry,Alfred Jarry,Q7841
Alphonse Allais,Alphonse Allais,Q371905
Alphonse De Launay,Alphonse De Launay,Q77136568
Alphonse Pagès,Alphonse Pagès,Q108663843
Alphonse Scheler,Alphonse Scheler,Q47298535
