BD id,Raw Name,Author,Normalized author,Date,Title,Genre ,Éditeur,Téléchargements,wikidataId Author,Author
1,abeille_lyncee.xml,"Abeille, Gaspard",Gaspard Abeille,1681,"Lyncée, tragédie",Tragédie,Housna Badat,"epub, kindle, tei, pdf",Q1338057,Abeille
2,benserade_mortachille.xml,"Benserade, Isaac de",Isaac De Benserade,1636,La Mort d'Achille,Tragédie,Sandra Tortel,"epub, kindle, tei, pdf",Q982037,Benserade
3,beys_celine.xml,"Beys, Charles de",Charles De Beys,1637,Céline ou Les Frères rivaux. Tragi-comédie,Tragi-comédie,Florence Fin,"epub, kindle, tei, pdf",Q2958547,Beys
4,romagnesi_arlequinbellerophon.xml,"Biancolelli, Pierre-François ; dit Dominique fils ; Romagnesi, Jean-Antoine",Pierre-François Biancolleli,1738,"Arlequin, Bellerophon. Parodie",Parodie,Sévag Tachdjian,"epub, kindle, tei, pdf",Q737646,Biancolelli
5,boisrobert_rivauxamis.xml,"Boisrobert, François Le Métel de",François Le Métel De Boisrobert,1639,Les Rivaux amis. Tragi-comédie,Tragi-comédie,Guillaume Robert,"epub, kindle, tei, pdf",Q560292,Boisrobert
6,boisrobert_cassandre.xml,"Boisrobert, François Le Métel de",François Le Métel De Boisrobert,1654,"Cassandre, comtesse de Barcelone. Trage-comédie",Tragi-comédie,Francisco Guevara Quiel,"epub, kindle, tei, pdf",Q560292,Boisrobert
7,boisrobert_belle_invisible.xml,"Boisrobert, François Le Métel de",François Le Métel De Boisrobert,1656,La belle invisible ou la Constance esprouvée,Tragi-comédie,Florence DUWAT,"epub, kindle, tei, pdf",Q560292,Boisrobert
8,boursault_troiscomedies.xml,"Boursault, Edme",Edme Boursault,1662,Trois petites comédies,Comédie,Charlotte Dias,"epub, kindle, tei, pdf",Q3047696,Boursault
9,boursault_deuxfreresgemeaux.xml,"Boursault, Edme",Edme Boursault,1665,Les Deux Frères gémeaux ou les menteurs qui ne mentent point. Comédie,Comédie,Vanessa Viola,"epub, kindle, tei, pdf",Q3047696,Boursault
10,boursault_mariestuard.xml,"Boursault, Edme",Edme Boursault,1691,"Marie Stuard, Reine d'Écosse. Tragédie",Tragédie,Chloé Le Vaguerès,"epub, kindle, tei, pdf",Q3047696,Boursault
11,boursault_germanicus.xml,"Boursault, Edme",Edme Boursault,1694,Germanicus. Tragédie,Tragédie,Florence Maine,"epub, kindle, tei, pdf",Q3047696,Boursault
12,boyer_porus.xml,"Boyer, Claude",Claude Boyer,,"Porus, ou La Générosité d'Alexandre. Tragedie",Tragedie,Avital Cohen,"epub, kindle, tei, pdf",Q2977083,Boyer
13,boyer_porcieromaine.xml,"Boyer, Claude",Claude Boyer,1646,La Porcie romaine. Tragédie,Tragédie,Marie Roux,"epub, kindle, tei, pdf",Q2977083,Boyer
14,boyer_mortenfantsbrute.xml,"Boyer, Claude",Claude Boyer,1648,La Mort des enfans de Brute. Tragédie,Tragédie,Amandine Chevreau-Martin,"epub, kindle, tei, pdf",Q2977083,Boyer
15,boyer_ulysse.xml,"Boyer, Claude",Claude Boyer,1650,Ulysse dans l'île de Circé ou Euryloche foudroyé,Tragi-comédie,Pauline Debienne,"epub, kindle, tei, pdf",Q2977083,Boyer
16,boyer_federic.xml,"Boyer, Claude",Claude Boyer,1660,Fédéric. Tragi-comédie,Tragi-comédie,Catherine Neveu,"epub, kindle, tei, pdf",Q2977083,Boyer
17,boyer_mortdemetrius.xml,"Boyer, Claude",Claude Boyer,1661,La Mort de Démétrius. Tragédie.,Tragédie,Claire Supplisson,"epub, kindle, tei, pdf",Q2977083,Boyer
18,boyer_amoursjupitersemele.xml,"Boyer, Claude",Claude Boyer,1666,Les Amours de Jupiter et Sémélé. Tragédie.,Tragédie,Évelyne Collinet,"epub, kindle, tei, pdf",Q2977083,Boyer
19,boyer_jeunemarius.xml,"Boyer, Claude",Claude Boyer,1670,Le Jeune Marius. Tragédie.,Tragédie,Isabelle Gérard,"epub, kindle, tei, pdf",Q2977083,Boyer
20,boyer_comteessex.xml,"Boyer, Claude",Claude Boyer,1678,Le Comte d'Essex. Tragédie,Tragédie,Fabienne Régnier,"epub, kindle, tei, pdf",Q2977083,Boyer
21,boyer_agamemnon.xml,"Boyer, Claude",Claude Boyer,1680,Agamemnon. Tragédie,Tragédie,Céline Grihard,"epub, kindle, tei, pdf",Q2977083,Boyer
22,boyer_artaxerce.xml,"Boyer, Claude",Claude Boyer,1683,Artaxerce. Tragédie,Tragédie,Cécile Suignard,"epub, kindle, tei, pdf",Q2977083,Boyer
23,boyer_judith.xml,"Boyer, Claude",Claude Boyer,1695,Judith. Tragédie,Tragédie,Thomas Marlat,"epub, kindle, tei, pdf",Q2977083,Boyer
24,brosse_turnedevirgile.xml,Brosse,Brosse,1647,Le Turne de Virgile. Tragédie.,Tragédie,Aurélia Pouch,"epub, kindle, tei, pdf",ID0001,Brosse
25,brosse_aveugleclairvoyant.xml,Brosse,Brosse,1650,L'Aveugle clair-voyant. Comédie,Comédie,Sonia Naudin,"epub, kindle, tei, pdf",ID0001,Brosse
26,brecourt_ombredemoliere.xml,Brécourt,Brécourt,1674,L'Ombre de Molière. Comédie,Comédie,Marie-Astrid Lechat,"epub, kindle, tei, pdf",Q965374,Brécourt
27,cadetgassicourt_souperdemoliere.xml,"Cadet de Gassicourt, Charles-Louis",Charles-Louis Cadet De Gassicourt,1795,"Le Souper de Molière, ou La Soirée d'Auteuil. Fait historique en un acte, mêlé de vaudevilles.",,Emmanuelle Taton,"epub, kindle, tei, pdf",Q2618388,Cadet de Gassicourt
28,campistron_virginie.xml,"Campistron, Jean-Galbert de",Jean-Galbert De Campistron,1683,La Virginie. Tragédie.,Tragédie,Sylvain Garnier,"epub, kindle, tei, pdf",Q204908,Campistron
29,champmesle_fragmentsdemoliere.xml,Champmeslé,Champmeslé,1682,Les Fragmens de Molière. Comédie.,Comédie,Marie-Astrid Lechat,"epub, kindle, tei, pdf",Q1063939,Champmeslé
30,chappuzeau_armetzar.xml,"Chappuzeau, Samuel",Samuel Chappuzeau,1656,Armetzar ou les amis ennemis. Tragi-comédie,Tragi-comédie,Damien Fortin,"epub, kindle, tei, pdf",Q330573,Chappuzeau
31,cheffault_st-gervais.xml,"Cheffault, F. de",F. De Cheffault,1670,Le Martyre de Saint Gervais,Poème dramatique,Jinhan Tan,"epub, kindle, tei, pdf",,Cheffault
32,chevreau_avocatdupe.xml,"Chevreau, Urbain",Urbain Chevreau,1637,L'Advocat duppé. Comédie,Comédie,Audrey Maratra,"epub, kindle, tei, pdf",Q3552156,Chevreau
33,chevreau_lucrece.xml,"Chevreau, Urbain",Urbain Chevreau,1637,La Lucresse romaine. Tragédie,Tragédie,Coralie Deher,"epub, kindle, tei, pdf",Q3552156,Chevreau
34,chevreau_coriolan.xml,"Chevreau, Urbain",Urbain Chevreau,1638,Coriolan. Tragédie,Tragédie,Frédéric Sprogis,"epub, kindle, tei, pdf",Q3552156,Chevreau
35,nanteuil_amoursentinelle.xml,"Clerselier, Denis ; dit Nanteuil",Denis Clerselier dit Nanteuil,1669,L'Amour sentinelle ou Le Cadenas forcé. Comédie,Comédie,Svitlana Ovdiienko,"epub, kindle, tei, pdf",Q3335805,Clerselier
36,corneillet_feintastrologue.xml,"Corneille, Thomas",Thomas Corneille,1651,Le Feint astrologue. Comédie,Comédie,Nathalie Conan,"epub, kindle, tei, pdf",Q551787,Corneille
37,corneillet_illustresennemis.xml,"Corneille, Thomas",Thomas Corneille,1657,Les Illustres ennemis. Comédie,Comédie,Nathalie Tunc,"epub, kindle, tei, pdf",Q551787,Corneille
38,corneillet_charmedelavoix.xml,"Corneille, Thomas",Thomas Corneille,1658,Le Charme de la voix. Comédie,Comédie,Coline Piot,"epub, kindle, tei, pdf",Q551787,Corneille
39,corneillet_camma.xml,"Corneille, Thomas",Thomas Corneille,1661,"Camma, reine de Galatie. Tragédie",Tragédie,Josépha Pisaneschi,"epub, kindle, tei, pdf",Q551787,Corneille
40,corneillet_antiochus.xml,"Corneille, Thomas",Thomas Corneille,1666,Antiochus. Tragi-comédie,Tragi-comédie,Khanam Ramzan,"epub, kindle, tei, pdf",Q551787,Corneille
41,corneillet_barondalbikrac.xml,"Corneille, Thomas",Thomas Corneille,1667,Le Baron d'Albikrac. Comédie,Comédie,Aloys Clarke de Dromantin,"epub, kindle, tei, pdf",Q551787,Corneille
42,corneillet_laodice.xml,"Corneille, Thomas",Thomas Corneille,1668,"Laodice, reine de Cappadoce. Tragédie",Tragédie,Garlonn Moreau,"epub, kindle, tei, pdf",Q551787,Corneille
