VALEUR,le-dvc,astolfe,cassandre,don-lope,moncade,don-pedre,beralde,isabelle,dom-bernard
Fréquences (scènes),0.2777777777777778,0.3888888888888889,0.5,0.1388888888888889,0.3888888888888889,0.2222222222222222,0.2222222222222222,0.25,0.08333333333333333
Fréquences(répliques),0.17112597547380157,0.14604236343366778,0.33054626532887404,0.010033444816053512,0.11259754738015608,0.06911928651059086,0.050724637681159424,0.07023411371237458,0.039576365663322184
Confrontation,0.13253012048192772,0.13855421686746988,0.1927710843373494,0.06626506024096386,0.14457831325301204,0.08433734939759036,0.08433734939759036,0.10843373493975904,0.04819277108433735
Déviations,le-dvc,astolfe,cassandre,don-lope,moncade,don-pedre,beralde,isabelle,dom-bernard
le-dvc,18.77777777777778,1.1460317460317462,0.0,1.868888888888889,0.9174603174603174,2.2222222222222223,0.6722222222222223,0.1,1.6333333333333337
astolfe,1.1460317460317455,13.444444444444445,0.14285714285714285,0.4587301587301589,2.179138321995465,3.1111111111111103,0.3968253968253966,0.07142857142857142,2.880952380952382
cassandre,0.0,0.14285714285714285,9.0,0.9,0.14285714285714285,2.25,1.0,1.3888888888888888,0.16666666666666666
don-lope,1.868888888888889,0.4587301587301587,0.9,26.694444444444443,0.0015873015873015888,0.01111111111111112,1.1111111111111112,1.25,0.41666666666666663
moncade,0.9174603174603178,2.179138321995465,0.14285714285714285,0.0015873015873015758,13.444444444444445,4.8611111111111125,0.00396825396825394,0.6428571428571429,1.1666666666666665
don-pedre,2.2222222222222223,3.111111111111111,2.25,0.01111111111111112,4.861111111111111,21.77777777777778,2.777777777777778,0.5,0.6666666666666666
beralde,0.6722222222222223,0.39682539682539686,1.0,1.1111111111111112,0.0039682539682539715,2.777777777777778,21.77777777777778,0.5,0.1666666666666667
isabelle,0.1,0.07142857142857142,1.3888888888888888,1.25,0.6428571428571429,0.5,0.5,20.25,0.08333333333333333
dom-bernard,1.6333333333333329,2.8809523809523805,0.16666666666666666,0.4166666666666667,1.1666666666666667,0.6666666666666666,0.1666666666666667,0.08333333333333333,30.25
Successions,le-dvc,astolfe,cassandre,don-lope,moncade,don-pedre,beralde,isabelle,dom-bernard
le-dvc,0.0,0.37142857142857144,0.4142857142857143,0.05714285714285714,0.0,0.0,0.02857142857142857,0.04285714285714286,0.08571428571428572
astolfe,0.36619718309859156,0.0,0.36619718309859156,0.028169014084507043,0.08450704225352113,0.0,0.04225352112676056,0.09859154929577464,0.014084507042253521
cassandre,0.2702702702702703,0.21621621621621623,0.009009009009009009,0.07207207207207207,0.16216216216216217,0.0,0.05405405405405406,0.1891891891891892,0.02702702702702703
don-lope,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
moncade,0.03076923076923077,0.15384615384615385,0.24615384615384617,0.0,0.0,0.36923076923076925,0.07692307692307693,0.12307692307692308,0.0
don-pedre,0.0,0.0,0.0,0.0,0.5833333333333334,0.0,0.3333333333333333,0.08333333333333333,0.0
beralde,0.06896551724137931,0.10344827586206896,0.20689655172413793,0.0,0.27586206896551724,0.3103448275862069,0.0,0.034482758620689655,0.0
isabelle,0.023255813953488372,0.09302325581395349,0.5348837209302325,0.0,0.2558139534883721,0.06976744186046512,0.023255813953488372,0.0,0.0
dom-bernard,0.5,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0
