VALEUR,darius,oronte,tiribaze,nitocris,cleonne,barsine,aspasie,artaxerce,mindate
Fréquences (scènes),0.40625,0.0625,0.3125,0.25,0.0625,0.0625,0.3125,0.4375,0.0625
Fréquences(répliques),0.19853390348197922,0.056200366524129505,0.1704337202199145,0.11912034208918754,0.00794135613927917,0.010995723885155772,0.18631643249847282,0.24007330482590103,0.010384850335980453
Confrontation,0.2,0.04285714285714286,0.14285714285714285,0.12857142857142856,0.02857142857142857,0.02857142857142857,0.18571428571428572,0.21428571428571427,0.02857142857142857
Déviations,darius,oronte,tiribaze,nitocris,cleonne,barsine,aspasie,artaxerce,mindate
darius,11.28125,0.04326923076923077,0.2778846153846154,1.5576923076923077,0.8125,0.8125,0.0009615384615384616,0.0831043956043956,0.8125
oronte,0.04326923076923077,28.125,0.625,0.5,0.125,0.125,0.225,0.017857142857142856,0.125
tiribaze,0.2778846153846154,0.625,15.125,2.5,0.625,0.625,3.125,1.2892857142857144,0.625
nitocris,1.5576923076923077,0.5,2.5,18.0,4.5,0.5,0.9,3.5,0.5
cleonne,0.8125,0.125,0.625,4.5,28.125,0.125,0.625,0.875,0.125
barsine,0.8125,0.125,0.625,0.5,0.125,28.125,3.025,0.875,0.125
aspasie,0.0009615384615384616,0.225,3.125,0.9,0.625,3.025,15.125,0.08928571428571429,0.625
artaxerce,0.0831043956043956,0.017857142857142856,1.2892857142857144,3.5,0.875,0.875,0.08928571428571429,10.125,1.4464285714285714
mindate,0.8125,0.125,0.625,0.5,0.125,0.125,0.625,1.4464285714285714,28.125
Successions,darius,oronte,tiribaze,nitocris,cleonne,barsine,aspasie,artaxerce,mindate
darius,0.06557377049180328,0.16393442622950818,0.14754098360655737,0.01639344262295082,0.0,0.0,0.2459016393442623,0.36065573770491804,0.0
oronte,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
tiribaze,0.24324324324324326,0.0,0.0,0.4594594594594595,0.0,0.0,0.02702702702702703,0.2702702702702703,0.0
nitocris,0.0625,0.0,0.5,0.0,0.1875,0.0,0.25,0.0,0.0
cleonne,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
barsine,0.0,0.0,0.0,0.125,0.0,0.0,0.875,0.0,0.0
aspasie,0.3409090909090909,0.022727272727272728,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.2727272727272727,0.0
artaxerce,0.39285714285714285,0.05357142857142857,0.19642857142857142,0.0,0.0,0.0,0.23214285714285715,0.05357142857142857,0.07142857142857142
mindate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
