VALEUR,brute,chefs-brute,cassie,titine,genie1,porcie,compagne,marc-anthoine,chef1-antoine,chef2-antoine,chef3-antoine,suite-antoine,medecin,chef1-brute,chef2-brute,chef3-brute,pindare,demetrie,octave,soldat,straton,ami1-brute,ami2-brute,ami1-brute ami2-brute
Fréquences (scènes),0.3333333333333333,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.24242424242424243,0.09090909090909091,0.24242424242424243,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.030303030303030304
Fréquences(répliques),0.2986935866983373,0.0023752969121140144,0.07185273159144893,0.06353919239904988,0.0017814726840855108,0.19299287410926366,0.03147268408551069,0.08076009501187649,0.0023752969121140144,0.0023752969121140144,0.0023752969121140144,0.0005938242280285036,0.021377672209026127,0.004156769596199525,0.0023752969121140144,0.0023752969121140144,0.021377672209026127,0.024346793349168647,0.07838479809976247,0.05641330166270784,0.032660332541567694,0.0029691211401425177,0.0017814726840855108,0.0005938242280285036
Confrontation,0.12698412698412698,0.007936507936507936,0.05555555555555555,0.05555555555555555,0.007936507936507936,0.06349206349206349,0.023809523809523808,0.1111111111111111,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.015873015873015872,0.015873015873015872,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.03968253968253968,0.05555555555555555,0.07142857142857142,0.031746031746031744,0.031746031746031744,0.047619047619047616,0.047619047619047616,0.023809523809523808
Déviations,brute,chefs-brute,cassie,titine,genie1,porcie,compagne,marc-anthoine,chef1-antoine,chef2-antoine,chef3-antoine,suite-antoine,medecin,chef1-brute,chef2-brute,chef3-brute,pindare,demetrie,octave,soldat,straton,ami1-brute,ami2-brute,ami1-brute ami2-brute
brute,14.66666666666667,1.333333333333333,0.0833333333333334,0.06666666666666664,1.333333333333333,0.1666666666666668,1.0,2.666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,4.0,1.333333333333333,1.333333333333333,0.6666666666666667,1.0,2.0,0.6666666666666667,2.666666666666666,0.16666666666666657,0.16666666666666657,0.33333333333333337
chefs-brute,1.3333333333333337,31.03030303030303,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.24242424242424243,0.09090909090909091,0.24242424242424243,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.030303030303030304
cassie,0.0833333333333333,0.12121212121212122,25.484848484848484,3.2060606060606065,0.12121212121212122,0.9696969696969697,0.36363636363636365,0.9696969696969697,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.36363636363636365,0.12121212121212122,0.12121212121212122,12.742424242424242,7.363636363636362,0.7272727272727273,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.12121212121212122
titine,0.06666666666666674,0.15151515151515152,3.2060606060606065,23.757575757575754,0.15151515151515152,1.2121212121212122,0.4545454545454546,1.2121212121212122,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.6545454545454544,0.15151515151515152,0.15151515151515152,1.6030303030303032,0.6545454545454544,0.9090909090909092,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.15151515151515152
genie1,1.3333333333333337,0.030303030303030304,0.12121212121212122,0.15151515151515152,31.03030303030303,0.24242424242424243,0.09090909090909091,0.24242424242424243,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.030303030303030304
porcie,0.1666666666666666,0.24242424242424243,0.9696969696969697,1.2121212121212122,0.24242424242424243,18.939393939393938,7.102272727272725,1.9393939393939394,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.7272727272727273,0.24242424242424243,0.24242424242424243,0.48484848484848486,0.7272727272727273,1.4545454545454546,0.48484848484848486,0.48484848484848486,0.5473484848484849,0.5473484848484849,2.367424242424242
compagne,1.0,0.09090909090909091,0.36363636363636365,0.4545454545454546,0.09090909090909091,7.102272727272725,27.272727272727277,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091
marc-anthoine,2.6666666666666665,0.24242424242424243,0.9696969696969697,1.2121212121212122,0.24242424242424243,1.9393939393939394,0.7272727272727273,18.939393939393938,2.367424242424242,2.367424242424242,2.367424242424242,2.367424242424242,2.367424242424242,0.7272727272727273,0.24242424242424243,0.24242424242424243,0.48484848484848486,0.10227272727272725,14.20454545454545,4.734848484848484,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.24242424242424243
chef1-antoine,0.3333333333333333,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.24242424242424243,0.09090909090909091,2.367424242424242,31.03030303030303,31.03030303030303,31.03030303030303,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.030303030303030304
chef1-antoine,0.3333333333333333,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.24242424242424243,0.09090909090909091,2.367424242424242,31.03030303030303,31.03030303030303,31.03030303030303,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.030303030303030304
chef1-antoine,0.3333333333333333,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.24242424242424243,0.09090909090909091,2.367424242424242,31.03030303030303,31.03030303030303,31.03030303030303,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.030303030303030304
suite-antoine,0.3333333333333333,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.24242424242424243,0.09090909090909091,2.367424242424242,0.030303030303030304,0.030303030303030304,0.030303030303030304,31.03030303030303,31.03030303030303,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.030303030303030304
suite-antoine,0.3333333333333333,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.24242424242424243,0.09090909090909091,2.367424242424242,0.030303030303030304,0.030303030303030304,0.030303030303030304,31.03030303030303,31.03030303030303,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.030303030303030304
chef1-brute,4.0,0.09090909090909091,0.36363636363636365,0.6545454545454544,0.09090909090909091,0.7272727272727273,0.2727272727272727,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,27.272727272727277,9.09090909090909,9.09090909090909,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091
chef2-brute,1.3333333333333337,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.24242424242424243,0.09090909090909091,0.24242424242424243,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,9.09090909090909,31.03030303030303,31.03030303030303,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.030303030303030304
chef2-brute,1.3333333333333337,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.24242424242424243,0.09090909090909091,0.24242424242424243,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,9.09090909090909,31.03030303030303,31.03030303030303,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.030303030303030304
pindare,0.6666666666666666,0.06060606060606061,12.742424242424242,1.6030303030303032,0.06060606060606061,0.48484848484848486,0.18181818181818182,0.48484848484848486,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.18181818181818182,0.06060606060606061,0.06060606060606061,29.12121212121212,18.18181818181818,0.36363636363636365,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.06060606060606061
demetrie,1.0,0.09090909090909091,7.363636363636362,0.6545454545454544,0.09090909090909091,0.7272727272727273,0.2727272727272727,0.10227272727272725,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,18.18181818181818,27.272727272727277,0.3787878787878789,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091
octave,2.0,0.18181818181818182,0.7272727272727273,0.9090909090909092,0.18181818181818182,1.4545454545454546,0.5454545454545454,14.20454545454545,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.3787878787878789,22.090909090909093,7.363636363636362,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.18181818181818182
soldat,0.6666666666666666,0.06060606060606061,0.24242424242424243,0.30303030303030304,0.06060606060606061,0.48484848484848486,0.18181818181818182,4.734848484848484,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.12121212121212122,0.18181818181818182,7.363636363636362,29.12121212121212,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.06060606060606061
straton,2.6666666666666674,0.06060606060606061,0.24242424242424243,0.30303030303030304,0.06060606060606061,0.48484848484848486,0.18181818181818182,0.48484848484848486,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.12121212121212122,0.18181818181818182,0.36363636363636365,0.12121212121212122,29.12121212121212,6.371212121212121,6.371212121212121,0.06060606060606061
ami1-brute,0.1666666666666667,0.06060606060606061,0.24242424242424243,0.30303030303030304,0.06060606060606061,0.5473484848484849,0.18181818181818182,0.48484848484848486,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.12121212121212122,0.18181818181818182,0.36363636363636365,0.12121212121212122,6.371212121212121,29.12121212121212,29.12121212121212,14.56060606060606
ami1-brute,0.1666666666666667,0.06060606060606061,0.24242424242424243,0.30303030303030304,0.06060606060606061,0.5473484848484849,0.18181818181818182,0.48484848484848486,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.12121212121212122,0.18181818181818182,0.36363636363636365,0.12121212121212122,6.371212121212121,29.12121212121212,29.12121212121212,14.56060606060606
ami1-brute ami2-brute,0.3333333333333333,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.030303030303030304,2.367424242424242,0.09090909090909091,0.24242424242424243,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.06060606060606061,0.06060606060606061,14.56060606060606,14.56060606060606,31.03030303030303
