VALEUR,énée,achate,palinure,anne,didon,chœur-des-phéniciennes,iarbe,thérodomante,jule,ascagne,chœur-des-troyens,chœur,barce,mercure,chœur-des-[phéniciennes]-[tyriens],messager
Fréquences (scènes),0.45454545454545453,0.45454545454545453,0.18181818181818182,0.45454545454545453,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091
Fréquences(répliques),0.1807992202729045,0.038011695906432746,0.029239766081871343,0.15107212475633527,0.2884990253411306,0.042884990253411304,0.03216374269005848,0.006335282651072124,0.012670565302144249,0.004873294346978557,0.05360623781676413,0.024853801169590642,0.015107212475633527,0.009259259259259259,0.10185185185185185,0.008771929824561403
Confrontation,0.10377358490566038,0.1320754716981132,0.05660377358490566,0.10377358490566038,0.14150943396226415,0.0660377358490566,0.009433962264150943,0.009433962264150943,0.03773584905660377,0.03773584905660377,0.05660377358490566,0.08490566037735849,0.08490566037735849,0.018867924528301886,0.018867924528301886,0.03773584905660377
Déviations,énée,achate,palinure,anne,didon,chœur-des-phéniciennes,iarbe,thérodomante,jule,ascagne,chœur-des-troyens,chœur,barce,mercure,chœur-des-[phéniciennes]-[tyriens],messager
énée,3.2727272727272734,1.3127272727272732,0.009090909090909073,0.7127272727272725,0.7127272727272725,0.009090909090909073,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.9090909090909092,0.009090909090909073,0.009090909090909073,0.6545454545454544,0.4545454545454546,0.4545454545454546
achate,1.3127272727272732,3.2727272727272734,1.3090909090909089,2.2727272727272725,0.7127272727272725,0.009090909090909073,0.4545454545454546,0.4545454545454546,0.6545454545454544,0.6545454545454544,0.009090909090909073,0.009090909090909073,0.009090909090909073,0.6545454545454544,0.4545454545454546,0.4545454545454546
palinure,0.009090909090909097,1.3090909090909089,7.363636363636362,0.9090909090909091,0.9090909090909091,0.36363636363636365,0.18181818181818182,0.18181818181818182,3.681818181818181,3.681818181818181,1.1136363636363635,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182
anne,0.7127272727272725,2.2727272727272725,0.9090909090909092,3.2727272727272734,1.3127272727272732,0.009090909090909073,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.009090909090909073,0.009090909090909073,0.009090909090909073,0.4545454545454546,0.6545454545454544,0.6545454545454544
didon,0.7127272727272725,0.7127272727272725,0.9090909090909092,1.3127272727272732,3.2727272727272734,1.3090909090909089,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.009090909090909073,1.3090909090909089,1.3090909090909089,0.4545454545454546,0.6545454545454544,0.6545454545454544
chœur-des-phéniciennes,0.009090909090909097,0.009090909090909097,0.36363636363636365,0.009090909090909097,1.3090909090909089,7.363636363636362,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365,1.1136363636363635,1.1136363636363635,0.18181818181818182,0.18181818181818182,0.18181818181818182
iarbe,0.45454545454545453,0.45454545454545453,0.18181818181818182,0.45454545454545453,0.45454545454545453,0.18181818181818182,9.09090909090909,9.09090909090909,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091
