VALEUR,oreste,pylade,clytemnestre,doride,eurybate,cassandre,ismene,agamemnon,arbas
Fréquences (scènes),0.34210526315789475,0.07894736842105263,0.2631578947368421,0.10526315789473684,0.21052631578947367,0.23684210526315788,0.13157894736842105,0.4473684210526316,0.07894736842105263
Fréquences(répliques),0.21917007597895968,0.01928696668614845,0.17884278199883108,0.015780245470485097,0.06253652834599649,0.21507890122735243,0.03272939801285798,0.24605493863237873,0.010520163646990065
Confrontation,0.17647058823529413,0.04411764705882353,0.14705882352941177,0.058823529411764705,0.11764705882352941,0.1323529411764706,0.07352941176470588,0.22058823529411764,0.029411764705882353
Déviations,oreste,pylade,clytemnestre,doride,eurybate,cassandre,ismene,agamemnon,arbas
oreste,16.44736842105263,3.7955465587044546,0.5902834008097166,1.3684210526315788,1.102226720647773,0.37809266756635185,0.2951417004048583,1.3633007859014052,1.026315789473684
pylade,3.795546558704453,32.23684210526316,0.7894736842105263,0.3157894736842105,0.631578947368421,0.7105263157894737,0.39473684210526316,1.3421052631578947,0.23684210526315788
clytemnestre,0.5902834008097166,0.7894736842105263,20.63157894736842,8.252631578947371,0.5802631578947367,0.790643274853801,1.3157894736842104,1.3678018575851394,0.7894736842105263
doride,1.368421052631579,0.3157894736842105,8.252631578947371,30.42105263157895,0.8421052631578947,0.9473684210526315,0.5263157894736842,1.7894736842105263,0.3157894736842105
eurybate,1.1022267206477734,0.631578947368421,0.5802631578947367,0.8421052631578947,23.68421052631579,1.894736842105263,1.0526315789473684,1.6377708978328174,0.631578947368421
cassandre,0.37809266756635185,0.7105263157894737,0.790643274853801,0.9473684210526315,1.894736842105263,22.131578947368425,6.695321637426901,1.0197798417612658,0.7105263157894737
ismene,0.2951417004048583,0.39473684210526316,1.3157894736842104,0.5263157894736842,1.0526315789473684,6.695321637426901,28.65789473684211,2.236842105263158,0.39473684210526316
agamemnon,1.3633007859014052,1.3421052631578947,1.3678018575851394,1.789473684210526,1.637770897832818,1.0197798417612658,2.236842105263158,11.605263157894738,0.3224974200206399
arbas,1.0263157894736843,0.23684210526315788,0.7894736842105263,0.3157894736842105,0.631578947368421,0.7105263157894737,0.39473684210526316,0.3224974200206399,32.23684210526316
Successions,oreste,pylade,clytemnestre,doride,eurybate,cassandre,ismene,agamemnon,arbas
oreste,0.01818181818181818,0.2,0.2,0.0,0.07272727272727272,0.21818181818181817,0.03636363636363636,0.23636363636363636,0.01818181818181818
pylade,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
clytemnestre,0.3157894736842105,0.0,0.02631578947368421,0.34210526315789475,0.05263157894736842,0.10526315789473684,0.0,0.15789473684210525,0.0
doride,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
eurybate,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.7272727272727273,0.0
cassandre,0.25,0.0,0.11363636363636363,0.0,0.0,0.0,0.38636363636363635,0.25,0.0
ismene,0.15789473684210525,0.0,0.0,0.0,0.0,0.8421052631578947,0.0,0.0,0.0
agamemnon,0.25,0.0,0.08928571428571429,0.0,0.2857142857142857,0.21428571428571427,0.0,0.05357142857142857,0.10714285714285714
arbas,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,0.0
