VALEUR,carlos,Pedre,alfonce,olympe,Alexis,leonard,alexis,marcelle,alvare,lavicereine,lucille,lesquatrehommesmasques,lemasque,ladame,unpage,legarde
Fréquences (scènes),0.5675675675675675,0.1891891891891892,0.05405405405405406,0.2702702702702703,0.16216216216216217,0.16216216216216217,0.02702702702702703,0.21621621621621623,0.24324324324324326,0.16216216216216217,0.08108108108108109,0.02702702702702703,0.02702702702702703,0.10810810810810811,0.05405405405405406,0.05405405405405406
Fréquences(répliques),0.30615640599001664,0.07542983915696062,0.021630615640599003,0.12146422628951747,0.08541320022185246,0.04492512479201331,0.0016638935108153079,0.13089295618413754,0.056572379367720464,0.043815862451469775,0.05379922351636162,0.0011092623405435386,0.0066555740432612314,0.04270660011092623,0.0011092623405435386,0.0066555740432612314
Confrontation,0.21014492753623187,0.07246376811594203,0.021739130434782608,0.11594202898550725,0.06521739130434782,0.07971014492753623,0.014492753623188406,0.07971014492753623,0.10869565217391304,0.07971014492753623,0.043478260869565216,0.014492753623188406,0.007246376811594203,0.036231884057971016,0.036231884057971016,0.014492753623188406
Déviations,carlos,Pedre,alfonce,olympe,Alexis,leonard,alexis,marcelle,alvare,lavicereine,lucille,lesquatrehommesmasques,lemasque,ladame,unpage,legarde
carlos,6.918918918918918,2.306306306306306,0.016087516087516077,0.08043758043758058,3.4054054054054057,1.6990561990561992,0.5675675675675675,4.54054054054054,3.3038753038753046,0.048262548262548326,0.05190905190905185,0.3294723294723295,0.3294723294723295,1.317889317889318,0.016087516087516077,0.658944658944659
Pedre,2.3063063063063063,24.324324324324323,0.37837837837837834,1.891891891891892,1.135135135135135,1.135135135135135,0.18918918918918917,1.5135135135135134,1.7027027027027029,0.016087516087516077,3.615186615186616,0.18918918918918917,0.18918918918918917,0.7567567567567567,0.37837837837837834,0.37837837837837834
alfonce,0.016087516087516077,0.37837837837837834,33.108108108108105,0.39054054054054044,1.4076576576576574,0.32432432432432434,0.05405405405405406,0.43243243243243246,0.4864864864864865,0.32432432432432434,0.16216216216216217,0.05405405405405406,0.05405405405405406,0.21621621621621623,0.10810810810810811,0.10810810810810811
olympe,0.08043758043758038,1.891891891891892,0.39054054054054044,19.702702702702705,0.23828828828828835,0.23828828828828835,1.9702702702702701,0.6246621621621622,0.8435435435435437,0.08828828828828823,0.8108108108108109,1.9702702702702701,0.2702702702702703,0.006081081081081089,0.39054054054054044,0.5405405405405406
Alexis,3.4054054054054057,1.135135135135135,1.4076576576576574,0.23828828828828835,25.972972972972972,0.972972972972973,0.16216216216216217,5.6306306306306295,1.6261261261261253,0.972972972972973,0.4864864864864865,0.16216216216216217,0.16216216216216217,0.6486486486486487,0.32432432432432434,0.32432432432432434
leonard,1.699056199056199,1.135135135135135,0.32432432432432434,0.23828828828828835,0.972972972972973,25.972972972972972,4.328828828828828,0.3806306306306305,4.422422422422421,0.0007507507507507477,0.4864864864864865,0.16216216216216217,0.16216216216216217,0.6486486486486487,1.4076576576576574,0.32432432432432434
alexis,0.5675675675675675,0.18918918918918917,0.05405405405405406,1.9702702702702701,0.16216216216216217,4.328828828828828,35.02702702702703,0.21621621621621623,0.24324324324324326,0.16216216216216217,0.08108108108108109,0.02702702702702703,0.02702702702702703,0.10810810810810811,0.05405405405405406,0.05405405405405406
marcelle,4.54054054054054,1.5135135135135134,0.43243243243243246,0.6246621621621622,5.6306306306306295,0.3806306306306305,0.21621621621621623,22.72972972972973,2.168168168168168,1.2972972972972974,0.6486486486486487,0.21621621621621623,0.21621621621621623,0.8648648648648649,0.43243243243243246,0.43243243243243246
alvare,3.3038753038753037,1.7027027027027029,0.4864864864864865,0.8435435435435437,1.6261261261261253,4.422422422422421,0.24324324324324326,2.168168168168168,21.189189189189186,0.14464464464464474,0.7297297297297297,0.24324324324324326,0.24324324324324326,0.972972972972973,0.542042042042042,0.4864864864864865
lavicereine,0.04826254826254823,0.016087516087516077,0.32432432432432434,0.08828828828828823,0.972972972972973,0.0007507507507507477,0.16216216216216217,1.2972972972972974,0.14464464464464474,25.972972972972972,4.708708708708708,0.16216216216216217,0.16216216216216217,0.6486486486486487,1.4076576576576574,0.32432432432432434
lucille,0.051909051909051936,3.615186615186616,0.16216216216216217,0.8108108108108109,0.4864864864864865,0.4864864864864865,0.08108108108108109,0.6486486486486487,0.7297297297297297,4.708708708708708,31.24324324324324,0.08108108108108109,0.08108108108108109,0.32432432432432434,0.16216216216216217,0.16216216216216217
lesquatrehommesmasques,0.3294723294723295,0.18918918918918917,0.05405405405405406,1.9702702702702701,0.16216216216216217,0.16216216216216217,0.02702702702702703,0.21621621621621623,0.24324324324324326,0.16216216216216217,0.08108108108108109,35.02702702702703,0.02702702702702703,0.10810810810810811,0.05405405405405406,0.05405405405405406
lemasque,0.3294723294723295,0.18918918918918917,0.05405405405405406,0.2702702702702703,0.16216216216216217,0.16216216216216217,0.02702702702702703,0.21621621621621623,0.24324324324324326,0.16216216216216217,0.08108108108108109,0.02702702702702703,35.02702702702703,0.10810810810810811,0.05405405405405406,0.05405405405405406
ladame,1.317889317889318,0.7567567567567567,0.21621621621621623,0.006081081081081089,0.6486486486486487,0.6486486486486487,0.10810810810810811,0.8648648648648649,0.972972972972973,0.6486486486486487,0.32432432432432434,0.10810810810810811,0.10810810810810811,29.43243243243243,0.21621621621621623,0.21621621621621623
unpage,0.016087516087516077,0.37837837837837834,0.10810810810810811,0.39054054054054044,0.32432432432432434,1.4076576576576574,0.05405405405405406,0.43243243243243246,0.542042042042042,1.4076576576576574,0.16216216216216217,0.05405405405405406,0.05405405405405406,0.21621621621621623,33.108108108108105,0.10810810810810811
legarde,0.658944658944659,0.37837837837837834,0.10810810810810811,0.5405405405405406,0.32432432432432434,0.32432432432432434,0.05405405405405406,0.43243243243243246,0.4864864864864865,0.32432432432432434,0.16216216216216217,0.05405405405405406,0.05405405405405406,0.21621621621621623,0.10810810810810811,33.108108108108105
Successions,carlos,Pedre,alfonce,olympe,Alexis,leonard,alexis,marcelle,alvare,lavicereine,lucille,lesquatrehommesmasques,lemasque,ladame,unpage,legarde
carlos,0.09900990099009901,0.3465346534653465,0.039603960396039604,0.12871287128712872,0.0,0.009900990099009901,0.0,0.009900990099009901,0.009900990099009901,0.039603960396039604,0.09900990099009901,0.009900990099009901,0.009900990099009901,0.13861386138613863,0.0,0.0594059405940594
Pedre,0.926829268292683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0
alfonce,0.5555555555555556,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olympe,0.3888888888888889,0.0,0.1111111111111111,0.0,0.027777777777777776,0.08333333333333333,0.0,0.25,0.05555555555555555,0.027777777777777776,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0
Alexis,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.6,0.37142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leonard,0.05263157894736842,0.0,0.0,0.21052631578947367,0.0,0.0,0.05263157894736842,0.3157894736842105,0.3157894736842105,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
alexis,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marcelle,0.0,0.0,0.0,0.2,0.4444444444444444,0.15555555555555556,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alvare,0.0625,0.0,0.0,0.09375,0.40625,0.21875,0.0,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lavicereine,0.2777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.05555555555555555,0.0
lucille,0.29411764705882354,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0
lesquatrehommesmasques,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemasque,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladame,0.8235294117647058,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0
unpage,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
lemasque,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
