VALEUR,alexandre,perdiccas,oronte,clairance,argire,oraxene,clarice,porus,arsacide,arsarcide,orontesenallant,porusbas,oraxenecontinue,perdicas,phradate
Fréquences (scènes),0.38461538461538464,0.2692307692307692,0.11538461538461539,0.34615384615384615,0.5,0.38461538461538464,0.11538461538461539,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
Fréquences(répliques),0.09532374100719425,0.11390887290167866,0.0017985611510791368,0.06414868105515588,0.15047961630695444,0.05455635491606715,0.08213429256594725,0.22961630695443644,0.1474820143884892,0.0077937649880095924,0.0005995203836930455,0.001199040767386091,0.004196642685851319,0.007194244604316547,0.039568345323741004
Confrontation,0.1134453781512605,0.07142857142857142,0.046218487394957986,0.11764705882352941,0.14705882352941177,0.12184873949579832,0.037815126050420166,0.14705882352941177,0.11764705882352941,0.025210084033613446,0.01680672268907563,0.01680672268907563,0.008403361344537815,0.008403361344537815,0.004201680672268907
Déviations,alexandre,perdiccas,oronte,clairance,argire,oraxene,clarice,porus,arsacide,arsarcide,orontesenallant,porusbas,oraxenecontinue,perdicas,phradate
alexandre,9.846153846153845,0.03516483516483523,0.020512820512820544,0.6170940170940172,0.2,0.8861538461538463,0.020512820512820544,0.4153846153846151,0.3461538461538461,0.0692307692307692,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464
perdiccas,0.035164835164835116,13.884615384615383,1.76007326007326,0.13736263736263746,1.7857142857142858,0.035164835164835116,0.8076923076923077,1.5402930402930401,0.035164835164835116,0.5384615384615385,0.2692307692307693,0.2692307692307693,0.2692307692307693,1.983516483516483,0.2692307692307693
oronte,0.020512820512820544,1.76007326007326,20.346153846153843,0.0014245014245014146,0.16666666666666666,0.020512820512820544,0.34615384615384615,0.27350427350427353,0.6205128205128202,2.5641025641025634,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539
clairance,0.6170940170940172,0.13736263736263746,0.0014245014245014306,11.115384615384617,0.5,1.8615384615384614,0.8903133903133901,0.3205128205128207,0.6170940170940172,0.6923076923076923,1.235042735042735,1.235042735042735,1.235042735042735,0.34615384615384615,0.34615384615384615
argire,0.2,1.7857142857142858,0.16666666666666666,0.5,6.5,0.0,1.5,0.16666666666666666,0.8,1.0,0.5,0.5,0.5,0.5,0.5
oraxene,0.8861538461538463,0.03516483516483523,0.020512820512820544,1.8615384615384614,0.0,9.846153846153845,0.6205128205128202,0.08205128205128218,0.006153846153846145,0.7692307692307693,0.38461538461538464,0.38461538461538464,0.9846153846153847,0.9846153846153847,0.38461538461538464
