VALEUR,demetrius,telamon,milon,arsinoe,ismenie,seleucus,laodice,alexandre,diocles
Fréquences (scènes),0.3170731707317073,0.17073170731707318,0.4878048780487805,0.21951219512195122,0.3170731707317073,0.14634146341463414,0.07317073170731707,0.2682926829268293,0.024390243902439025
Fréquences(répliques),0.22684703433922998,0.013527575442247659,0.2903225806451613,0.1077003121748179,0.12278876170655567,0.045785639958376693,0.01664932362122789,0.17221644120707597,0.004162330905306972
Confrontation,0.16981132075471697,0.09433962264150944,0.24528301886792453,0.11320754716981132,0.1509433962264151,0.0660377358490566,0.02830188679245283,0.11320754716981132,0.018867924528301886
Déviations,demetrius,telamon,milon,arsinoe,ismenie,seleucus,laodice,alexandre,diocles
demetrius,19.121951219512198,0.274457250067006,0.0683864915572232,0.4604961434229728,2.3645547698080533,0.4280800500312695,0.9512195121951219,0.6346580249019277,0.3170731707317073
telamon,0.274457250067006,28.195121951219505,0.10034843205574899,1.5365853658536588,0.274457250067006,1.024390243902439,0.5121951219512195,1.8780487804878052,0.1707317073170732
milon,0.0683864915572232,0.10034843205574899,10.756097560975611,0.590243902439024,1.760694183864916,0.39349593495934965,1.4634146341463414,2.1113082039911313,0.4878048780487805
arsinoe,0.4604961434229728,1.5365853658536586,0.590243902439024,24.975609756097562,2.8536585365853657,1.3170731707317072,0.6585365853658536,0.0711998029071201,0.21951219512195122
ismenie,2.3645547698080533,0.274457250067006,1.760694183864916,2.8536585365853657,19.121951219512198,0.4280800500312695,4.412757973733584,0.07521746546136776,1.470919324577861
seleucus,0.4280800500312695,1.024390243902439,0.39349593495934965,1.3170731707317074,0.4280800500312695,29.878048780487813,0.4390243902439024,0.2309682187730969,0.14634146341463417
laodice,0.9512195121951219,0.5121951219512195,1.4634146341463414,0.6585365853658537,4.412757973733584,0.4390243902439024,35.21951219512195,0.8048780487804877,0.07317073170731708
alexandre,0.6346580249019274,1.878048780487805,2.1113082039911304,0.07119980290711996,0.0752174654613679,0.23096821877309673,0.8048780487804877,21.951219512195124,1.9955654101995564
diocles,0.3170731707317073,0.17073170731707318,0.4878048780487805,0.21951219512195122,1.470919324577861,0.14634146341463414,0.07317073170731707,1.9955654101995564,39.02439024390243
Successions,demetrius,telamon,milon,arsinoe,ismenie,seleucus,laodice,alexandre,diocles
demetrius,0.015384615384615385,0.07692307692307693,0.49230769230769234,0.18461538461538463,0.046153846153846156,0.015384615384615385,0.0,0.16923076923076924,0.0
telamon,0.3125,0.0,0.625,0.0,0.0,0.0,0.0,0.0625,0.0
milon,0.32989690721649484,0.10309278350515463,0.020618556701030927,0.21649484536082475,0.12371134020618557,0.18556701030927836,0.010309278350515464,0.0,0.010309278350515464
arsinoe,0.3023255813953488,0.0,0.4418604651162791,0.023255813953488372,0.0,0.0,0.0,0.23255813953488372,0.0
ismenie,0.07692307692307693,0.019230769230769232,0.25,0.0,0.0,0.019230769230769232,0.1346153846153846,0.4807692307692308,0.019230769230769232
seleucus,0.041666666666666664,0.0,0.7083333333333334,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0
laodice,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0
alexandre,0.17543859649122806,0.0,0.07017543859649122,0.15789473684210525,0.45614035087719296,0.07017543859649122,0.017543859649122806,0.03508771929824561,0.017543859649122806
diocles,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
