VALEUR,latinus,turne,amata,juturne,lavinie,sidon,acate,enee,tyrene
Fréquences (scènes),0.3793103448275862,0.4827586206896552,0.5517241379310345,0.2413793103448276,0.5862068965517241,0.13793103448275862,0.06896551724137931,0.27586206896551724,0.034482758620689655
Fréquences(répliques),0.17704517704517705,0.2905982905982906,0.11965811965811966,0.06837606837606838,0.13736263736263737,0.07020757020757021,0.009768009768009768,0.12332112332112333,0.003663003663003663
Confrontation,0.16279069767441862,0.1686046511627907,0.21511627906976744,0.0872093023255814,0.20930232558139536,0.03488372093023256,0.011627906976744186,0.09883720930232558,0.011627906976744186
Déviations,latinus,turne,amata,juturne,lavinie,sidon,acate,enee,tyrene
latinus,11.172413793103448,0.08956560680698601,0.14282915360501577,0.16166592028661003,0.04720634335238802,0.1763322884012539,0.7586206896551724,1.2731191222570535,0.3793103448275862
turne,0.08956560680698625,7.758620689655173,0.21074507389162583,0.0425756509500352,0.17748478701825535,1.9310344827586206,0.9655172413793103,0.19242610837438412,0.5541871921182268
amata,0.14282915360501577,0.21074507389162547,5.8275862068965525,0.1924261083743843,1.3976926977687634,0.6600215517241379,1.103448275862069,0.4528556034482758,0.36422413793103453
juturne,0.16166592028660984,0.0425756509500352,0.19242610837438412,16.68965517241379,0.002607939727615161,1.1083743842364535,0.48275862068965514,0.44889162561576346,0.24137931034482757
lavinie,0.04720634335238802,0.17748478701825582,1.3976926977687634,0.002607939727615205,4.965517241379311,0.050709939148072966,1.1724137931034482,0.6087728194726164,0.5862068965517241
sidon,0.1763322884012539,1.9310344827586208,0.6600215517241379,1.1083743842364528,0.050709939148072966,21.551724137931032,0.27586206896551724,1.103448275862069,0.13793103448275862
acate,0.7586206896551724,0.9655172413793104,1.103448275862069,0.4827586206896552,1.1724137931034482,0.27586206896551724,25.137931034482758,3.801724137931035,0.06896551724137931
enee,1.2731191222570535,0.1924261083743843,0.4528556034482758,0.44889162561576357,0.6087728194726164,1.103448275862069,3.801724137931035,15.20689655172414,0.27586206896551724
tyrene,0.3793103448275862,0.5541871921182264,0.36422413793103453,0.2413793103448276,0.5862068965517241,0.13793103448275862,0.06896551724137931,0.27586206896551724,27.034482758620694
Successions,latinus,turne,amata,juturne,lavinie,sidon,acate,enee,tyrene
latinus,0.0,0.34375,0.15625,0.0,0.28125,0.125,0.0,0.09375,0.0
turne,0.18518518518518517,0.0,0.2222222222222222,0.07407407407407407,0.4444444444444444,0.0,0.0,0.07407407407407407,0.0
amata,0.16279069767441862,0.3488372093023256,0.023255813953488372,0.023255813953488372,0.2558139534883721,0.11627906976744186,0.0,0.046511627906976744,0.023255813953488372
juturne,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.0,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.0
lavinie,0.18518518518518517,0.3888888888888889,0.24074074074074073,0.05555555555555555,0.0,0.09259259259259259,0.0,0.037037037037037035,0.0
sidon,0.2,0.0,0.4,0.06666666666666667,0.26666666666666666,0.0,0.0,0.06666666666666667,0.0
acate,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0
enee,0.05263157894736842,0.2631578947368421,0.10526315789473684,0.05263157894736842,0.15789473684210525,0.0,0.3157894736842105,0.05263157894736842,0.0
tyrene,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
