VALEUR,clodius,appius,fabian,plautie,virginie,camille,severe,icile,fulvie,pison
Fréquences (scènes),0.22580645161290322,0.41935483870967744,0.03225806451612903,0.5161290322580645,0.45161290322580644,0.0967741935483871,0.0967741935483871,0.22580645161290322,0.03225806451612903,0.06451612903225806
Fréquences(répliques),0.10097919216646267,0.22827417380660955,0.0018359853121175031,0.19033047735618114,0.22031823745410037,0.04834761321909425,0.03182374541003672,0.16340269277845776,0.0073439412484700125,0.0073439412484700125
Confrontation,0.12222222222222222,0.15555555555555556,0.022222222222222223,0.23333333333333334,0.2111111111111111,0.044444444444444446,0.044444444444444446,0.1111111111111111,0.011111111111111112,0.044444444444444446
Déviations,clodius,appius,fabian,plautie,virginie,camille,severe,icile,fulvie,pison
clodius,18.580645161290327,3.1992201347040057,2.654377880184332,0.7200460829493086,1.47761685319289,0.6774193548387096,0.6774193548387096,1.5806451612903227,0.22580645161290322,0.6658986175115207
appius,3.1992201347040057,10.451612903225804,0.8039702233250622,2.0510235732009923,1.403934774902517,1.2580645161290323,1.2580645161290323,1.2761432116270828,0.4193548387096774,0.8387096774193548
fabian,2.654377880184332,0.8039702233250617,29.03225806451613,0.5161290322580645,0.45161290322580644,0.0967741935483871,0.0967741935483871,0.22580645161290322,0.03225806451612903,0.06451612903225806
plautie,0.7200460829493086,2.0510235732009927,0.5161290322580645,7.258064516129033,0.0070564516129032135,0.19422043010752688,0.1317204301075269,0.10397465437788016,0.45362903225806456,0.9072580645161291
virginie,1.47761685319289,1.403934774902517,0.45161290322580644,0.0070564516129032135,9.322580645161292,0.3072196620583718,0.09293394777265741,0.2225148123765636,0.45161290322580644,0.010368663594470051
camille,0.6774193548387096,1.2580645161290323,0.0967741935483871,0.19422043010752688,0.3072196620583718,25.29032258064517,0.29032258064516125,0.1536098310291859,0.0967741935483871,0.1935483870967742
severe,0.6774193548387096,1.2580645161290323,0.0967741935483871,0.1317204301075269,0.09293394777265741,0.29032258064516125,25.29032258064517,0.1536098310291859,0.0967741935483871,0.1935483870967742
icile,1.5806451612903227,1.2761432116270828,0.22580645161290322,0.10397465437788016,0.2225148123765636,0.1536098310291859,0.1536098310291859,18.580645161290327,0.22580645161290322,0.45161290322580644
fulvie,0.22580645161290322,0.41935483870967744,0.03225806451612903,0.45362903225806456,0.45161290322580644,0.0967741935483871,0.0967741935483871,0.22580645161290322,29.03225806451613,0.06451612903225806
pison,0.6658986175115207,0.8387096774193549,0.06451612903225806,0.9072580645161291,0.010368663594470051,0.1935483870967742,0.1935483870967742,0.45161290322580644,0.06451612903225806,27.12903225806452
Successions,clodius,appius,fabian,plautie,virginie,camille,severe,icile,fulvie,pison
clodius,0.0,0.7777777777777778,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
appius,0.3409090909090909,0.045454545454545456,0.022727272727272728,0.20454545454545456,0.29545454545454547,0.0,0.0,0.09090909090909091,0.0,0.0
fabian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plautie,0.06666666666666667,0.2,0.0,0.044444444444444446,0.35555555555555557,0.06666666666666667,0.044444444444444446,0.1111111111111111,0.044444444444444446,0.06666666666666667
virginie,0.0,0.2727272727272727,0.0,0.36363636363636365,0.01818181818181818,0.03636363636363636,0.0,0.3090909090909091,0.0,0.0
camille,0.0,0.0,0.0,0.375,0.125,0.0,0.0,0.5,0.0,0.0
severe,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.4,0.0,0.0
icile,0.0,0.08823529411764706,0.0,0.11764705882352941,0.5882352941176471,0.08823529411764706,0.08823529411764706,0.029411764705882353,0.0,0.0
fulvie,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
pison,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
