VALEUR,laforest,antoine,mignard,lulli,madelon,mignard lulli antoine laforest madelon,moliere,boileau,chapelle,la-fontaine,la-fontaine lulli chapelle boileau laforest moliere,la-fontaine lulli chapelle boileau laforest mignard,la-fontaine lulli chapelle boileau laforest moliere mignard,mathurin,villageois
moliere,0.18285714285714297,0.2,0.0025974025974026113,0.028571428571428602,0.05142857142857138,0.7142857142857142,1.1428571428571426,0.6857142857142858,0.6857142857142858,0.5714285714285713,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.22857142857142873,0.22857142857142873
boileau,0.3857142857142856,0.3333333333333333,0.0173160173160173,0.005291005291005253,0.009523809523809516,0.42857142857142855,0.6857142857142858,4.571428571428573,4.571428571428573,3.8095238095238098,0.7619047619047619,0.7619047619047619,0.7619047619047619,1.5238095238095237,1.5238095238095237
boileau,0.3857142857142856,0.3333333333333333,0.0173160173160173,0.005291005291005253,0.009523809523809516,0.42857142857142855,0.6857142857142858,4.571428571428573,4.571428571428573,3.8095238095238098,0.7619047619047619,0.7619047619047619,0.7619047619047619,1.5238095238095237,1.5238095238095237
la-fontaine,0.09142857142857148,0.1,0.0012987012987013056,0.19206349206349202,0.02571428571428569,0.3571428571428571,0.5714285714285713,3.8095238095238098,3.8095238095238098,5.785714285714286,1.1571428571428575,1.1571428571428575,1.1571428571428575,2.314285714285715,2.314285714285715
la-fontaine lulli chapelle boileau laforest moliere,0.11428571428571427,0.5,0.058441558441558454,0.19841269841269835,0.35714285714285715,0.07142857142857142,0.11428571428571427,0.7619047619047619,0.7619047619047619,1.1571428571428568,12.071428571428573,12.071428571428573,12.071428571428573,0.14285714285714285,0.14285714285714285
la-fontaine lulli chapelle boileau laforest moliere,0.11428571428571427,0.5,0.058441558441558454,0.19841269841269835,0.35714285714285715,0.07142857142857142,0.11428571428571427,0.7619047619047619,0.7619047619047619,1.1571428571428568,12.071428571428573,12.071428571428573,12.071428571428573,0.14285714285714285,0.14285714285714285
la-fontaine lulli chapelle boileau laforest moliere,0.11428571428571427,0.5,0.058441558441558454,0.19841269841269835,0.35714285714285715,0.07142857142857142,0.11428571428571427,0.7619047619047619,0.7619047619047619,1.1571428571428568,12.071428571428573,12.071428571428573,12.071428571428573,0.14285714285714285,0.14285714285714285
mathurin,0.22857142857142854,1.0,0.11688311688311691,0.3968253968253967,2.3142857142857136,0.14285714285714285,0.22857142857142854,1.5238095238095237,1.5238095238095237,2.3142857142857136,0.14285714285714285,0.14285714285714285,0.14285714285714285,10.285714285714288,10.285714285714288
mathurin,0.22857142857142854,1.0,0.11688311688311691,0.3968253968253967,2.3142857142857136,0.14285714285714285,0.22857142857142854,1.5238095238095237,1.5238095238095237,2.3142857142857136,0.14285714285714285,0.14285714285714285,0.14285714285714285,10.285714285714288,10.285714285714288
Successions,laforest,antoine,mignard,lulli,madelon,mignard lulli antoine laforest madelon,moliere,boileau,chapelle,la-fontaine,la-fontaine lulli chapelle boileau laforest moliere,la-fontaine lulli chapelle boileau laforest mignard,la-fontaine lulli chapelle boileau laforest moliere mignard,mathurin,villageois
laforest,0.0,0.2558139534883721,0.13953488372093023,0.18604651162790697,0.046511627906976744,0.0,0.23255813953488372,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.0,0.0,0.0,0.0,0.0
antoine,0.40625,0.03125,0.09375,0.15625,0.03125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125
mignard,0.13636363636363635,0.11363636363636363,0.0,0.22727272727272727,0.045454545454545456,0.0,0.045454545454545456,0.1590909090909091,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
lulli,0.19148936170212766,0.0425531914893617,0.2127659574468085,0.0,0.1702127659574468,0.02127659574468085,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.06382978723404255,0.02127659574468085,0.0,0.0,0.0,0.02127659574468085
madelon,0.05555555555555555,0.4444444444444444,0.1111111111111111,0.16666666666666666,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
mignard lulli antoine laforest madelon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moliere,0.18032786885245902,0.03278688524590164,0.08196721311475409,0.11475409836065574,0.06557377049180328,0.01639344262295082,0.04918032786885246,0.08196721311475409,0.13114754098360656,0.08196721311475409,0.03278688524590164,0.0,0.01639344262295082,0.04918032786885246,0.06557377049180328
boileau,0.03125,0.0,0.1875,0.125,0.0,0.0,0.3125,0.0,0.3125,0.0,0.0,0.0,0.0,0.03125,0.0
chapelle,0.04878048780487805,0.04878048780487805,0.1951219512195122,0.0975609756097561,0.0,0.0,0.2682926829268293,0.14634146341463414,0.0,0.1951219512195122,0.0,0.0,0.0,0.0,0.0
la-fontaine,0.0,0.0,0.041666666666666664,0.16666666666666666,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.041666666666666664,0.0,0.0,0.0
la-fontaine lulli chapelle boileau laforest moliere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
la-fontaine lulli chapelle boileau laforest mignard,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la-fontaine lulli chapelle boileau laforest moliere mignard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mathurin,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
villageois,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
