VALEUR,laforest,antoine,mignard,lulli,madelon,mignard lulli antoine laforest madelon,moliere,boileau,chapelle,la-fontaine,la-fontaine lulli chapelle boileau laforest moliere,la-fontaine lulli chapelle boileau laforest mignard,la-fontaine lulli chapelle boileau laforest moliere mignard,mathurin,villageois
Fréquences (scènes),0.7142857142857143,0.5,0.7857142857142857,0.6428571428571429,0.35714285714285715,0.07142857142857142,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285
Fréquences(répliques),0.11684782608695653,0.07880434782608696,0.1331521739130435,0.125,0.03260869565217391,0.010869565217391304,0.17391304347826086,0.10326086956521739,0.07336956521739131,0.10869565217391304,0.0,0.0,0.0,0.002717391304347826,0.04076086956521739
Confrontation,0.1072961373390558,0.07725321888412018,0.12017167381974249,0.10944206008583691,0.06866952789699571,0.01072961373390558,0.11158798283261803,0.08583690987124463,0.08583690987124463,0.07939914163090128,0.019313304721030045,0.019313304721030045,0.019313304721030045,0.04291845493562232,0.04291845493562232
Déviations,laforest,antoine,mignard,lulli,madelon,mignard lulli antoine laforest madelon,moliere,boileau,chapelle,la-fontaine,la-fontaine lulli chapelle boileau laforest moliere,la-fontaine lulli chapelle boileau laforest mignard,la-fontaine lulli chapelle boileau laforest moliere mignard,mathurin,villageois
laforest,1.1428571428571426,0.2,0.16623376623376634,0.38412698412698404,0.05142857142857138,0.11428571428571437,0.18285714285714297,0.3857142857142856,0.3857142857142856,0.09142857142857148,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.22857142857142873,0.22857142857142873
antoine,0.2,3.5,0.045454545454545456,0.05555555555555555,2.5,0.5,0.2,0.3333333333333333,0.3333333333333333,0.1,0.5,0.5,0.5,1.0,1.0
mignard,0.16623376623376607,0.045454545454545456,0.6428571428571431,0.12193362193362176,0.0012987012987012894,0.058441558441558454,0.0025974025974025788,0.0173160173160173,0.0173160173160173,0.0012987012987012894,0.058441558441558454,0.058441558441558454,0.058441558441558454,0.11688311688311691,0.11688311688311691
lulli,0.38412698412698404,0.05555555555555555,0.121933621933622,1.7857142857142847,0.19206349206349202,0.1984126984126985,0.028571428571428602,0.00529100529100532,0.00529100529100532,0.19206349206349202,0.1984126984126985,0.1984126984126985,0.1984126984126985,0.396825396825397,0.396825396825397
madelon,0.05142857142857138,2.5,0.0012987012987013056,0.19206349206349202,5.785714285714286,1.1571428571428575,0.05142857142857138,0.009523809523809516,0.009523809523809516,0.02571428571428569,0.3571428571428571,0.3571428571428571,0.3571428571428571,2.314285714285715,2.314285714285715
mignard lulli antoine laforest madelon,0.11428571428571427,0.5,0.058441558441558454,0.19841269841269835,1.1571428571428568,12.071428571428573,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285
