VALEUR,ACHATE,ASCAIGNE,PALINURE,ÉNÉE,LE CHOEUR DES TROYENS,DIDON,LE CHOEUR,ANNE,BARCE
Fréquences (scènes),0.4,0.2,0.2,0.6,0.2,0.8,0.8,0.6,0.4
Fréquences(répliques),0.06455696202531645,0.012236286919831224,0.012236286919831224,0.1839662447257384,0.05907172995780591,0.3421940928270042,0.10464135021097046,0.16371308016877636,0.05738396624472574
Confrontation,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.15714285714285714,0.05714285714285714,0.17142857142857143,0.17142857142857143,0.14285714285714285,0.07142857142857142
Déviations,ACHATE,ASCAIGNE,PALINURE,ÉNÉE,LE CHOEUR DES TROYENS,DIDON,LE CHOEUR,ANNE,BARCE
ACHATE,1.7999999999999998,0.8999999999999999,0.8999999999999999,0.5333333333333334,0.8999999999999999,0.22500000000000006,0.22500000000000006,0.03333333333333332,0.8000000000000002
ASCAIGNE,0.8999999999999999,3.2000000000000006,3.2000000000000006,0.2666666666666667,3.2000000000000006,0.8000000000000002,0.8000000000000002,0.6,0.4000000000000001
ASCAIGNE,0.8999999999999999,3.2000000000000006,3.2000000000000006,0.2666666666666667,3.2000000000000006,0.8000000000000002,0.8000000000000002,0.6,0.4000000000000001
ÉNÉE,0.533333333333333,0.2666666666666665,0.2666666666666665,0.8000000000000003,0.2666666666666665,0.06666666666666678,0.06666666666666678,0.022222222222222265,1.2000000000000002
ASCAIGNE,0.8999999999999999,3.2000000000000006,3.2000000000000006,0.2666666666666667,3.2000000000000006,0.8000000000000002,0.8000000000000002,0.6,0.4000000000000001
DIDON,0.22500000000000006,0.8000000000000002,0.8000000000000002,0.06666666666666664,0.8000000000000002,0.1999999999999999,0.1999999999999999,0.15000000000000005,0.09999999999999995
DIDON,0.22500000000000006,0.8000000000000002,0.8000000000000002,0.06666666666666664,0.8000000000000002,0.1999999999999999,0.1999999999999999,0.15000000000000005,0.09999999999999995
ANNE,0.03333333333333339,0.6000000000000001,0.6000000000000001,0.022222222222222265,0.6000000000000001,0.1499999999999998,0.1499999999999998,0.8000000000000003,0.03333333333333339
BARCE,0.8000000000000002,0.4000000000000001,0.4000000000000001,1.2,0.4000000000000001,0.09999999999999995,0.09999999999999995,0.03333333333333332,1.7999999999999998
Successions,ACHATE,ASCAIGNE,PALINURE,ÉNÉE,LE CHOEUR DES TROYENS,DIDON,LE CHOEUR,ANNE,BARCE
ACHATE,0.0,0.15384615384615385,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0
ASCAIGNE,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
PALINURE,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ÉNÉE,0.3870967741935484,0.0,0.0,0.0,0.0,0.0967741935483871,0.45161290322580644,0.06451612903225806,0.0
LE CHOEUR DES TROYENS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DIDON,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.16666666666666666
LE CHOEUR,0.0,0.0,0.0,0.6666666666666666,0.0,0.125,0.0,0.0,0.20833333333333334
ANNE,0.0,0.0,0.0,0.2,0.0,0.4,0.1,0.0,0.3
BARCE,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.0
