VALEUR,marcellin,yoland,camille,federic,valere,fabrice,octave,florise
Fréquences (scènes),0.23076923076923078,0.38461538461538464,0.358974358974359,0.358974358974359,0.28205128205128205,0.28205128205128205,0.10256410256410256,0.07692307692307693
Fréquences(répliques),0.04319300164024057,0.24822307271733188,0.15636960087479496,0.2520503007107709,0.14160743575724438,0.11098961180973209,0.03280481137233461,0.014762165117550574
Confrontation,0.09821428571428571,0.1875,0.17857142857142858,0.16071428571428573,0.16071428571428573,0.14285714285714285,0.044642857142857144,0.026785714285714284
Déviations,marcellin,yoland,camille,federic,valere,fabrice,octave,florise
marcellin,23.076923076923077,3.6170940170940167,0.4688644688644689,1.5402930402930401,0.9324009324009324,2.5384615384615383,0.923076923076923,0.6923076923076923
yoland,3.6170940170940167,14.769230769230766,0.3560439560439562,2.127472527472528,0.13986013986013984,1.1762237762237762,0.1884615384615384,1.153846153846154
camille,0.4688644688644689,0.3560439560439562,16.025641025641026,0.2093144950287807,0.9617049617049619,0.2798867798867798,1.435897435897436,3.4340659340659325
federic,1.5402930402930401,2.127472527472528,0.2093144950287807,16.025641025641026,0.0006660006660006612,0.0006660006660006612,1.7037545787545787,1.076923076923077
valere,0.9324009324009327,0.13986013986013984,0.9617049617049619,0.0006660006660006612,20.102564102564102,1.160415342233524,0.014568764568764565,0.8461538461538463
fabrice,2.5384615384615388,1.1762237762237762,0.2798867798867798,0.0006660006660006612,1.160415342233524,20.102564102564102,1.1282051282051282,0.8461538461538463
octave,0.9230769230769231,0.1884615384615385,1.435897435897436,1.7037545787545787,0.014568764568764565,1.1282051282051282,31.410256410256412,0.3076923076923077
florise,0.6923076923076923,1.153846153846154,3.4340659340659343,1.0769230769230769,0.8461538461538461,0.8461538461538461,0.3076923076923077,33.230769230769226
Successions,marcellin,yoland,camille,federic,valere,fabrice,octave,florise
marcellin,0.0,0.7058823529411765,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.0,0.0,0.0
yoland,0.2708333333333333,0.052083333333333336,0.16666666666666666,0.13541666666666666,0.3125,0.020833333333333332,0.03125,0.010416666666666666
camille,0.0392156862745098,0.3137254901960784,0.0196078431372549,0.19607843137254902,0.0392156862745098,0.19607843137254902,0.0,0.19607843137254902
federic,0.09090909090909091,0.22727272727272727,0.12121212121212122,0.10606060606060606,0.13636363636363635,0.07575757575757576,0.24242424242424243,0.0
valere,0.015873015873015872,0.5079365079365079,0.06349206349206349,0.14285714285714285,0.0,0.2222222222222222,0.047619047619047616,0.0
fabrice,0.0,0.0625,0.28125,0.125,0.5,0.03125,0.0,0.0
octave,0.0,0.09090909090909091,0.0,0.7272727272727273,0.18181818181818182,0.0,0.0,0.0
florise,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
