VALEUR,le-comte-de-neucastel,euric,le-duc-de-norfolc,le-comte-de-morray,lancastre,elisabeth,marie-stuard,killegre,melvin
Fréquences (scènes),0.21875,0.15625,0.40625,0.34375,0.09375,0.4375,0.1875,0.0625,0.03125
Fréquences(répliques),0.17873563218390803,0.011494252873563218,0.27241379310344827,0.16666666666666666,0.027011494252873563,0.2655172413793103,0.07011494252873564,0.004022988505747126,0.004022988505747126
Confrontation,0.11764705882352941,0.10294117647058823,0.19117647058823528,0.17647058823529413,0.04411764705882353,0.20588235294117646,0.10294117647058823,0.04411764705882353,0.014705882352941176
Déviations,le-comte-de-neucastel,euric,le-duc-de-norfolc,le-comte-de-morray,lancastre,elisabeth,marie-stuard,killegre,melvin
le-comte-de-neucastel,19.53125,0.7508928571428571,0.2503434065934066,0.14650974025974026,0.65625,1.3890306122448979,1.3125,0.4375,0.21875
euric,0.7508928571428571,22.78125,0.0004807692307692308,0.30056818181818185,0.46875,0.01607142857142857,0.9375,0.3125,0.15625
le-duc-de-norfolc,0.2503434065934066,0.0004807692307692308,11.28125,2.6925262237762237,1.21875,1.2699175824175823,0.12980769230769232,1.7355769230769231,0.40625
le-comte-de-morray,0.14650974025974026,0.30056818181818185,2.6925262237762237,13.78125,0.000946969696969697,0.007305194805194805,0.5473484848484849,0.6875,0.34375
lancastre,0.65625,0.46875,1.21875,0.000946969696969697,26.28125,0.3601190476190476,0.5625,0.1875,0.09375
elisabeth,1.3890306122448979,0.01607142857142857,1.2699175824175823,0.007305194805194805,0.3601190476190476,10.125,1.005952380952381,0.875,0.4375
marie-stuard,1.3125,0.9375,0.12980769230769232,0.5473484848484849,0.5625,1.005952380952381,21.125,1.0416666666666667,3.5208333333333335
killegre,0.4375,0.3125,1.7355769230769231,0.6875,0.1875,0.875,1.0416666666666667,28.125,0.0625
melvin,0.21875,0.15625,0.40625,0.34375,0.09375,0.4375,3.5208333333333335,0.0625,30.03125
Successions,le-comte-de-neucastel,euric,le-duc-de-norfolc,le-comte-de-morray,lancastre,elisabeth,marie-stuard,killegre,melvin
le-comte-de-neucastel,0.034482758620689655,0.034482758620689655,0.4482758620689655,0.3103448275862069,0.0,0.13793103448275862,0.034482758620689655,0.0,0.0
euric,0.2,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0
le-duc-de-norfolc,0.30952380952380953,0.047619047619047616,0.047619047619047616,0.023809523809523808,0.0,0.38095238095238093,0.14285714285714285,0.047619047619047616,0.0
le-comte-de-morray,0.2647058823529412,0.0,0.029411764705882353,0.0,0.058823529411764705,0.5882352941176471,0.058823529411764705,0.0,0.0
lancastre,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.7777777777777778,0.0,0.0,0.0
elisabeth,0.08771929824561403,0.03508771929824561,0.2631578947368421,0.3684210526315789,0.12280701754385964,0.07017543859649122,0.03508771929824561,0.017543859649122806,0.0
marie-stuard,0.0,0.0,0.4666666666666667,0.13333333333333333,0.0,0.2,0.06666666666666667,0.0,0.13333333333333333
killegre,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
melvin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
