VALEUR,nerine,olimpe,lidamas,cleanthe,melice,sylvestre,thelame,lucille,thelame melice
Fréquences (scènes),0.15151515151515152,0.3939393939393939,0.36363636363636365,0.5151515151515151,0.3333333333333333,0.48484848484848486,0.15151515151515152,0.09090909090909091,0.030303030303030304
Fréquences(répliques),0.044075558099599316,0.15569547796222094,0.13508872352604465,0.34630795649685175,0.11677160847166572,0.1385231825987407,0.029765311963365768,0.03319977103606182,0.0005724098454493417
Confrontation,0.06470588235294118,0.15294117647058825,0.14705882352941177,0.21176470588235294,0.11764705882352941,0.20588235294117646,0.06470588235294118,0.011764705882352941,0.023529411764705882
Déviations,nerine,olimpe,lidamas,cleanthe,melice,sylvestre,thelame,lucille,thelame melice
nerine,23.757575757575754,4.662004662004661,0.018181818181818146,0.128698752228164,1.6666666666666665,0.07424242424242426,0.7575757575757576,0.4545454545454546,0.15151515151515152
olimpe,4.662004662004661,12.121212121212121,3.861888111888111,0.07253530782942554,2.564102564102564,0.2693764568764568,1.9696969696969697,1.1818181818181819,0.3939393939393939
lidamas,0.018181818181818146,3.8618881118881134,13.363636363636367,0.10828877005347597,2.25,0.005681818181818171,1.8181818181818183,1.0909090909090908,0.36363636363636365
cleanthe,0.128698752228164,0.07253530782942536,0.10828877005347597,7.757575757575757,0.07843137254901947,2.746100713012478,0.128698752228164,1.5454545454545454,0.45632798573975053
melice,1.6666666666666667,2.564102564102564,2.25,0.07843137254901947,14.66666666666667,0.020833333333333405,6.666666666666665,1.0,1.333333333333333
sylvestre,0.07424242424242426,0.2693764568764568,0.005681818181818171,2.746100713012478,0.020833333333333297,8.757575757575758,0.13674242424242422,1.4545454545454546,0.5473484848484849
thelame,0.7575757575757576,1.9696969696969697,1.8181818181818183,0.128698752228164,6.666666666666668,0.13674242424242422,23.757575757575754,0.4545454545454546,4.751515151515152
lucille,0.4545454545454546,1.1818181818181817,1.0909090909090908,1.5454545454545454,1.0,1.4545454545454546,0.4545454545454546,27.272727272727277,0.09090909090909091
thelame melice,0.15151515151515152,0.3939393939393939,0.36363636363636365,0.45632798573975053,1.3333333333333337,0.5473484848484849,4.751515151515152,0.09090909090909091,31.03030303030303
Successions,nerine,olimpe,lidamas,cleanthe,melice,sylvestre,thelame,lucille,thelame melice
nerine,0.0,0.7058823529411765,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0
olimpe,0.2641509433962264,0.0,0.20754716981132076,0.4339622641509434,0.0,0.09433962264150944,0.0,0.0,0.0
lidamas,0.0,0.23076923076923078,0.0,0.46153846153846156,0.0,0.28846153846153844,0.0,0.0,0.019230769230769232
cleanthe,0.02608695652173913,0.2,0.16521739130434782,0.034782608695652174,0.1826086956521739,0.34782608695652173,0.043478260869565216,0.0,0.0
melice,0.0,0.0,0.0,0.5526315789473685,0.02631578947368421,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.0
sylvestre,0.0,0.07462686567164178,0.2537313432835821,0.5373134328358209,0.11940298507462686,0.0,0.0,0.014925373134328358,0.0
thelame,0.0,0.0,0.0,0.29411764705882354,0.4117647058823529,0.23529411764705882,0.0,0.058823529411764705,0.0
lucille,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0
thelame melice,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
