VALEUR,spadarille,olimpie,cleandre,cascaret,alcidor,gusman,fabrice,ferdinand,stephanie,lazarille,la-servante,henriquez,l-hote,lise,cleon,crispin,fernand,philipin,lucresse,canteas
Fréquences (scènes),0.21666666666666667,0.08333333333333333,0.15,0.06666666666666667,0.11666666666666667,0.2,0.18333333333333332,0.06666666666666667,0.08333333333333333,0.21666666666666667,0.016666666666666666,0.11666666666666667,0.03333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.31666666666666665,0.06666666666666667,0.03333333333333333,0.016666666666666666
Fréquences(répliques),0.14174454828660435,0.04984423676012461,0.05646417445482866,0.00895638629283489,0.03115264797507788,0.14213395638629284,0.07126168224299065,0.060358255451713395,0.028426791277258567,0.10085669781931464,0.00661993769470405,0.025311526479750778,0.0035046728971962616,0.017523364485981307,0.02453271028037383,0.11682242990654206,0.07087227414330217,0.017133956386292833,0.0035046728971962616,0.022975077881619937
Confrontation,0.07446808510638298,0.04609929078014184,0.0673758865248227,0.03900709219858156,0.05673758865248227,0.09929078014184398,0.07446808510638298,0.03546099290780142,0.04964539007092199,0.09929078014184398,0.0035460992907801418,0.05673758865248227,0.02127659574468085,0.03546099290780142,0.01773049645390071,0.0851063829787234,0.0851063829787234,0.02127659574468085,0.02127659574468085,0.010638297872340425
Déviations,spadarille,olimpie,cleandre,cascaret,alcidor,gusman,fabrice,ferdinand,stephanie,lazarille,la-servante,henriquez,l-hote,lise,cleon,crispin,fernand,philipin,lucresse,canteas
spadarille,36.81666666666667,14.160256410256414,13.078205128205127,5.251282051282051,13.252930402930403,2.6,2.3833333333333333,0.8666666666666667,1.0833333333333333,2.816666666666667,0.21666666666666667,1.5166666666666666,0.43333333333333335,1.0833333333333333,1.0833333333333333,3.25,4.116666666666666,0.8666666666666667,0.43333333333333335,0.21666666666666667
olimpie,14.160256410256407,50.416666666666664,6.75,8.333333333333336,10.01190476190476,1.0,0.9166666666666666,0.3333333333333333,0.41666666666666663,1.0833333333333335,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.41666666666666663,0.41666666666666663,1.25,1.5833333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333
cleandre,13.078205128205125,6.75,43.35000000000001,19.266666666666666,14.85952380952381,1.8,1.65,0.6,0.75,1.9500000000000002,0.15,1.05,0.3,0.75,0.75,2.25,2.85,0.6,0.3,0.15
cascaret,5.251282051282051,8.333333333333336,19.266666666666666,52.26666666666667,5.038095238095238,0.8000000000000002,0.7333333333333333,0.26666666666666666,0.3333333333333333,0.8666666666666667,0.06666666666666667,0.4666666666666667,0.13333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.2666666666666666,0.26666666666666666,0.13333333333333333,0.06666666666666667
alcidor,13.252930402930403,10.011904761904766,14.85952380952381,5.038095238095238,46.81666666666668,1.4000000000000001,1.2833333333333332,0.4666666666666667,0.5833333333333333,1.5166666666666666,0.11666666666666667,0.8166666666666667,0.23333333333333334,0.5833333333333333,0.5833333333333333,1.75,2.216666666666667,0.4666666666666667,0.23333333333333334,0.11666666666666667
gusman,2.6,1.0,1.7999999999999998,0.8000000000000002,1.4,38.39999999999999,15.290909090909096,1.7999999999999998,9.0,11.215384615384616,0.20000000000000004,4.828571428571429,6.400000000000001,1.0,1.0,3.0,3.8000000000000003,0.8000000000000002,0.4000000000000001,0.20000000000000004
