id_piece_source,id_piece_inspiree,type_inspiration,source
trissino-sofonisba,mairet-sophonisbe,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Dracor ITA)
tasso-re_torrismondo,dalibray-torrismon,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Dracor ITA)
hardy-felismene,rotrou-celimene,,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces sur les lignées de pièces françaises)
corneille-melite,rotrou-clorinde,,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces sur les lignées de pièces françaises)
rotrou-diane,scudery-fils_suppose,,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces sur les lignées de pièces françaises)
scudery-comedie_comediens,corneille-illusion_comique,,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces sur les lignées de pièces françaises)
hardy-mort_achille,benserade-mort_achille,,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces sur les lignées de pièces françaises)
guerin_de_bouscal-mort-brute,boyer-porcie_romaine,,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces sur les lignées de pièces françaises)
garnier-bradamante,la_calprenede-bradamante,,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces sur les lignées de pièces françaises)
hardy-belle_egyptienne,sallebray-belle_egyptienne,,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces sur les lignées de pièces françaises)
corneille-rodogune,gilbert-rodogune,,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces sur les lignées de pièces françaises)
tristan-mariane,la_calprenede-mort_enfants_herode,suite,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces sur les lignées de pièces françaises)
racine-phedre-77,racine-phedre-97,réédition,Script d'Aaron Boussidan de comparaison d'embeddings de pièces (version du 20 avril 2023)
lope-villana_xetafe,rotrou-diane,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec ARTELOPE)
lope-amar_sin_saber,corneille-suite_menteur,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec ARTELOPE)
lope-honrado_hermano,corneille-horace,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec ARTELOPE)
lope-fingido_verdadero,rotrou-saint_genest,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec ARTELOPE)
lope-inocente_laura,ouville-trahisons_arbiran,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec ARTELOPE)
lope-embustes_celauro,ouville-trahisons_arbiran,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec ARTELOPE)
lope-laura_perseguida,rotrou-laure_persecutee,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec ARTELOPE)
calderon-dama_duende,ouville-esprit_follet,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Canon 60)
calderon-casa,ouville-fausses_verites,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Canon 60)
ruiz-verdad_sospechosa,corneille-menteur,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Canon 60)
rojas_zorrilla-donde,scarron-jodelet,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Cervantes Virtual)
rojas_zorrilla-traicion,scarron-trois_dorotees,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Cervantes Virtual)
rojas_zorrilla-amigo,scarron-trois_dorotees,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Cervantes Virtual)
calderon-pintor_deshonra,corneille-polyeucte,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Cervantes Virtual)
castro-mocedades_cid,corneille-cid,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Canon 60)
mira_amescua-desdicha,desfontaines-belisaire,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Cervantes Virtual)
mira_amescua-desdicha,rotrou-belissaire,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Cervantes Virtual)
rojas_zorrilla-no_hay,rotrou-venceslas,traduction ?,Thèse de Céline Fournial (ajout de Philippe Gambette : analyse des données d'Hyperpièces croisées avec Cervantes Virtual)
molina-amor_amistad,villedieu-favori,traduction et adaptation,Édition de Delphine Amstutz
