,dorneval-jugement-de-paris,quinault-cadmus-hermione,Cost,Operation Type
0,,"('#pales', 'Hâtez-vous, Pasteurs, accourez.')",1.0,Deletion
1,"('#mercure', ""Serviteur à Monsieur Gargot. Air 11 : On n'aime point d'ans mes forêts."")","('#melisse', 'La voix des oiseaux nous appelle.')",1.87,Substitution
2,,"('#pales', 'Nos champs sont éclairés.')",1.0,Deletion
3,"('#monsieur-gargot', ""Que vois-je ! C'est le Dieu Mercure."")","('#melisse', 'Nos coteaux sont dorés.')",1.76,Substitution
4,,"('#pales', ""Tout brille de l'éclat de la clarté nouvelle."")",1.0,Deletion
5,,"('#melisse', 'Mille fleurs naissent dans nos prés :')",1.0,Deletion
6,"('#mercure', 'Je vous amène un bon écot.')",,1.0,Insertion
7,"('#monsieur-gargot', ""C'est quelque galante aventure."")","('#pales #melisse', ""Que l'Astre qui nous luit rend la nature belle ! Ne perdons pas un seul moment D'un jour si doux et si charmant. Le choeur répète les deux derniers vers."")",1.09,Substitution
8,"('#mercure', 'Non. Jupiter vient en ce jour. Chez vous avec toute sa Cour. Vous y verrez Pallas, Junon,  Vous y verrez Pallas, Junon,  Et la Mère de Cupidon : Dondaine, dondaine, Et mainte autre Dondon. Olympienne. Nous y venons célébrer les noces de Thétis et de Pelée. Air 66 : Dondaine, Dondaine.')","('#le-choeur', ""Admirons, admirons l'Astre qui nous éclaire, Chantons la gloire de son cours ; Que tout le Monde revère Le Dieu qui fait nos beaux jours. Pan, Dieu des Bergers paraît accompagné de joueurs d'instruments champêtres, et de danseurs rustiques, qui viennent prendre part à la réjouissance des nymphes et des pasteurs, et tous ensemble commencent à former une manière de fête à l'honneur du Dieu qui donne le jour."")",0.63,Substitution
9,"('#monsieur-gargot', ""Le Grand Jupiter fait trop d'honneur à ma Guinguette.  Je vais me mettre en quatre, pour contenter une si belle compagnie."")","('#pan', ""Que chacun se ressente De la douceur charmante, Que le Soleil répand sur ces heureux climats. Il n'est rien qui n'enchante Dans ces lieux pleins d'appas, Tout y rit, tout y chante, Hé pourquoi ne rirons-nous pas ? Les danseurs rustiques qui ont suivi le Dieu Pan, commencent une fête qui est interrompue par des bruits souterrains, et par une espèce de Nuit qui obscurcit le théâtre entièrement, et tout_à_coup ; ce qui de frayeur qui sont une manière de concert affreux, avec les bruits souterrains."")",1.29,Substitution
10,,"('#choeurs', ""Quel désordre soudain ! quel bruit affreux redoutable ! Que épouvantable fracas ! Quels gouffres s'ouvrent sous nos pas ! Le jour palît, le Ciel se trouble ; La Terre va vomir tout l'Enfer en courroux : Fuyons, fuyons, sauvons-nous, sauvons-nous. Dans cette obscurité soudaine, l'Envie sort de son antre qui s'ouvre au milieu du théâtre : elle évoque le monstrueux Serpent Python, qui paraît dans son marais bourbeux, jettant des feux par la gueule et par les yeux, qui sont la seule lumière qui éclaire le théâtre : elle appelle les Vents les plus impétueux pour seconder sa fureur, elle en fait sortir quatre de ceux qui sont renfermez dans les cavernes souterraines, et elle en fait descendre quatre autres de ceux qui forment les orages, qui tous après avoir volé et s'être croisés dans l'air, viennent se ranger autour d'elle, pour l'aider à troubler les beaux jours que le Soleil donne au monde."")",1.0,Deletion
11,"('#mercure', ""Ils ont déjà dîné.  Ils viennent pour passer ici l'après-dinée, et y souper ensuite. Tenez.  Voilà l'ordre du repas.  Mettez vite la main à la pâte. Il lui donne un papier."")","('#l-envie', ""C'est trop voir le Soleil briller dans sa Carrière, Les Rayons qu'il lance en tous lieux, Ont trop blessé mes yeux ; Venez, noirs ennemis de sa vive lumière, Joignons nos transports furieux. Que chacun me seconde : Paraissez, Monstre affreux. Sortez ? Vents souterrains, des antres les plus creux, Volez, Tyrans des airs, troublez la Terre et l'Onde, Répandons la terreur ; Qu'avec nous le Ciel gronde : Que l'Enfer nous réponde ; Remplissons la Terre d'horreur : Que la Nature se confonde : Jetons dans tous les coeurs du monde La jalouse fureur Qui déchire mon coeur. Et vous Monstre, armez-vous pour nuire À cet astre puissant qui vous a su produire : Il répand trop de biens, il reçoit trop de voeux. Agitez vos marais bourbeux : Excitez contre lui mille vapeurs mortelles : Déployez, étendez vos ailes, Que tous les Vents impétueux S'efforcent d'éteindre ses feux. Osons tous obscurcir ses clartés les plus belles, Osons nous opposer à son cours trop heureux : Quels traits ont crevé le Nuage ? Quel Torrent enflammé s'ouvre un brillant passage ! Tu triomphes, Soleil ? Tout cède à ton pouvoir ? Que d'honneurs tu vas recevoir ! Ah quelle rage ! Ah quelle rage ! Quel désespoir ! Quel désespoir ! L'Envie distribue des Serpents aux Vents, qui forment autour d'elle de manières de tourbillons. L'envie continue à chanter. Ces vents forment de nouveaux tourbillons, tandis que le serpent Python l'élève en l'air, par un rond qu'il fait en volant.  L'Envie continue. Des traits enflammés percent l'épaisseur des nuages, et fondent sur le Serpent Python, qui après s'être débattu quelque temps en l'Air, tombe enfin tout embrasé dans son marais bourbeux ; une pluie de feu se répand sur toute la scène, et contraint l'Envie de s'abîmer avec les quatre Vents souterrains, tandis que les Vents de l'Air s'envolent, et dans le même instant les Nuages se dissipent et le théâtre devient entièrement éclairé. L'Assemblée champêtre que la frayeur avait chassée revient, pour célébrer la Victoire du Soleil, et pour lui préparer des trophées, et des sacrifices."")",1.35,Substitution
12,,"('#pales', 'Chassons la crainte qui nous presse.')",1.0,Deletion
13,,"('#melisse', 'Rien ne doit plus faire peur.')",1.0,Deletion
14,,"('#pan', ""Le Monstre est mort, l'orage cesse, Le soleil est vainqueur."")",1.0,Deletion
15,,"('#le-choeur', ""Le monstre est mort, l'orage cesse, Le soleil est vainqueur."")",1.0,Deletion
16,"('#monsieur-gargot', 'Je ne perdrai point de temps.  Holà !  Garçons !  Vous placerez ces deux Bourgeoises avec ces deux Officiers dans la chambre sur le devant.')","('#pales', ""Qu'on lui prépare De superbes autels."")",1.76,Substitution
17,"('#mercure', ""L'ordre est judicieux."")","('#melisse', ""Que l'on pare D'ornements immortels."")",1.63,Substitution
18,,"('#le-choeur', ""Conservons la mémoire De sa victoire. Par mille honneurs divers, Répandons le bruit de sa gloire Jusqu'au bout de l'univers."")",1.0,Deletion
19,,"('#pales', ""Mais le soleil s'avance, Il se découvre aux yeux de tous."")",1.0,Deletion
20,"('#monsieur-gargot', 'Ils avaient retenu celle-ci qui est plus particulière.')","('#le-choeur', 'Respectons sa présence Par un profond silence, Écoutons, taisons-nous.')",1.6,Substitution
21,"('#mercure', 'Ils choisissent bien les logements.  Ce sont apparemment deux Maréchaux des Logis.')","('#le-soleil', ""Ce n'est point par l'éclat d'un pompeux sacrifice, Que je me plais à voir mes soins recompensés ; Pour prix de mes travaux ce me doit être assez, Que chacun en jouisse ; Je fais les plus doux de mes voeux De rendre tout le monde heureux. Dans ces lieux fortunés, les Muses vont descendre, Les jeux galants suivront leurs pas ; J'inspire les chants plein d'appas Que vous allez entendre : Tandis que je suivrai mon cours, Profitez des beaux jours. Le soleil s'élève dans les Cieux, et toute l'Assemblée champêtre forme des jeux, où les chansons sont mêlées avec les danses."")",1.77,Substitution
22,"('#monsieur-gargot', 'Garçons !  Mettez du vin au frais.')","('#le-choeur', 'Profitons des beaux jours.')",1.51,Substitution
23,"('#mercure', ""Oui ; mais point de chasse-cousin, s'il vous plaît."")",,1.0,Insertion
24,"('#monsieur-gargot', ""Oh !  Nous n'avons que du bon."")","('#pales', 'Suivons tous la même envie.')",0.99,Substitution
25,,"('#le-choeur', 'Profitons des beaux jours.')",1.0,Deletion
26,"('#mercure', ""Eh !  Mon enfant, à qui vendez-vous vos coquilles ?  Ce n'est pas le vin qu'on vient chercher ici."")",,1.0,Insertion
27,"('#monsieur-gargot', ""D'accord, mais j'en ai d'excellent."")","('#melisse', 'Aimons, tout nous y convie.')",1.42,Substitution
28,,"('#le-choeur', 'Profitons des beaux jours.')",1.0,Deletion
29,,"('#pales #melisse', 'Les plus beaux jours de la vie Sont perdus sans les Amours.')",1.0,Deletion
30,,"('#le-choeur', 'Profitons des beaux jours. Tandis que les Nymphes et les Dieux champêtres dansent avec les bergers et les bergères, Palès, Melisse et Pan, mêlent leurs voix avec les instruments rustiques.')",1.0,Deletion
