,carmontelle-condamnez-sans-entendre,carmontelle-statue,Cost,Operation Type
0,"('#le-marquis', ""Le Baron me suivait, qu'est-il devenu ? Mon coeur a besoin d'un ami pour soulager la douleur qui m'accable, s'y refuserait-il ?  Non, je le vois, j'ai tort de l'accuser, le malheur nous rend souvent injustes et coupables."")","('#le-marquis', ""Le Baron me suivait ; qu'est-il devenu ?  Mon coeur a besoin d'un ami, pour soulager la douleur qui m'accable ; s'y refuserait-il ?  Non, je le vois ; j'ai tort de l'accuser.  Le malheur nous rend souvent injustes et coupables."")",0,Match
1,"('#le-baron', 'Eh bien !  Marquis, me confierez-vous enfin le sujet de votre tristesse ?')","('#le-baron', 'Eh bien, Marquis, me confierez-vous enfin le sujet de votre tristesse ?')",0,Match
2,"('#le-marquis', ""Oui, mon cher baron, à l'instant même : ce qui m'a fait désirer de vous parleer ici, c'est que je veux vous y montrer le seul objet de consolation qui me reste."")","('#le-marquis', ""Oui, mon cher Baron, à l'instant même ; ce qui m'a fait désirer de vous parler ici, c'est que je veux vous y montrer le seul objet de consolation qui me reste."")",0,Match
3,"('#le-baron', 'Ici, un objet de consolation ?')","('#le-baron', 'Ici, un objet de consolation ?')",0,Match
4,"('#le-marquis', ""Ou de regrets, n'importe, écoutez-moi : vous savez que je devais épouser la comtesse à mon retour de Touraine, où je l'ai connue.  Quel heureux temps !  Elle m'aimait alors, du moins je le croyais."")","('#le-marquis', ""Ou de regrets, n'importe ; écoutez-moi.  Vous savez que je devais épouser la Comtesse à mon retour de Touraine, où je l'ai connue.  Quel heureux temps !  Elle m'aimait alors ; du moins je le croyais !"")",0,Match
5,"('#le-baron', ""Qui peut vous faire imaginer qu'elle ait pu changer ?"")","('#le-baron', ""Qui peut vous faire imaginer qu'elle ait pu changer ?"")",0,Match
6,"('#le-marquis', ""Tout, baron.  Que je regrette l'heureux séjour de la province !  On est aimé sans distraction, afin d'occuper entièrement l'objet qu'on aime, que faut-il plus ?"")","('#le-marquis', ""Tout, Baron.  Que je regrette l'heureux séjour de la province !  On est aimé sans distraction.  Sûr d'occuper entièrement l'objet qu'on aime, que faut-il de plus ?"")",0,Match
7,"('#le-baron', 'Quoique la comtesse y soit née, en vous épousant elle ne pouvait y demeurer longtemps.')","('#le-baron', 'Quoique la Comtesse y soit née, en vous épousant, elle me pouvait y demeurer longtemps.')",0,Match
8,"('#le-marquis', ""Ah !  Sans l'état de ma mère, qui ne ma permet pas de quitter ce lieu-ci, je n'aurais pas été pressé de l'amener à Paris : j'espérais qu'ayant sa nièce avec elle en y arrivant, que demeurant avec ma mère à Auteuil, ce serait la même chose que quand nous étions en province."")","('#le-marquis', ""Ah !  Sans l'état de ma mère, qui ne lui permet pas de quitter ce lieu-ci, je n'aurais pas été pressé de l'amener à Paris.  J'espérais qu'ayant sa nièce avec elle en y arrivant, que demeurant avec ma mère et à Auteuil, ce serait la même chose que lorsque nous étions en province."")",0,Match
9,"('#le-baron', 'Eh bien ?')","('#le-baron', 'Eh bien ? ')",0,Match
