,biancollelli-arlequin-gentilhomme,biancollelli-foire-galante,Cost,Operation Type
0,"('#colombine', 'Allons, maître faquin, dénichez promptement. ')","('#venus', ""Chantez, chantez, ne vous lassez jamais, Et qu'à vos voix, l'écho réponde. Les plaisirs et les jeux remplissent vos souhaits, Vous êtes les mortels les plus heureux du monde. Chantez, etc."")",1.08,Substitution
1,,"('#le-choeur', ""Chantons, chantons, etc. Les trois Grâces dansent sur l'air des plaisirs du prologue, après quoi suit :"")",1.0,Deletion
2,"('#pierrot', ""C'est ainsi que l'on traite un méchant garnement,  Hors d'ici... "")",,1.0,Insertion
3,"('#arlequin', 'Modérez cette brusque colère,  Monsieur, que votre main soit un peu plus légère,  Et vous, Madame, ayez plus de compassion,  Vous pourriez bien me faire une contusion,  Je ne vis de mes jours femme plus violente,  Qui connaît mieux que moi votre humeur turbulente ? ')","('#venus', 'Quel soudain carillon, et quels terribles bruits, Ciel ! qui peut amener ce bélître où je suis ?')",0.98,Substitution
4,"('#colombine', ""Je ferais beaucoup mieux de te remercier,  Et te laisser gratis vider tout mon cellier,  Chez moi depuis trois mois tu prends ta nourriture,  J'ai voulu te prêter dix écus sans usure,  Et tu ne songes pas encore à t'acquitter,  Demain je prendrai soin de te faire arrêter,  Une obscure prison sera ta récompense,  Si par le paiement tu n'obtiens ta quittance. "")","('#scaramouche', ""Je viens ici pour troubler votre fête, De mes regards éprouvez la terreur. Dans mes transports, il n'est rien qui m'arrête, Je me nourris de carnage et d'horreur. Je suis nommé l'ennemi de nature, Le destructeur de tout le genre humain. Une des Grâces le caresse. Je ne veux point d'amoureuse aventure Si je ne fais cocu le dieu Vulcain. Cupidon veut le blesser. De Cupidon, j'incague Mon souffle seul repousse tous ses dards, Le grand Jupin redoute ma vengeance, Et pour ami, je n'ai que le dieu Mars. Air : Folies d'Espagne"")",0.72,Substitution
5,"('#arlequin', ""Vous voulez en prison faire mettre Arlequin,  Je n'y resterai pas je suis trop libertin."")",,1.0,Insertion
6,"('#pierrot', ""Bon, bon, quand une fois tu seras dans la cage,  Quoique tu sois porté pour le libertinage,  Tu ne sortiras pas pour t'aller promener,  Je te ferai mon cher, moi-même emprisonner,  Foi de Pierrot, hélas ! Quel serment effroyable  Cela me fait trembler/ "")","('#scaramouche', ""Quel sot ici porte un pas téméraire ? En badinant, je veux l'exterminer. Non, tu n'es pas digne de ma colère, Vas, dis partout que je sais pardonner. Pierrot le bat."")",0.52,Substitution
7,"('#arlequin', ""Vous êtes trop bon Diable,  Vous n'avez pas le coeur de me faire enfermer. "")",,1.0,Insertion
8,"('#pierrot', ""Oh si tu prenais l'air tu pourrais t'enrhumer,  Dans un cachot bien clos tu seras à ton aise. "")",,1.0,Insertion
9,"('#arlequin', ""Le cachot est mal sain et n'a rien qui me plaise,  D'ailleurs la solitude a pour moi peu d'appas. "")",,1.0,Insertion
