dumaniant-francais-en-huronie,dumaniant-francais-en-huronie-1787,Score
"('#frontin', ""C'est un triste séjour, Monsieur, que l'Huronie, Oh ! vous avez beau dire, en ces lieux je m'ennuie, On est mieux à Québec ; tâchons d'y retourner. Tenez je me fais fort de vous y ramener."")",-,0.0
"('#valcour', 'Zamire ne vient point.')",-,0.0
"('#frontin', ""Ô Ciel ! toujours Zamire, Peste soit de l'amour !"")",-,0.0
"('#valcour', 'Ah ! quel cruel martyre !')",-,0.0
"('#frontin', 'Martyre est bien le mot. Je me meurs de frayeur. ')",-,0.0
"('#valcour', 'Poltron !')",-,0.0
"('#frontin', ""Poltron soit. Je voudrais de bon coeur Que vous renonçassiez à l'amour qui vous lie. Cet amour, tous les jours expose votre vie. Au milieu de ces bois, sans amis, sans secours Ah ! que prétendez-vous ?"")",-,0.0
"('#valcour', ""L'idolâtrer toujours, Jusqu'au dernier soupir lui conserver ma flamme."")",-,0.0
"('#frontin', 'Mais vous ne voulez point en faire votre femme ?')",-,0.0
"('#valcour', ""Eh, quelle autre plus qu'elle a des droits sur mon coeur ? Oui vivre son époux est pour moi le bonheur."")",-,0.0
"('#frontin', ""Vous ! épouser Zamire ? Ah ! quelle extravagance ? Vous voulez donc, Monsieur ? renoncer à la France, Habiter ces climats et devenir Huron ? L'amour jusqu'à ce point trouble-t-il la raison ?"")",-,0.0
"('#valcour', ""Pense donc, malheureux, que l'air que je respire, Hélas ! est un bienfait de la tendre Zamire, Égarés dans ces bois, sans ses soins généreux, Sans ses secours, Frontin, nous périssions tous deux. À sa compassion je dois mon existence, Étouffant dans mon coeur toute reconnaissance, Je pourrais la trahir, la fuir, l'abandonner ! Et ses conseils, cruel, tu peux me les donner ? Va, Frontin, ne crois pas qu'à ce point je m'oublie."")",-,0.0
"('#frontin', ""Bon ! bon ! laissons passer cet accès de folie, Ce n'est qu'un feu de paille ; il aime, il est Français."")",-,0.0
