,quinault-isis,quinault-thesee,Cost,Operation Type
0,"('#la-renommee #suite', 'Publions en tous lieux Du plus grand des héros la valeur triomphante. Que la Terre et les cieux  Retentissent du bruit de sa gloire éclatante.')","('#un-plaisir', ""Le maître de ces lieux n'aime que la victoire, Il en fait ses plus chers désirs : Il néglige ici les plaisirs, Et tous ses soins sont pour la gloire."")",0.68,Substitution
1,,"('#le-choeur-des-graces', 'Les jeux et les amours Ne règnent pas toujours.')",1.0,Deletion
2,"('#la-renommee', ""C'est lui dont les Dieux ont fait choix  Pour combler le bonheur de l'Empire François, En vain pour le troubler, tout s'unit, tout conspire, C'est en vain que l'Envie a ligué tant de rois. Heureux l'Empire  Qui suit ses lois !"")","('#un-plaisir', ""C'était dans ces jardins, au bord de ces fontaines, Que l'aimable mère d'amour Espérait d'établir sa bienheureuse cour : Mais ses espérances sont vaines."")",0.92,Substitution
3,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")","('#le-choeur-des-graces', 'Les jeux et les amours Ne règnent pas toujours.')",1.77,Substitution
4,,"('#un-des-jeux', ""Ne nous écartons pas de ces charmantes plaines, Allons nous retirer dans les bois d'alentour."")",1.0,Deletion
5,,"('#trois-jeux', 'Ah ! Quelles peines De quitter un si beau séjour !')",1.0,Deletion
6,"('#la-renommee', ""Il faut que partout on l'admire Parlons de ses vertus racontons ses exploits, A peine y pourrons nous suffire Avec toutes nos voix;"")","('#trois-plaisirs', ""Le maître de ces lieux n'aime que la victoire, Il en fait ses plus chers désirs : Il néglige ici les plaisirs, Et tous ses soins sont pour la gloire."")",0.68,Substitution
7,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",,1.0,Insertion
8,"('#la-renommee', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")","('#le-choeur-graces', 'Les jeux et les amours Ne règnent pas toujours. Les amours, les grâces, les plaisirs et les jeux se retirent.')",1.21,Substitution
9,,"('#venus', ""Revenez, amours, revenez ; Pourquoi quitter ces lieux où l'on est sans alarmes ? La beauté perd ses plus doux charmes, Sitôt que vous l'abandonnez : Revenez, amours, revenez. Beaux lieux, où les plaisirs suivaient partout mes pas, Que sont devenus vos appas ? Qu'un si charmant séjour est triste et solitaire ! Hélas ! Hélas ! Les amours n'y sont pas, Sans les amours, rien ne peut plaire. Revenez, amours, revenez ; Quel chagrin si pressant vous a tous emmenés ? Est-il quelque danger dont Mars ne vous délivre ? Il chasse les fureurs de ces lieux fortunés, À la seule victoire il permet de le suivre. Revenez, amours, revenez. On entend des trompettes et des tambours dont le bruit se mêle au son de plusieurs instruments champêtres. Cependant Mars paraît sur son char avec Bellone."")",1.0,Deletion
10,"('#le-choeur', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")","('#mars', ""Que rien ne trouble ici Vénus et les amours. Que sous d'aimables lois, dans ces douces retraites, On passe en repos d'heureux jours ; Que les hautbois, que les musettes L'emportent sur les trompettes, Et sur les tambours. Que rien ne trouble ici Vénus et les amours. On n'entend plus le bruit des trompettes et des tambours, et plusieurs instruments champêtres jouent dans le temps que Mars descend."")",0.92,Substitution
11,,"('#mars', ""Partez, allez, volez, redoutable Bellone. Laissez en paix ici les amours et les jeux ; Que Cérès, que Bacchus, s'avancent avec eux ; Éloignez ce qui les étonne. Portez aux ennemis de cet empire heureux Tout ce que la guerre a d'affreux : Vénus le veut, Mars vous l'ordonne. Partez, allez, volez, redoutable Bellone. Bellone obéit, et s'envole."")",1.0,Deletion
