campistron-achille,quinault-isis,Score
"('#mercure', ""Savantes Soeurs, arbitres de la scène, Quel accident funeste a fait cesser vos jeux ? Je ne vois plus ici votre appareil pompeux, Et je ne reconnais qu'a peine, Thalie et Melpomène ;. Et vous dont les charmants concerts, En ces lieux autrefois, raisonneront dans les Airs ; Quel trouble, ou quelle indifférence Cause aujourd'hui votre silence ?"")",-,0.0
"('#melpomene', 'Ignorez vous que le plus grand des rois Étendant chaque jour ses conquêtes Et signalant son bras, par de nouveaux exploits A négligé nos plus superbes fêtes.')",-,0.0
"('#thalie', ""Depuis ce fatal moment, Nos Spectacles privés de leur magnificence, Ne sauraient plus avoir l'éclat et l'agrément Qu'ils ne devaient qu'à sa présence,"")",-,0.0
"('#terpsicore', 'La tristesse règne en ces lieux, Nous rougissons de ne pouvoir lui plaîre ; Hélas ! Ne saurions-nous rien faire Digne de paraître à ses yeux.')",-,0.0
"('#melpomene #thalie #terpsicore', 'Hélas ! Ne saurions-nous rien faire Digne de paraître à ses yeux ?')",-,0.0
"('#mercure', ""Terminez vos regrets que votre douleur cesse. Dans vôtre sort Jupiter s'intéresse, Et veut ici revoir, dès ce même moment Un spectacle charmant, Ou'un changement favorable Redonne à ces tristes lieux Tout ce qu'ils ont est d'aimable?' C'est l'ordre irrévocable Du souverain des Dieux. Ce lieu désert se détruit reprend tout d'un coup sa première magnificence."")",-,0.0
"('#melpomene', 'Vous, secourables Génies,  Nécessaire à nos jeux,  Hâtez-vous, secondez nos voeux ; Venez, et prêtez-nous vos grâces infinies.')",-,0.0
"('#melpomeme #terpsicore', ""Animez d'une ardeur nouvelle Venez remplir nos desseins, Et faites que nos plaisirs Doivent leur charme à votre zèle."")",-,0.0
"('#choeur-de-genies', ""Animez d'une ardeur nouvelle Nous venons remplir vos désirs,  Nous nous flattons que vos plaisirs  Devront leur charme à notre zèle."")",-,0.0
"('#thalie', 'Vous qui savez si bien, par une heureuse adresse Calmer les noirs chagrins, bannir les soins fâcheux, Favorisez mes soeurs, et mêlez dans leur quelques traits de votre allégresse.')",-,0.0
"('#melpomene #thalie #terpsicore', ""Que nos jeux vont avoir de charmes ! Tous nos chants vont inciter l'Amour. Venez tous, rendez-lui les armes,  Il est doux dans cet heureux séjour. Que nos jeux vont avoir de charmes ! Tous nos chants vont inspirer l'Amour. Ce n'est plus le temps des alarmes,  Les Plaisirs sont enfin de retour. Que nos jeux vont avoir de charmes ! Tous nos chants vont inspirer l'Amour."")",-,0.0
"('#mercure', 'Jupiter va paraître,  Redoublez vos efforts pour plaire à votre Maître.')",-,0.0
"('#le-choeur', 'Jupiter va paraître. Redoublons nos efforts pour plaire à notre Maître. Dans ce moment Jupiter paraît dans son char.')",-,0.0
"('#jupiter', ""Il ne manque aux apprêts de la fête nouvelle, Que Mercure a fait préparé, Que le choix du Héros qu'on y doit célébrer, Le soin de le choisir auprès de vous m'appelle. Renouvelez dans vos jeux Le souvenir de l'invincible Achille, Et rappelez dans une Cour tranquille,  L'Histoire et les combats de ce guerrier fameux."")",-,0.0
"('#melpomene #thalie #terpsicore', ""Renouvelons dans vos jeux, Le souvenir de l'invincible Achille, Et rappelons dans une Cour tranquille. L'Histoires et les combats de ce guerrier fameux."")",-,0.0
"('#jupiter', ""Consacrez tous vos jeux au plus grand Roi du monde, Formez sur lui tous les Portraits De vos Héros les plus parfaits, Sa valeur, sa bonté, sa sagesse profonde, Vous prêteront d'inimitables traits."")",-,0.0
"('#le-choeur', ""Consacrons tous nos jeux au plus grand Roi du monde Sa valeur, sa bonté, sa sagesse profonde Nous prêterons d'inimitables traits, Consacrons tous nos jeux au plus grand Roi du monde."")",-,0.0
"('#patrocle', ""Non, je ne saurais plus me taire, Je vous dois un conseil sincère. Ne rougissez-vous point d'un indigne repos ? Quand les Grecs agités de mortelles alarmes, Implorent à genoux le secours de vos armes, Contre Hector, après vous, le plus grand des Héros. Tantôt ce guerrier terrible, Des Grecs épouvantés, embrase les vaisseaux ; Tantôt son bras invincible,  Fait rougir de leur sang et la terre et les eaux, Il court de victoire en victoire, Chaque jour, le bruit de la gloire,  Va remplir l'univers et vole jusqu'à vous, Des honneurs qu'il obtient, n'êtes vous point jaloux ?"")",-,0.0
"('#achille', ""Je vois avec plaisir les pertes de la Grèce,  La valeur d'Hector m'a vengé,  Le fier Agamemnon connaîtra sa faiblesse,  Et se repentira de m'avoir outragé."")",-,0.0
"('#patrocle', ""De quoi sert à ce Roi coupable D'avoir osé vous ravir Briséis ? Son attentat reçoit un digne prix,  Et pour lui Briséis paraît inexorable, Quand un rival puissant vient troubler nos amours, Si l'objet de nos voeux lui résiste toujours, Est-il de plus douce vengeance Que de voir ce rival aimer sans espérance ?"")",-,0.0
"('#achille', ""Connais mieux les raisons de mon juste courroux, Ce n'est point seulement par un dépit jaloux, Que je refuse aux Grecs un secours nécessaire, Ils ont marqué trop de mépris pour moi,  Ils m'ont laissé subir la violente loi  De leur chef téméraire. Non, jamais leurs malheurs ne sauraient m'émouvoir. Leurs vaisseaux embrasés, leurs troupes fugitives ; Leur camp détruit, tout leurs Rois sans pouvoir, Leurs corps épars sur ces sanglantes rives Szraient encor des objets impuissants,  Pour surprendre un moment la fureur que je sens."")",-,0.0
"('#patrocle', ""Eh bien ! D'un oeil content regardez nos alarmés, Mais quand vous nous méritez tous,  Du moins accordez-moi ces armes Que Vulcain prépara pour vous ; J'irai combattre Hector, et me combler de gloire,  Je remporterai la victoire,  Ou j'expirerai sous ces coups."")",-,0.0
"('#achille', ""Qu'oses-tu proposer, Dieux ! Que viens-je d'entendre ? Je commence à trembler pour la première fois. Quand je songe au combat que tu veux entreprendre."")",-,0.0
"('#patrocle', ""Au nom d'une amitié qui fut toujours si tendre, Permettez-moi d'imiter vos exploits.  Je connais les périls où mon dessein m'engage, Tout semble m'annoncer les fers ou le trépas ;  Mais si j'en crois mon courage, Ce superbe ennemi ne triomphera pas."")",-,0.0
