,corneillet-inconnu,dancourt-inconnu,Cost,Operation Type
173,"('#olimpe', ""Je l'avoue, elle est forte,  Vos feux par ces devoirs m'ont été confirmés ;  Mais de grâce, est-ce vous, ou moi, que vous aimez ?  Je parais à vos yeux bien faite, belle, aimable,  Vous me cherchez, de quoi vous suis-je redevable ?  Forcez-vous en cela votre inclination ?  Et quand vous me parlez d'ardeur, de passion,  Si le secret penchant qui pour moi vous inspire,  Ne vous attirait pas autant qu'il vous attire,  Ne trouvant rien en moi qui pût vous enflammer,  Pour mes seuls intérêts me pourriez-vous aimer ?  De vos prétentions voyez l'abus extrême.  Parce que je vous plais, il faut que je vous aime,  Et je dois vous payer de la nécessité  Qui vous tient malgré vous dans mes fers arrêté.  Tâchez de les briser, si leur poids vous étonne ;  Sinon, mon coeur est libre, attendez qu'il se donne,  Et quoi que enfin pour vous sa conquête ait d'appas,  N'exigez point de lui ce qu'il ne vous doit pas. "")",,1.0,Insertion
174,"('#le-chevalier', ""Ah, contre mon amour je vois ce qui s'apprête.  On veut... "")",,1.0,Insertion
175,"('#olimpe', ""Finissons-là, j'ai quelque chose en tête,  Et comme je vous crois généreux et discret,  Je veux bien avec vous n'en pas faire un secret.  L'Inconnu par ses soins offre ici son Hommage,  À lui vouloir du bien quelque intérêt m'engage. "")",,1.0,Insertion
176,"('#le-chevalier', ""Qu'entends-je ? L'Inconnu ! Madame, l'aimez-vous ?  Me quittez-vous pour lui ? Sera-t-il votre Époux ?  Vous a-t-il fait parler ? "")",,1.0,Insertion
177,"('#olimpe', ""Voilà de la jalousie  Comme souvent sans cause on a l'âme saisie. "")",,1.0,Insertion
178,"('#le-chevalier', 'Il est galant, je vois que vous en faites cas,  Vous dédaignez mes voeux, et je ne craindrais pas ? ')",,1.0,Insertion
179,"('#olimpe', ""Non, puisque si pour lui ma bonté s'intéresse,  Ce n'est que pour lui faire épouser la Comtesse. "")",,1.0,Insertion
180,"('#le-chevalier', ""Favorable assurance ! En des maux si pressants,  Pardonnez si d'abord l'Inconnu... "")",,1.0,Insertion
181,"('#olimpe', ""J'y consens,  Mais à condition que pour servir sa flamme  Vous verrez la Comtesse, et ferez... "")",,1.0,Insertion
182,"('#le-chevalier', ""Moi, Madame !  Le Marquis qui l'adore est mon ami. "")",,1.0,Insertion
183,"('#olimpe', 'Fort bien.  Le Marquis vous est tout, et je ne vous suis rien. ')",,1.0,Insertion
184,"('#le-chevalier', 'Madame... ')",,1.0,Insertion
185,"('#olimpe', ""À l'Amitié l'on doit un coeur fidèle,  Prompt, ardent ; pour l'Amour, c'est une bagatelle. "")",,1.0,Insertion
186,"('#le-chevalier', 'Mais si du Marquis...')",,1.0,Insertion
187,"('#olimpe', ""Non, faites-vous son appui,  Je veux bien qu'il l'emporte, et vous laisse avec lui.  Adieu. "")",,1.0,Insertion
188,"('#le-marquis', ""De quel chagrin vous vois-je atteint ? Il semble  Qu'elle sort en colère ; êtes-vous mal ensemble ? "")",,1.0,Insertion
189,"('#le-chevalier', ""Oui, Marquis, et jamais Amant ne fut traité  Avec tant d'injustice et tant de cruauté.  C'est peu que je la trouve ici toute changée ;  À nuire à votre amour elle s'est engagée,  Et veut me voir servir l'Inconnu contre vous. "")",,1.0,Insertion
190,"('#le-marquis', ""Si vous la refusez, j'approuve son courroux.  Qui se déclare Amant, doit tout à ce qu'il aime. "")",,1.0,Insertion
191,"('#le-chevalier', 'Contre un parfait Ami ? Contre un autre soi-même ? ')",,1.0,Insertion
192,"('#le-marquis', ""L'Amour n'excepte rien. "")",,1.0,Insertion
193,"('#le-chevalier', ""Pour ne pas l'irriter,  Je vous trahirais ! Non, laissons-la s'emporter.  Le temps et la raison éteindront sa colère. "")",,1.0,Insertion
194,"('#le-marquis', ""Une Maîtresse ordonne, il faut la satisfaire.  Parlez pour l'Inconnu ; tous vos soins employés  Peut-être me nuiront moins que vous ne croyez. "")",,1.0,Insertion
195,"('#le-chevalier', ""La Comtesse l'estime, et son âme incertaine  Peut malgré votre amour... "")",,1.0,Insertion
196,"('#le-marquis', ""N'en soyez point en peine.  Sur elle, sur son coeur je sais ce que je puis. "")",,1.0,Insertion
197,"('#le-chevalier', ""Comprenez-vous assez quels seraient mes ennuis,  S'il fallait que par moi... "")",,1.0,Insertion
198,"('#le-marquis', ""Vous n'avez rien à craindre.  Empêchez seulement Olimpe de se plaindre. "")",,1.0,Insertion
199,"('#le-chevalier', ""Plus je vous vois agir en ami généreux,  Plus j'ai de répugnance à combattre vos feux.  Je m'oppose pour vous à ce qu'Olimpe exige,  Et crains tant d'obtenir... "")",,1.0,Insertion
200,"('#le-marquis', ""Ne craignez rien vous dis-je,  Et sans examiner le péril que je cours,  Assurez, s'il se peut, le repos de vos jours.  Je le verrai sans peine. "")",,1.0,Insertion
201,"('#le-chevalier', ""Ô bonté que j'admire !  Que ne vous dois-je point, et que puis-je vous dire ?  Je vais rejoindre Olimpe, et malgré sa froideur  Lui jurer d'un Amant la plus soumise ardeur.  Je lui promettrai tout ; mais malgré ma promesse  J'aurai tant de réserve en voyant la Comtesse,  Que ce qu'à l'Inconnu je prêterai d'appui,  Faisant peu contre vous, ne fera rien pour lui. "")",,1.0,Insertion
202,"('#le-marquis', 'Virgine.')",,1.0,Insertion
203,"('#virgine', ""Vous riez ? D'où vous vient cette joie ? "")",,1.0,Insertion
204,"('#le-marquis', ""De voir contre elle-même Olimpe qui s'emploie.  Le Chevalier, d'erreur comme elle prévenu,  Va tâcher, pour lui plaire, à servir l'Inconnu.  J'ai quelque part sans doute à ce qu'on lui fait faire. "")",,1.0,Insertion
205,"('#virgine', ""Qu'on est dupe souvent ! "")",,1.0,Insertion
206,"('#le-marquis', ""Le plaisant de l'affaire,  C'est qu'Olimpe qui croit par là me conserver,  Brigue pour moi le coeur qu'elle veut m'enlever. "")",,1.0,Insertion
207,"('#virgine', ""Cependant vous aviez besoin de mon adresse,  Quand j'ai suivi tantôt l'Amour et la Jeunesse. "")",,1.0,Insertion
