,corneillet-inconnu,dancourt-inconnu,Cost,Operation Type
259,"('#pomone', ""Si Vertumne a des yeux, doit-il le demander ?  Je suis, quoique Déesse, obligée à céder ;  Puis-je le voir sans jalousie ?  Quand en faveur d'un Amant inconnu  J'ai promis de venir régaler cette Belle,  J'avais cru ne trouver en elle  Que les appas d'une simple Mortelle.  Pour qui l'Amour était trop prévenu ;  Mais les Divinités n'ont rien qui la surpasse.  Il n'est éclat qu'elle n'efface,  Et je viens d'avoir la douleur  Qu'auprès d'elle mes Fruits ont changé de couleur.  Après un tel affront puis-je être sans colère ? "")","('#mademoiselle-desmarres', ""L'âme la plus fière  Aux traits des amours,  Follement espère  Résister toujours :  On fuit, on échappe  À leurs premiers coups ;  Si l'un ne nous frappe,  L'autre nous attrape :  Ces petits libertins sont tous  Tôt ou tard les maîtres de nous.  L'âme la plus fière  Aux traits des amours,  Follement espère  Résister toujours.  Aux coeurs sans défense  Leur empire est doux,  Trop de résistance  Souvent les offense. Ces petits libertins sont tous,  Tôt ou tard les maîtres de nous.  L'âme la plus fière  Aux traits des amours,  Follement espère  Résister toujours. "")",0.63,Substitution
260,"('#vertumne', ""J'aurais la même plainte à faire.  J'ai beau, comme Dieu des jardins,  Chercher à lui fournir toujours des fleurs nouvelles ;  Son teint en a de naturelles,  Dont l'éclat ternit mes jasmins. "")",,1.0,Insertion
261,"('#pomone', ""L'aveu que nous faisons augmente sa victoire. "")",,1.0,Insertion
262,"('#vertumne', ""Le moyen de s'en dispenser ? "")",,1.0,Insertion
263,"('#pomone', 'Elle est toute charmante, il faut le confesser. ')",,1.0,Insertion
264,"('#vertumne', 'Unissons donc nos voix, et chantons à sa gloire. ')",,1.0,Insertion
265,"('#pomone #vertumne', ""Heureux, heureux l'Amant, dont la tendre langueur,  Pour mériter son choix, aura touché son coeur ! "")",,1.0,Insertion
266,"('#pomone', ""Vous avez beau vous défendre,  Vous aimerez quelque jour.  À l'Amour,  Sans attendre  Pourquoi craindre de vous rendre ?  Chacun lui cède à son tour.  On n'a point de plaisir sans tendresse,  Sans amour on n'a point de bonheur.  Si d'un Coeur  En langueur  Les soucis partagés vous font peur,  Rendez-vous au beau feu qui le presse,  Vous verrez qu'ils sont pleins de douceur. "")","('#monsieur-ponteuil', ""S'il faut tôt ou tard que l'on aime,  Si les traits des amours ne peuvent se parer,  N'est-ce pas une erreur extrême  De s'obstiner à différer,  S'il faut tôt ou tard que l'on aime, "")",0.57,Substitution
267,"('#vertumne', ""L'Amour est à suivre,  Laissez-vous charmer ;  Tout doit s'enflammer.  Quel plaisir de vivre,  Sans celui d'aimer ?  Les plus belles chaînes  Font voir mille peines  À qui n'aime pas ;  Mais quand on aime,  Ce n'est plus de même,  Tout est plein d'appas. "")","('#monsieur-salle', ""Tous les moments que l'on diffère Sans éteindre nos feux contraignent nos désirs,  L'amour est un mal nécessaire,  Et l'on dérobe à ses plaisirs  Tous les moments que l'on diffère"")",0.24,Substitution
268,"('#olimpe', ""L'un et l'autre a la voix charmante. "")","('#la-comtesse', ""Leur danse, leur voix, tout m'enchante. "")",0.66,Substitution
269,"('#le-chevalier', 'On aurait peine à mieux chanter. ')","('#le-chevalier', 'On aurait peine à mieux chanter. ')",0.0,Match
270,"('#la-comtesse', 'La beauté de la fête a passé mon attente. ')","('#la-comtesse', 'La beauté de la Fête a passé mon attente. ')",0.0,Match
271,"('#olimpe', ""L'Inconnu l'ordonnant, avez-vous à douter  Qu'elle ne fût toute galante ? "")","('#olimpe', ""L'Inconnu l'ordonnant, aviez-vous à douter  Qu'elle ne fût toute galante ? "")",0.0,Match
272,"('#comus', ""Et bien, pour toucher votre coeur,  Comus a-t-il su satisfaire,  En Dieu d'importance et d'honneur,  À tout ce que l'Amour l'avait chargé de faire ? "")","('#comus', ""Hé bien, pour toucher votre coeur  Comus a-t-il su satisfaire,  En Dieu d'importance et d'honneur,  À tout ce que l'Amour l'avait chargé de faire !"")",0.0,Match
273,"('#la-comtesse', ""Comus peut s'assurer par tout de son bonheur,  Si Comus s'en fait un de plaire.  Mais comme en terre quelquefois  La Divinité s'humanise,  Le Dieu Comus pourrait m'apprendre à qui je dois  Le divertissement dont il me voit surprise. "")","('#la-comtesse', ""Comus peut s'assurer partout de son bonheur,  Si Comus s'en fait un de plaire. Mais comme en terre quelquefois  La divinité s'humanise,  Le Dieu Comus pourrait m'apprendre à qui je dois  Le divertissement dont il me voit surprise. "")",0.0,Match
274,"('#comus', ""Un secret qu'à conserver  Ma qualité de Dieu m'engage.  Si de ses soins l'Amour qui veut vous éprouver,  Peut espérer quelque avantage,  Il m'attend dans le Ciel où je le vais trouver.  Employez-moi pour le message. "")","('#comus', ""C'est un secret qu'à conserver  Ma qualité de Dieu m'engage.  Et de ses soins l'Amour, qui veut vous éprouver,  Peut espérer quelque avantage,  Il m'attend dans le Ciel où je le vais trouver,  Employez-moi pour le message. "")",0.0,Match
275,"('#la-comtesse', ""Je ne m'explique pas ainsi.  Je veux connaître avant qu'entrer en confidence. "")","('#la-comtesse', ""Je ne m'explique pas ainsi,  Je veux connaître avant qu'entrer en confidence. "")",0.0,Match
276,"('#comus', 'Ma Suite est disparue, et je suis seul ici.  Bonsoir, vivez en espérance  De sortir bientôt de souci. ')","('#comus', 'Ma suite a disparue, et je suis seul ici.  Bonsoir : vivez en espérance  De sortir bientôt de souci. ')",0.0,Match
277,"('#la-comtesse', 'Se taire ! Se cacher si longtemps quand on aime ! ')","('#la-comtesse', 'Se taire, se cacher si longtemps quand on aime ? ')",0.0,Match
278,"('#virgine', ""J'avais cru par l'un d'eux, en lui parlant tout bas,  Développer ce stratagème ;  Mais après quelques mots que peut-être lui-même  En les disant n'entendait pas,  Il a, d'une vitesse extrême,  Pour s'éloigner, doublé le pas. "")","('#virgine', ""J'avais cru par l'un d'eux en lui parlant tout bas,  Développer ce stratagème ;  Mais après quelques mots que peut-être moi-même  En les disant n'entendait pas,  Il a d'une vitesse extrême  Pour s'éloigner doublé le pas. "")",0.0,Match
279,"('#la-comtesse', ""Pour moi, je ne sais plus qu'en dire. "")","('#la-comtesse', ""Pour moi, je ne sais plus qu'en dire. "")",0.0,Match
280,"('#olimpe', ""Le temps éclaircira l'amour de l'Inconnu,  Un peu de patience. "")","('#olimpe', ""Le temps éclaircira l'amour de l'Inconnu,  Un peu de patience. "")",0.0,Match
281,"('#la-comtesse', ""Il faut tâcher d'en rire,  En attendant que ce temps soit venu. "")","('#la-comtesse', ""Il faut tâcher d'en rire,  En attendant que ce temps soit venu.  Fin du Divertissement du second Acte."")",0.0,Match
282,"('#la-comtesse', ""Nommez ce sentiment fierté, chagrin, caprice ;  Quand je parle une fois, je veux qu'on obéisse,  Et je ne prétends point, parce qu'on est jaloux,  Renoncer fortement aux plaisirs les plus doux.  Des voeux de l'Inconnu si le Marquis s'offense,  Il en doit redoubler ses soins, sa complaisance,  Et trop faire éclater l'ennui qu'il en reçoit,  C'est servir son Rival beaucoup plus qu'il ne croit. "")",,1.0,Insertion
283,"('#olimpe', ""En vain un peu d'aigreur contre lui vous anime,  L'Inconnu, je le sais, partage votre estime,  On ne peut condamner ce qu'il s'en est acquis ;  Mais enfin vous devez votre coeur au Marquis. "")",,1.0,Insertion
284,"('#la-comtesse', 'Moi ? Je ne lui dois rien. ')",,1.0,Insertion
285,"('#olimpe', ""Et qu'a donc fait, Madame,  Ce long et tendre amour qui vous soumet son âme ?  Pour vous rendre sensible il a tout essayé ;  Mille devoirs... "")",,1.0,Insertion
286,"('#la-comtesse', ""Et bien, n'en est-il pas payé ? "")",,1.0,Insertion
287,"('#olimpe', ""Comment ? Est-ce qu'à lui votre foi vous engage ? "")",,1.0,Insertion
288,"('#la-comtesse', ""Il me voit quand il veut, que faut-il davantage ?  Quoi, pour quelques soupirs, pour un peu de langueur,  Vous croyez bonnement qu'il faut donner son coeur ?  S'engage qui voudra, je ne vais pas si vite  Avec tous mes Amants chaque jour je m'acquitte,  Et prétends que des voeux qui me sont adressés,  Le plaisir de me voir les a récompensés.  Tant qu'ils en usent bien, je leur fais bonne mine.  J'écoute leurs douceurs, prends mon humeur badine,  Je raille ; mais aussi quand on fait un faux pas,  J'ai l'air sombre, je rêve, et ne regarde pas.  D'ailleurs, point de caprice, et c'est par où j'engage  Cette foule d'Amants dont je reçois l'Hommage.  Ma Cour est toujours grosse, on y chante, on y rit ;  Et quand l'un me déplaît, l'autre me divertit. "")",,1.0,Insertion
289,"('#olimpe', ""J'avais cru qu'au Marquis une secrète flamme  Assurait, quoi qu'on fît, l'empire de votre âme,  Et plaignais l'Inconnu, dont les soins amoureux  Ne pouvaient mériter qu'il fût jamais heureux.  S'y prendre de la sorte est un grand avantage ;  Il doit n'être qu'esprit, tout ce qu'il fait engage,  Et sans doute il faudrait, quand on l'a su charmer,  Se mal connaître en Gens, pour ne le point aimer. "")",,1.0,Insertion
290,"('#la-comtesse', ""Je ne sais si pour lui j'ai plus que de l'estime,  Mais de ce que je sens je me fais presque un crime,  Et rougis en secret d'avoir tant de témoins  Du trop de complaisance où m'engagent ses soins.  Rien n'est plus obligeant, j'en dois chérir la cause ;  Mais enfin il se cache, et c'est pour quelque chose.  Tout galant qu'il paraît, qui pourra m'assurer  Qu'il mérite l'amour qu'il tâche à m'inspirer ?  Il est de riches Sots, qui pour certains usages  Tiennent un Bel Esprit quelquefois à leurs gages,  Et qui dans les Plaisirs qu'ils semblent inventer,  N'ont de part que l'argent qu'on leur a fait coûter.  Que si tout au contraire il était gueux ? "")",,1.0,Insertion
291,"('#olimpe', ""Madame,  Tant de Fêtes d'éclat qui vous prouvent sa flamme... "")",,1.0,Insertion
292,"('#la-comtesse', ""Il peut vivre d'emprunt, et sur le bien d'autrui  Faire, pour m'attraper, ce qu'il ne peut de lui.  Malgré moi quelquefois cette crainte m'occupe,  Je n'ai point encore eu le talent d'être Dupe,  Et pour m'en garantir, je n'épargnerai rien. "")",,1.0,Insertion
293,"('#olimpe', 'Mais si vous connaissez sa naissance, son bien,  Que tout dans sa personne... ')",,1.0,Insertion
294,"('#la-comtesse', ""Et le Marquis ? De grâce,  Si j'aime l'Inconnu, que faut-il que j'en fasse ?  Il n'est pas sans mérite, et doit être écouté,  Par lui-même, ou du moins par l'ancienneté. De tous mes Protestants c'est le premier. "")",,1.0,Insertion
295,"('#olimpe', ""J'avoue  Qu'il a des qualités bien dignes qu'on le loue,  L'air noble. "")",,1.0,Insertion
296,"('#la-comtesse', ""Qui des deux me conseilleriez-vous,  Puisque j'en ai le choix, de prendre pour époux ? "")",,1.0,Insertion
297,"('#olimpe', 'Moi ? ')",,1.0,Insertion
298,"('#la-comtesse', 'Vous vous étonnez ? ')",,1.0,Insertion
299,"('#olimpe', 'Si... ')",,1.0,Insertion
300,"('#la-comtesse', ""Parlons d'autre chose.  On vous trouve chagrine, apprenez-m'en la cause,  Le Chevalier s'en plaint, et ne sait que penser De voir qu'il ne fait plus que vous embarrasser.  D'où naissent les froideurs dont son amour s'alarme ? "")",,1.0,Insertion
301,"('#olimpe', ""À ne rien vous cacher la liberté me charme.  Je tremble, et s'agissant d'un Maître à me donner,  Un choix si hasardeux commence à m'étonner. "")",,1.0,Insertion
302,"('#la-comtesse', ""Ce Maître à recevoir, dont le choix vous étonne,  Ne fait pas tant de peur quand l'Amour nous le donne.  C'est par notre tendresse un mal bien adouci. "")",,1.0,Insertion
303,"('#olimpe', 'Hé, Madame, pourquoi me parlez-vous ainsi ? ')",,1.0,Insertion
304,"('#la-comtesse', 'Le trouble de vos yeux me fait beaucoup entendre ;  Et quand le Chevalier. ')",,1.0,Insertion
305,"('#olimpe', ""Vous voulez m'entreprendre.  Je quitte, et me sentant trop faible contre vous,  Je vais chercher ailleurs des Ennemis plus doux. "")",,1.0,Insertion
306,"('#la-comtesse', ""Elle a beau déguiser, je l'ai trop su connaître,  Elle aime le Marquis. "")",,1.0,Insertion
307,"('#virgine', 'Cela pourrait bien être. ')",,1.0,Insertion
308,"('#la-comtesse', ""Je n'ai point à m'en plaindre. Avant que s'expliquer,  Avec un autre Amant elle veut m'embarquer,  Et si jamais l'hymen à l'Inconnu m'engage,  Je lui dois du Marquis abandonner l'hommage. "")",,1.0,Insertion
309,"('#virgine', 'Elle y gagnerait peu ; les coeurs que vous prenez  À soupirer pour vous sont longtemps destinés,  Et le Marquis... ')",,1.0,Insertion
310,"('#la-comtesse', ""Je crois, sans trop faire la vaine,  Qu'à m'oublier sitôt il aurait quelque peine.  Mais enfin l'Inconnu que je brûle de voir,  Qu'en arrivera-t-il ? "")",,1.0,Insertion
311,"('#virgine', 'Le voulez-vous savoir ?  Un je ne sais quel bruit a frappé mes oreilles,  Que des Bohémiens font ici des merveilles.  Si vous les consultez, peut-être ils vous diront  De quel côté vos voeux à la fin tourneront.  Envoyez-les chercher. ')",,1.0,Insertion
312,"('#la-comtesse', 'Sottise toute pure. ')",,1.0,Insertion
313,"('#virgine', 'Ils sont savants, dit-on, sur la bonne aventure. ')",,1.0,Insertion
314,"('#la-comtesse', 'Par des Bohémiens éclaircir mon destin ! ')",,1.0,Insertion
315,"('#virgine', ""Comment ? Vous allez bien chez Madame Voisin ?  En sait-elle plus qu'eux ? "")",,1.0,Insertion
316,"('#la-comtesse', ""J'y vais par compagnie. "")",,1.0,Insertion
317,"('#virgine', ""Mon_Dieu, comme à beaucoup, c'est là votre manie.  Les femmes ont ce faible, on ne les peut tenir.  Elles courent partout où se dit l'avenir,  Et pour une réponse ou fausse, ou véritable,  J'en sais qui volontiers iraient trouver le Diable.  Les avertira-t-on ? "")",,1.0,Insertion
318,"('#la-comtesse', 'Fais ce que tu voudras. ')",,1.0,Insertion
319,"('#virgine', 'Vous en rirez. ')",,1.0,Insertion
320,"('#la-comtesse', 'Et quoi ? Toujours chagrin ? ')",,1.0,Insertion
321,"('#le-chevalier', ""Hélas !  Madame, ignorez-vous les ennuis qu'on me donne ?  On ne le voit que trop, Olimpe m'abandonne.  Pour moi, pour mon amour, il n'est plus de secours. "")",,1.0,Insertion
322,"('#la-comtesse', ""Écoutons les Amants, ils se plaignent toujours.  La moindre vision, un rien, une chimère,  C'est assez, leur chagrin nous en fait une affaire.  Nous savons mal aimer. "")",,1.0,Insertion
323,"('#le-chevalier', ""J'ai voulu comme vous  Traiter de noir chagrin mes sentiments jaloux ;  Mais (et vous l'avez pu vous-même assez connaître)  Olimpe fuit sitôt qu'elle me voit paraître.  Mon amour n'offre ici que des voeux superflus ;  Depuis qu'elle est chez vous, je ne la connais plus.  Si j'obtiens qu'un moment elle souffre ma vue,  C'est un froid qui me glace, un dédain qui me tue,  Et sur ce qu'à toute heure elle cherche à rêver,  Je soupçonne un Rival que je ne puis trouver. "")",,1.0,Insertion
324,"('#la-comtesse', ""Qu'on est fou quand on aime ! "")",,1.0,Insertion
325,"('#le-chevalier', 'Oui, blâmez-moi, Madame. ')",,1.0,Insertion
326,"('#la-comtesse', ""Quoi, vous ne savez pas ce que c'est qu'une Femme,  Et que lorsqu'elle veut mettre sa flamme au jour,  Ses inégalités sont des marques d'amour ?  Souvent elle est chagrine, incommode, bizarre,  Pour voir à quoi contre elle un Amant se prépare ;  Et juger de son coeur par la soumission  Où cette rude épreuve a mis sa passion.  Pour vaincre ses froideurs, il parle, il presse, il prie ;  Et la paix succédant à cette brouillerie,  Ce qu'il montre de joie à se raccommoder,  Achève pleinement de la persuader. "")",,1.0,Insertion
327,"('#le-chevalier', ""Que je devrais chérir ce qui m'arrache l'âme,  Si l'on n'avait dessein que d'éprouver ma flamme !  Mais qui m'assurera qu'on me garde sa foi ?  Qu'on ait le coeur touché de ma tendresse ? "")",,1.0,Insertion
328,"('#la-comtesse', ""Moi.  Ne vous alarmez point, Olimpe est mon Amie ;  Et quand votre expérience encor mal affermie  Du succès de vos feux vous laisserait douter,  J'ai quelque droit ici de me faire écouter.  Ses Chagrins passeront. "")",,1.0,Insertion
329,"('#le-chevalier', ""Vous me rendez la vie.  Souffrez, lorsqu'à l'espoir cette offre me convie.  Que j'en marque ma joie, et... "")",,1.0,Insertion
330,"('#le-marquis', 'Le transport est doux. ')",,1.0,Insertion
331,"('#la-comtesse', 'Il ne me déplaît pas. ')",,1.0,Insertion
332,"('#le-marquis', ""Que ne poursuivez-vous ?  Quoique l'usage ait mis les façons hors de mode,  Je me retirerai, si je vous incommode. "")",,1.0,Insertion
333,"('#la-comtesse', ""Vous le prenez d'un ton fort agréable. "")",,1.0,Insertion
334,"('#le-marquis', 'Moi ?  Je me fie à mes yeux, et crois ce que je vois. ')",,1.0,Insertion
335,"('#le-chevalier', ""Ce sont garants mal sûrs, et souvent l'apparence... "")",,1.0,Insertion
336,"('#la-comtesse', ""Ne dites rien, de grâce, il faut voir ce qu'il pense. "")",,1.0,Insertion
337,"('#le-marquis', 'Ce que je pense ? ')",,1.0,Insertion
338,"('#la-comtesse', 'Et bien ? ')",,1.0,Insertion
339,"('#le-marquis', 'Que pourrais-je penser ?  Il vous baisait la main. ')",,1.0,Insertion
340,"('#la-comtesse', 'Il peut recommencer ;  Est-ce-là tout ? ')",,1.0,Insertion
341,"('#le-marquis', 'Quoi donc, je puis être si lâche,  Que de... ')",,1.0,Insertion
342,"('#la-comtesse', ""Continuez, j'aime assez qu'on se fâche.  Là, Monsieur_le_Marquis, emportez-vous, pestez.  Je voudrais bien de vous ouïr des duretés. "")",,1.0,Insertion
343,"('#le-marquis', ""Le respect me retient, malgré votre injustice ;  Mais au moins avouez qu'en deux ans de service,  Jamais à mon amour un traitement si doux... "")",,1.0,Insertion
344,"('#la-comtesse', ""Et bien, le coeur m'en dit plus pour lui que pour vous.  Croyez-vous l'empêcher, et vous en dois-je compte ? "")",,1.0,Insertion
345,"('#le-marquis', ""M'abandonner ainsi sans scrupule, sans honte ?  Après que tout mon coeur... "")",,1.0,Insertion
346,"('#la-comtesse', ""Et quel engagement  M'oblige de répondre à votre attachement ?  De quels serments faussés suis-je vers vous coupable ?  Qu'ai-je promis ? Vraiment, je vous trouve admirable. "")",,1.0,Insertion
347,"('#le-chevalier', 'Madame, permettez... ')",,1.0,Insertion
348,"('#la-comtesse', ""Non, voyons jusqu'au bout ;  L'emportement est noble, il faut entendre tout. "")",,1.0,Insertion
349,"('#le-marquis', ""J'ai donc tort de me plaindre, et trop osé prétendre ? "")",,1.0,Insertion
350,"('#la-comtesse', 'Vous me faites pitié. ')",,1.0,Insertion
351,"('#le-marquis', ""Je n'y puis rien comprendre.  Tantôt à vous ouïr parler de l'Inconnu,  Je croyais que ses soins avaient tout obtenu,  Qu'à mon feu, de son coeur vous préfériez l'empire.  Maintenant... "")",,1.0,Insertion
352,"('#la-comtesse', ""Croyez-vous n'avoir plus rien à dire ? "")",,1.0,Insertion
353,"('#le-marquis', ""Non, Madame, sinon que j'avais mérité,  Pour prix de ma tendresse, un peu plus de bonté.  Vous quittez l'Inconnu, vous me quittez moi-même ;  Et ce qui me confond, le Chevalier vous aime,  Lui qui tantôt chagrin, et d'Olimpe jaloux... "")",,1.0,Insertion
354,"('#olimpe', ""Quoi donc, le Chevalier a de l'amour pour vous,  Madame ? Un si beau choix redouble mon estime,  Et ce que vous valez le rend si légitime,  Que loin de l'en blâmer, je veux bien aujourd'hui  Vous céder tous les droits que j'eus d'abord sur lui. "")",,1.0,Insertion
355,"('#la-comtesse', ""L'effort est généreux. "")",,1.0,Insertion
356,"('#le-chevalier', 'Et vous croyez, Madame... ')",,1.0,Insertion
357,"('#olimpe', ""Est-ce une nouveauté, qu'une nouvelle flamme ?  Un pareil changement est glorieux pour vous.  Il marque... "")",,1.0,Insertion
358,"('#la-comtesse', ""En vérité, je vous admire tous.  Voilà comme souvent sur de pures chimères,  Pour aller un peu vite, on se fait des affaires.  De votre froid accueil le Chevalier surpris  M'est venu demander raison de vos mépris,  J'ai flatté son espoir, et rassuré sa flamme ;  Un vif transport de joie en a saisi son âme,  Il m'a baisé la main, embrassé les genoux.  Le Marquis le voyant, s'en est montré jaloux.  Vous l'avez entendu, voilà toute l'histoire. "")",,1.0,Insertion
359,"('#le-marquis', ""Quoi, c'est... "")",,1.0,Insertion
360,"('#la-comtesse', ""Je vous conseille encor de n'en rien croire.  Ne faites pas le fier de voir tout éclairci,  Je n'agis que pour moi lorsque j'en use ainsi. "")",,1.0,Insertion
361,"('#le-marquis', ""Mais rien n'est débrouillé, si trop de défiance  Vous fait toujours tenir votre choix en balance.  De moi, de l'Inconnu, qui le doit emporter ? "")",,1.0,Insertion
362,"('#le-chevalier', ""Le Marquis a raison de s'en inquiéter,  Et l'éclaircissement que vous venez de faire,  Ne nous rend pas à tous le repos nécessaire,  Puisque Olimpe, bien loin de m'aimer innocent,  Fait lire dans ses yeux l'ennui qu'elle en ressent. "")",,1.0,Insertion
363,"('#olimpe', ""Je n'ai point répondre à qui se plaint sans cesse.  Mais voyez ce qu'ici le hasard nous adresse. "")",,1.0,Insertion
364,"('#la-comtesse', 'Pour des Bohémiens, cet équipage est beau.')","('#la-comtesse', 'Pour des bohémiens, cet équipage est beau. ')",0.0,Match
365,"('#virgine', 'On les a rencontrés qui venaient au Château. ')","('#virgine', 'On les a rencontrés qui venaient au Château.')",0.0,Match
366,"('#la-comtesse', ""Rien n'est si propre qu'eux. "")","('#la-comtesse', ""Rien n'est si propre qu'eux. "")",0.0,Match
367,"('#le-chevalier', 'La bande est fort complète. ')","('#le-chevalier', 'La bande est fort complète. ')",0.0,Match
368,"('#olimpe', 'Elle vaut bien la voir. ')","('#olimpe', 'Elle vaut bien la voir. ')",0.0,Match
369,"('#la-comtesse', ""J'en suis très satisfaite. "")","('#la-comtesse', ""J'en suis très satisfaite. "")",0.0,Match
370,"('#la-bohemienne', ""Nous ne faisons qu'arriver de Paris,  Où pour avoir dit des nouvelles,  Assez agréables aux Belles,  On nous a fait présent de ces riches habits ;  Mais rien n'approche là de ce qu'on voit paraître,  Où vos divins attraits cessent d'être cachés.  Comme de tous les coeurs leur éclat se rend maître,  Souffrez qu'en l'admirant nous vous fassions connaître,  Combien nous en sommes touchés. "")","('#la-montagne', ""Nous ne faisons qu'arriver de Paris,  Où pour avoir dit des nouvelles  Assez agréables aux Belles,  On nous a fait présent de ces riches habits :  Mais rien n'approche là de ce qu'on voit paraître,  Où vos divins attraits cessent d'être cachés.  Comme de tous les coeurs leur éclat se rend maître,  Souffrez qu'en l'admirant, nous vous fassions connaître  Combien nous en sommes touchés.  Toute la troupe de Bohémiens donne des marques d'admiration, par une figure qu'elle fait en regardant la Comtesse."")",0.0,Match
371,"('#la-comtesse', 'La figure est galante. ')","('#la-comtesse', 'La figure est galante. ')",0.0,Match
372,"('#olimpe', ""Et fort bien ordonnée.  Partout où vous irez le prix vous est certain.  Mais voyez cette belle main,  Et nous dites à qui l'Amour l'a destinée.  La Comtesse donnant la main.  Puisque vous le voulez, il faut y consentir. "")","('#olimpe', ""Et fort bien ordonnée,  Partout où vous irez, le prix vous est certain.  Mais voyez cette belle main,  Et nous dites à qui l'Amour l'a destinée. "")",0.0,Match
373,,"('#la-comtesse', 'Puisque vous le voulez, il faut y consentir. ')",1.0,Deletion
374,"('#la-bohemienne', ""Comme nous sommes Gens de qui la connaissance  Sut de l'erreur toujours se garantir,  C'est sur nous seuls qu'on doit prendre assurance,  Les autres ne font que mentir.  Dans vos plus grands projets vous serez traversée,  Mais en vain contre vous la brigue emploiera tout  Vous aurez le plaisir de la voir renversée,  Et d'en venir toujours à bout.  Vous avez quelque fois de flatteuses manières  Qui seraient pour l'espoir un motif bien pressant,  Si pour les balancer vous n'en aviez de fières,  Qui le font mourir en naissant.  Cette ligne qui croise avec celle de vie,  Marque pour votre gloire un murmure fatal ;  Sur des traits ressemblants on en parlera mal,  Et vous aurez une Copie  Qui vous fera croire l'Original  D'un honneur ennemi de la cérémonie.  N'en prenez pas trop de chagrin.  Si votre gaillarde Figure  Contre vous quelque temps cause un fâcheux murmure,  Un tour de Ville y mettra fin,  Et vous rirez de l'aventure.  Votre coeur est brigué par quantité d'Amants,  Mais le premier de tous pourrait s'en rendre maître,  Si le dernier, sans se faire connaître,  Ne vous inspirait pas de tendres sentiments.  Cependant vous aurez beau faire.  Même prix, même gloire est acquise à leurs feux.  Vous les épouserez tous deux,  C'est du Destin un Décret nécessaire. "")","('#la-montagne', ""Comme nous sommes gens de qui la connaissance  Sut toujours de l'erreur se garantir,  C'est sur nous seuls qu'on doit prendre assurance,  Les autres ne font que mentir.  Dans vos plus grands projets vous serez traversée ;  Mais en vain contre vous la brigue emploiera tout,  Vous aurez le plaisir de la voir renversée,  Et d'en venir toujours à bout.  Vous avez quelquefois de flatteuses manières,  Qui seraient pour l'espoir un motif bien pressant,  Si pour les balancer vous n'en aviez de fières,  Qui le font mourir en naissant.  Cette ligne qui croise avec celle de vie,  Marque pour votre gloire un murmure fatal ;  Sur des traits ressemblants on en parlera mal,  Et vous aurez une copie  Qui vous fera croire l'original.  D'un honneur ennemi de la Cérémonie,  N'en prenez pas trop de chagrin ;  Si notre gaillarde figure,  Contre vous quelque temps cause un fâcheux murmure,  Un tour de ville y mettra fin,  Et vous rirez de l'aventure.  Votre coeur est brigué par quantité d'amants ;  Mais le premier de tous pourrait s'en rendre maître,  Si le dernier, sans se faire connaître,  Ne vous inspirait pas de tendres sentiments :  Cependant vous aurez beau à faire,  Même prix, même gloire est acquise à leurs feux,  Vous les épouserez tous deux,  C'est du destin, un décret nécessaire. "")",0.0,Match
375,"('#la-comtesse', 'Tous deux ? ')","('#la-comtesse', 'Tous deux ? ')",0.0,Match
376,"('#olimpe', ""Si pour constant ce Décret est tenu,  Madame, du Marquis nous demandons la vie,  Il vous a le premier servie.  Quand vous serez Veuve de l'Inconnu,  Vous pourrez l'épouser, s'il vous en prend envie. "")","('#olimpe', ""Si pour constant ce décret est tenu,  Madame, du Marquis nous demandons la vie,  Il vous a le premier servie :  Quand vous serez veuve de l'Inconnu,  Vous pourrez l'épouser, s'il vous en prend envie. "")",0.0,Match
377,"('#le-marquis', 'Non, non, je prends sur moi le soin de démentir  La nécessité du veuvage. ')","('#le-marquis', 'Non, non, je prends sur moi de démentir  La nécessité du veuvage. ')",0.0,Match
378,"('#la-comtesse', 'Laissons-là tout ce badinage,  Et songeons à nous divertir.  Point de mort, ni de mariage. ')","('#la-comtesse', 'Laissons-là tout ce badinage,  Et songeons à nous divertir,  Point de mort, ni de mariage. ')",0.0,Match
379,"('#le-chevalier', ""Leur rapport ne peut rien que sur les scrupuleux,  Qui s'en font un fâcheux augure. "")","('#le-chevalier', ""Leur rapport ne peut rien que sur les scrupuleux,  Qui s'en font un fâcheux augure. "")",0.0,Match
380,"('#olimpe', ""Et ces Enfants qu'ils mènent avec eux,  Disent-ils la Bonne Aventure ? "")","('#olimpe', ""Et ces enfants qu'ils mènent avec eux  Disent-ils la bonne aventure. "")",0.0,Match
381,"('#petit-bohemien', ""Croyez-vous qu'on nous mène en vain ?  Si vous voulez, je vous dirai la vôtre. "")","('#petit-bohemien', ""Croyez-vous qu'on nous mène en vain ?  Si vous voulez, je vous dirai la vôtre. "")",0.0,Match
382,"('#olimpe', ""Je vous écouterai plus volontiers qu'un autre.  Venez, j'abandonne ma main. "")","('#olimpe', ""Je vous écouterai plus volontiers qu'un autre,  Venez, j'abandonne ma main. "")",0.0,Match
383,"('#petit-bohemien', ""Pour découvrir plus à mon aise  Ce que j'y vois de plus caché,  Avant toute chose, il faut que je la baise.  C'est là ce que je mets toujours à mon marché. "")","('#petit-bohemien', ""Pour découvrir plus à mon aise  Ce que j'y vois de plus caché,  Avant toute autre chose, il faut que je la baise :  C'est-là ce que je mets toujours à mon marché. "")",0.0,Match
