,dumaniant-francais-en-huronie,dumaniant-francais-en-huronie-1787,Cost,Operation Type
0,"('#frontin', ""C'est un triste séjour, Monsieur, que l'Huronie, Oh ! vous avez beau dire, en ces lieux je m'ennuie, On est mieux à Québec ; tâchons d'y retourner. Tenez je me fais fort de vous y ramener."")","('#frontin', ""C'est un triste séjour, Monsieur, que l'Huronie, Oh ! vous avez beau dire en ces lieux je m'ennuie, On est mieux à Boston ; tâchons d'y retourner. Tenez, je me fais fort de vous y ramener."")",0.0,Match
1,"('#valcour', 'Zamire ne vient point.')","('#valcour', 'Zamire ne vient point.')",0.0,Match
2,"('#frontin', ""Ô Ciel ! toujours Zamire, Peste soit de l'amour !"")","('#frontin', ""Ô Ciel ! toujours Zamire. Peste soit de l'amour !"")",0.0,Match
3,"('#valcour', 'Ah ! quel cruel martyre !')","('#valcour', 'Ah ! quel cruel martyre !')",0.0,Match
4,"('#frontin', 'Martyre est bien le mot. Je me meurs de frayeur. ')","('#frontin', 'Martyre est bien le mot. Je me meurs de frayeur. ')",0.0,Match
5,"('#valcour', 'Poltron !')","('#valcour', 'Poltron !')",0.0,Match
6,"('#frontin', ""Poltron soit. Je voudrais de bon coeur Que vous renonçassiez à l'amour qui vous lie. Cet amour, tous les jours expose votre vie. Au milieu de ces bois, sans amis, sans secours Ah ! que prétendez-vous ?"")","('#frontin', ""Oh ! Poltron soit. Je voudrais de bon coeur, Vous voir enfin défait de l'amour qui vous lie ; Cet amour tous les jours expose votre vie : Au milieu de ces bois, sans amis, sans secours ; Ah ! que prétendez-vous ?"")",0.0,Match
7,"('#valcour', ""L'idolâtrer toujours, Jusqu'au dernier soupir lui conserver ma flamme."")","('#valcour', ""L'idolâtrer toujours, Jusqu'au dernier soupir lui conserver ma flamme."")",0.0,Match
8,"('#frontin', 'Mais vous ne voulez point en faire votre femme ?')","('#frontin', 'Mais vous ne voulez point en faire votre femme ?')",0.0,Match
9,"('#valcour', ""Eh, quelle autre plus qu'elle a des droits sur mon coeur ? Oui vivre son époux est pour moi le bonheur."")","('#valcour', ""Quelle autre peut jamais à la noble candeur Réunir plus d'attraits pour m'offrir le bonheur."")",0.27,Substitution
10,"('#frontin', ""Vous ! épouser Zamire ? Ah ! quelle extravagance ? Vous voulez donc, Monsieur ? renoncer à la France, Habiter ces climats et devenir Huron ? L'amour jusqu'à ce point trouble-t-il la raison ?"")","('#frontin', ""Vous ! Épouser Zamire ? Ah ! quelle extravagance ! Vous voulez donc, Monsieur, renoncer à la France, Habiter ces climats et devenir Huron ! L'amour jusqu'à ce point trouble-t-il la raison !"")",0.0,Match
11,"('#valcour', ""Pense donc, malheureux, que l'air que je respire, Hélas ! est un bienfait de la tendre Zamire, Égarés dans ces bois, sans ses soins généreux, Sans ses secours, Frontin, nous périssions tous deux. À sa compassion je dois mon existence, Étouffant dans mon coeur toute reconnaissance, Je pourrais la trahir, la fuir, l'abandonner ! Et ses conseils, cruel, tu peux me les donner ? Va, Frontin, ne crois pas qu'à ce point je m'oublie."")","('#valcour', ""Peux-tu donc oublier que l'air que je respire, Est un bienfait, hélas ! de la tendre Zamire. Égarés dans ces bois, sans ses soins généreux, Sans ses secours, Frontin, nous périssions tous deux. À sa compassion je dois mon existence. Étouffant dans mon coeur toute reconnaissance, Je pourrais la trahir, la fuir, l'abandonner ? Sont-ce là les conseils que tu dois me donner ? Si j'en avais conçu la fatale pensée... Mais non, de trop d'amour mon âme est embrasée. Ces rochers menaçants, l'épaisseur de ces bois Plaisent plus à mes yeux que le palais des rois. Je n'y vois que Zamire, elle est partout présente, Tout ici sait m'offrir mon adorable amante. Ses bienfaits sont partout tracés en ce séjour,  Et j'y suis à jamais enchaîné par l'amour."")",0.0,Match
12,"('#frontin', ""Bon ! bon ! laissons passer cet accès de folie, Ce n'est qu'un feu de paille ; il aime, il est Français."")",,1.0,Insertion
13,"('#valcour', ""Moi ! je pourrais changer ! oh ! jamais. Non jamais, Si j'en avais conçu la fatale pensée... Mais non, de trop d'amour mon âme est embrasée. Ces rochers menaçants, l'épaisseur de ces bois Plaisent plus à mes yeux que les palais des rois, Je n'y vois que Zamire, elle est partout présente, Tout ici sait m'offrir mon adorable amante, Mais elle ne vient point ? qu'elle tarde aujourd'hui ! Zamire d'un amant viens dissiper l'ennui. Ah ! vole dans mes bras, que ta seule présence Efface les tourments que cause ton absence, Il est déjà grand jour, de ses premiers rayons Le soleil a doré la cime de ces monts. Les oiseaux par leurs chants marquent leur allégresse : Tout est riant ; moi seul je suis dans la tristesse, Zamire ne vient point, elle ne m'aime pas. Cruelle amante hélas ! tu veux donc mon trépas."")",,1.0,Insertion
14,"('#frontin', ""Saisissons cet instant. (Haut.) De l'amitié plus sage Mon cher maître daignez écouter ce langage. Zamire vous oublie, eh bien à votre tour, Oubliez l'infidèle et fuyez ce séjour. Abandonnons des lieux à nos voeux si contraires, Où nous ferions je crois assez mal nos affaires ; Où l'on estime peu l'esprit et les talents, Où le mérite seul est de courir les champs, De traverser les lacs, les forêts, les montagnes, Où l'on ne fait l'amour qu'au milieu des campagnes, Parmi le froid, la neige, entouré d'animaux, Tous moins cruels encor, que ne sont vos rivaux : Gens fort mal éduqués, dont la galanterie Est pour faire leur cour de vous ôter la vie Et d'en faire un trophée aux yeux de leurs tendrons, Qui croquent les Français comme nous des chapons. Tenez, j'entends du bruit là parmi ce feuillage, Ah ! peut-être, Monsieur, est-ce quelque sauvage Qui pour son déjeuner chercherait un Français ? Sauvons-nous."")","('#frontin', ""Ô ciel ! Quittons des lieux à nos voeux si contraires. Où nous ferions, je crois, assez mal nos affaires ; Où l'on estime peu l'esprit et les talents, Où le mérite seul est de courir les champs, De traverser les lacs, de gravir les montagnes, Où l'on ne fait l'amour qu'au milieu des campagnes, Parmi le froid, la neige, entouré d'animaux, Tous moins cruels encor que messieurs vos rivaux, Gens fort mal éduqués, qui par galanterie, Avant de s'expliquer nous arrachent la vie, Qui nous ayant hachés comme chair à pâtés, Dans nos crânes après boivent à nos santés. Hier au soir encore, à travers le feuillage Je vis roder, Monsieur, un grand et gros sauvage, Dont l'air rébarbatif me glaça de terreur. Haut."")",0.0,Match
15,"('#valcour', 'Reste ici.')","('#valcour', 'Poltron !')",0.07,Substitution
16,"('#frontin', ""Monsieur, je n'oserais, Je ne me trompe point, hélas ! quelqu'un s'avance."")","('#frontin', ""J'entends du bruit. Si c'est lui par malheur ! Sauvons-nous."")",1.46,Substitution
17,"('#valcour', 'Va, rassure-toi.')","('#valcour', 'Malheureux !')",1.26,Substitution
18,"('#frontin', 'Ciel ! Prends-nous en ta puissance. ')","('#frontin', ""Hélas ! quelqu'un s'avance. On vient à nous. Ô ciel ! prends-nous en ta puissance."")",0.0,Match
19,,"('#valcour', ""N'es-tu point avec moi ?"")",1.0,Deletion
20,"('#valcour', 'Viens, vendons notre vie au moins bien chèrement.')","('#frontin', ""C'est mon dernier moment."")",1.98,Substitution
21,,"('#valcour', 'Que vois-je ! des Français ?')",1.0,Deletion
22,,"('#frontin', 'Se peut-il ? Oui vraiment.')",1.0,Deletion
23,"('#frontin', ""Bon ! c'est des officiers de votre régiment."")",,1.0,Insertion
24,"('#la-fleur', 'Oui ce sont les Anglais abandonnons la place.')","('#la-fleur', 'Oui, ce sont des Anglais, abandonnons la place.')",0.0,Match
25,"('#dorval', ""Est-ce toi, Chevalier, est-ce toi que j'embrasse ?"")","('#dorval', ""Est-ce toi, Chevalier, est-ce toi, que j'embrasse ?"")",0.0,Match
26,"('#valcour', 'Dorval !')","('#valcour', 'Dorval !')",0.0,Match
27,"('#dorval', 'Valcour !')","('#dorval', 'Valcour !')",0.0,Match
28,"('#frontin', 'La Fleur ! ne me trompé-je pas ?')","('#frontin', 'La Fleur ! ne me trompé-je pas ?')",0.0,Match
29,"('#dorval', ""Oui, c'est toi mon ami que je tiens dans mes bras,  Toi que j'avais cru mort, dont j'ai pleuré la perte."")","('#dorval', ""C'est donc toi, mon ami, que je tiens dans mes bras ! Toi, que j'avais cru mort, dont j'ai pleuré la perte."")",0.0,Match
30,"('#la-fleur', ""Mais parbleu, c'est Frontin heureuse découverte !"")","('#la-fleur', ""Mais parbleu ! c'est Frontin. L'heureuse découverte ! Ils courent s'embrasser, et un moment après chacun passe à côté de son maître."")",0.16,Substitution
31,"('#valcour', ""Oui, c'est moi, mon ami, c'est l'ami de ton coeur."")",,1.0,Insertion
32,"('#dorval', ""Ah ! que je suis heureux. Quel moment enchanteur ! Je vais te ramener près du Marquis d'Ortille Qui te rendra bientôt au sien de ta famille, Car notre régiment va quitter ces climats, Cet oncle qui t'adore avait cru ton trépas."")","('#dorval', ""Je te revois encor, j'en rends grâce au hasard, Un jour de plus sans doute il eût été trop tard. Mais quel bonheur, Valcour, que vers ce lieu sauvage, Pour tromper l'ennemi nous cherchions un passage. Quel moment pour ton oncle ! Il a jusqu'à ce jour, Pour te faire chercher, différé son retour."")",0.31,Substitution
33,"('#valcour', 'Quoi ! notre régiment va repasser en France ?')","('#valcour', 'Quoi ! Nous allons partir  ?')",1.11,Substitution
34,"('#dorval', 'Dans un mois. Ce retour comble notre espérance.')","('#dorval', ""Le combat qui s'apprête, Jusqu'à demain encor dans ces lieux nous arrête."")",1.6,Substitution
35,"('#valcour', ""Dans un mois ! cher Dorval. Si tu m'aimas jamais."")","('#valcour', ""Jusqu'à demain ! Ah ciel ! si tu m'aimas jamais."")",0.0,Match
36,"('#dorval', ""Tu sais bien, cher Valcour à quel point je t'aimais. Le temps n'affaiblit point mon ancienne tendresse. Doutes-tu que ton sort encor ne m'intéresse ? Parle, qu'exiges-tu ? Si tu m'aimes toujours, Dispose de mes biens, dispose de mes jours ? Que faut-il faire ?"")","('#dorval', ""Quel langage ! Ah Valcour, tu sais si je t'aimais. Mon coeur n'est point changé. Qu'as-tu ? parle sans crainte.  "")",0.0,Match
37,"('#valcour', 'Hélas !')",,1.0,Insertion
