,quinault-isis,voltaire-pandore,Cost,Operation Type
11,"('#calliope', 'Cessez pour quelque temps bruit terrible des armes Qui troublez le repos de cent climats divers  Ne troublez point les charmes De nos divins concerts.')","('#choeur-des-dieux-infernaux', ""Nous détestons  La lumière éternelle :  Nous attendons  Dans nos gouffres profonds  La race faible et criminelle  Qui n'est pas née encore, et que nous haïssons. "")",1.31,Substitution
12,"('#calliope #thalie #apollon', 'Ne troublez point les charmes De nos divins concerts.')","('#nemesis', 'Les ondes du Léthé, les flammes du Tartare  Doivent tout ravager.  Parlez, qui voulez-vous plonger  Dans les profondeurs du Ténare ? ')",1.27,Substitution
13,"('#calliope', 'Recommençons nos chants, Allons les faire entendre.')",,1.0,Insertion
14,"('#melpomene', 'Dans une auguste Cour.')",,1.0,Insertion
15,"('#thalie', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",,1.0,Insertion
16,"('#calliope', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")",,1.0,Insertion
17,"('#calliope #thalie #apollon', 'Près du Vainqueur allons attendre son bienheureux retour.')",,1.0,Insertion
18,"('#apollon', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux. Les Muses et les Arts  Vont signaler leur zèle, Je vais favoriser leurs voeux Nous préparons une fête nouvelle Pour le Héros qui les appelle Dans cet asile heureux')","('#promethee', ""Je veux servir la terre, et non pas l'opprimer.  Hélas ! a cet objet j'ai donné la naissance,  Et je demande en vain qu'il s'anime, qu'il pense,  Qu'il soit heureux, qu'il sache aimer. "")",0.98,Substitution
19,"('#le-choeur', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux.')","('#les-trois-parques', ""Notre gloire est de détruire,  Notre pouvoir est de nuire :  Tel est l'arrêt du sort.  Le ciel donne la vie, et nous donnons la mort. "")",1.45,Substitution
20,"('#la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')","('#promethee', ""Fuyez donc à jamais ce beau jour qui m'éclaire :  Vous êtes malfaisants, vous n'êtes point mes dieux.  Fuyez, destructeurs odieux  De tout le bien que je veux faire :  Dieux des malheurs, dieux des forfaits,  Ennemis funèbres,  Replongez-vous dans les ténèbres :  Ennemis funèbres,  Laissez le monde en paix. "")",0.91,Substitution
