,moissy-gourmandes,moissy-poupee,Cost,Operation Type
0,,"('#minette', ""Eh bien !  Mademoiselle, ferez-vous ce que je vous dis ?  Voulez-vous bien vous tenir droite ?  Songez que je suis votre bonne, et qu'une bonne a droit de vous faire obéir, de vous gronder quand elle veut, et de vous corriger quand vous n'obéirez pas...  Eh bien !...  À qui est-ce que je parle ?  Voulez-vous...  Eh bien !...  Ah !  Vous avez de l'humeur...  Eh bien !  Vous aurez une tape sur l'épaule, comme ma bonne m'en donne souvent plus mal-à-propos ; oui, je ne suis pas si méchante pour vous, que ma Bonne l'est pour moi, et vous n'en êtes pas plus obéissante ; mais je ferai tout comme elle, et vous aurez affaire à moi. Impromptu."")",1,Deletion
1,,"('#la-bonne', ""Ah ! ah !  Mademoiselle, vous dites-là de jolies choses à votre poupée ; je vous frappe donc mal-à-propos ; je fuis donc méchante ; allons donnez-moi votre Poupée tout-à l'heure.  Elle prend la poupée.  Vous ne la reverrez de huit jours pour vous apprendre à lui tenir de pareils discours."")",1,Deletion
2,,"('#minette', 'Mais, ma Bonne, je ne savais pas que vous étiez-là ; oh !  Rendez-moi ma Poupée.')",1,Deletion
3,,"('#la-bonne', 'Non, Mademoiselle.')",1,Deletion
4,,"('#minette', 'Vous ne voulez pas ?')",1,Deletion
5,,"('#la-bonne', ""Non, vous dis-je, elle est avec vous en trop mauvaise compagnie ; vous lui dites des menteries, et cela n'est pas bien."")",1,Deletion
6,,"('#minette', ""Eh bien !  Ma Bonne, c'est vrai, je lui ai dit que vous êtes méchante, et ce ne sont pas des menteries, comme vous voyez, puisque vous voulez m'ôter ma poupée ; aussi pourquoi écoutez vous ce que je lui dis ?  Ça n'est pas bien d'écouter les personnes qui parlent ensemble, seriez-vous bien aise que je vous écoutasse moi, quand vous causez avec Dubois, le valet de chambre de mon Papa, et qui vous dit bien d'autres choses que tout ce que j'ai dit à ma Poupée ?"")",1,Deletion
7,,"('#la-bonne', 'Mademoiselle, quand je cause avec lui, nous ne disons du mal de personne.')",1,Deletion
8,,"('#minette', ""Ah !  Vraiment, je le sais bien, vous ne vous dites que des choses sort gracieuses à l'une et à l'autre."")",1,Deletion
9,,"('#la-bonne', ""Voilà qui est bien, il ne s'agit point de cela."")",1,Deletion
10,,"('#minette', 'Eh bien !  Rendez-moi ma poupée.')",1,Deletion
11,,"('#la-bonne', ""Non, vous ne l'aurez pas, sûrement."")",1,Deletion
12,,"('#minette', 'Vous ne voulez donc pas me la rendre, une fois, deux fois, vous ne voulez pas ?')",1,Deletion
13,,"('#la-bonne', 'Non.')",1,Deletion
14,,"('#minette', 'Eh bien !  Emportez-la, je sais bien ce que je ferai.')",1,Deletion
15,,"('#la-bonne', ""Eh !  Que ferez-vous s'il vous plaît ?"")",1,Deletion
16,,"('#minette', ""Allez, je me la ferai bien rendre.  Ah !  Tenez, j'entends parler Monsieur de la Fayette, qui est mon bon ami et celui de Maman : je m'en vais lui dire qu'il me la fasse rendre."")",1,Deletion
17,,"('#la-bonne', ""Ah !  Vous pouvez lui dire tout ce qu'il vous plaira, mais il ne me forcera pas de vous la rendre."")",1,Deletion
18,,"('#minette', 'Mon bon ami, tenez, voilà ma Bonne qui vient de me prendre ma Poupée, parce que je causais avec elle, et qui veut me la garder pendant huit jours.')",1,Deletion
19,,"('#monsieur-de-la-fayette', 'Et pourquoi cela ?  Ah !  La Bonne, rendez la poupée à Mademoiselle Minette, à ma considération.')",1,Deletion
20,,"('#la-bonne', ""Non, Monsieur, je vous considère beaucoup, mais j'ai des raisons de punir Mademoiselle des propos ridicules qu'elle tient à sa poupée, en lui ôtant les moyens de s'entretenir avec elle, comme elle fait, sur mon compte."")",1,Deletion
21,,"('#monsieur-de-la-fayette', ""Eh !  Qu'est-ce qu'elle lui disait donc sur votre compte ?"")",1,Deletion
22,,"('#minette', 'Eh bien !  Je lui disais, que vous êtes méchante, ma Bonne !  Et cela est vrai, tant que vous ne voudrez pas me rendre ma poupée.')",1,Deletion
23,,"('#monsieur-de-la-fayette', 'Allons, la Bonne, rendez-la lui, elle ne le dira plus.')",1,Deletion
24,,"('#la-bonne', 'Non, Monsieur, vos prières sont inutiles, je ne la rendrai pas.')",1,Deletion
25,,"('#minette', ""Voyez, mon bon ami, si j'ai tant menti que ma Bonne le dit ; mais demandez lui donc plus fort."")",1,Deletion
26,,"('#monsieur-de-la-fayette', 'La Bonne.  Je veux absolument, je veux absolument que vous rendiez à Minette sa poupée.')",1,Deletion
27,,"('#la-bonne', 'Et moi, je ne veux pas la rendre.')",1,Deletion
28,,"('#minette', ""Vous voyez, comme elle est obstinée ; eh bien !  Elle dira que c'est moi ; je sais bien quel qu'un qui me la fera rendre."")",1,Deletion
29,,"('#la-bonne', 'Oui, nous verrons.')",1,Deletion
30,,"('#monsieur-de-la-fayette', 'Madame, je vous donne le bonjour.  Ah !  Madame, Mademoiselle Minette a bien du chagrin.')",1,Deletion
31,,"('#minette', 'Ah !  Ma chère Maman, vous venez bien à propos ; baisez-moi donc, ma petite Maman.')",1,Deletion
32,,"('#la-mere', ""Bonjour, Minette.  Eh bien !  Qu'est-ce qu'il y a donc ?  Quelque mécontentement que vous avez donné à votre Bonne, je gage, Mademoiselle ; vous savez que je n'aime pas cela."")",1,Deletion
33,,"('#minette', ""Ni moi non plus, Maman, car c'est toujours moi qui en suis punie : mais, Maman, je ne saurais plus avoir recours qu'à vous, pour l'avoir ma poupée, que ma Bonne m'a ôtée."")",1,Deletion
34,,"('#la-mere', 'Votre Bonne vous a ôté votre Poupée, apparemment parce que vous le méritez.')",1,Deletion
35,,"('#la-bonne', 'Oui, Madame, Mademoiselle lui dit des choses qui ne sont pas bien ; elle lui fait entendre que je suis méchante, que je ne sais ce que je dis, ce que je fais.')",1,Deletion
36,,"('#la-mere', 'Ah ! ah !  Mademoiselle, en ce cas votre Bonne a bien fait.')",1,Deletion
37,,"('#minette', ""Eh bien ! Ma chère Maman, faites-moi la rendre, cela ne m'arrivera plus, je vous le promets."")",1,Deletion
38,,"('#monsieur-de-la-fayette', ""Allons, Madame, cette promesse là doit vous désarmer ; Mademoiselle Minette n'a plus que vous pour ressource, car elle a prié sa Bonne inutilement ; mon crédit n'a rien fait non plus, ainsi..."")",1,Deletion
39,,"('#la-mere', ""Je veux bien que vous lui rendiez sa poupée, la Bonne, pour cette sois-ci. Mais la première fois qu'il vous arrivera, Mademoiselle, de tenir avec votre Poupée des propos qui déplairont à votre Bonne, je ne veux pas qu'elle vous la rende de la vie. À l'enfant."")",1,Deletion
40,,"('#minette', 'Oui, Maman.')",1,Deletion
41,,"('#la-mere', 'Je veux que vous ayez pour votre Bonne, autant de respect que pour moi.')",1,Deletion
42,,"('#minette', 'Oui, Maman.')",1,Deletion
43,,"('#la-mere', ""Que vous soyez assez raisonnable pour penser qu'elle tient ma place auprès de vous, parce que je ne puis pas y être toujours."")",1,Deletion
44,,"('#minette', 'Oui, Maman.')",1,Deletion
45,,"('#la-mere', ""Et qu'enfin, lui déplaire, c'est déplaire à moi-même."")",1,Deletion
46,,"('#minette', 'Oui, Maman.')",1,Deletion
47,,"('#la-mere', ""Allons, la Bonne, rendez-lui sa poupée pour cette fois-ci. Et vous , Mademoiselle, songez à ce que vous me promettez, et à me tenir parole. À l'enfant. "")",1,Deletion
48,,"('#minette', 'Oui, Maman.')",1,Deletion
49,,"('#la-bonne', 'Tenez, Mademoiselle, la voilà ; vous êtes bienheureuse que votre Maman...')",1,Deletion
50,,"('#minette', ""Oui, ma Bonne... Ah !  La voilà.  Je savais bien moi que je l'aurais, mais j'ai eu bien de la peine...  Allez ma bonne, soyez tranquille, je ne lui parlerai plus jamais de vous du tout, du tout.  Oh !  Je vois bien que sans Maman...  Mais le Proverbe a raison qui dit que... En tenant la Poupée. "")",1,Deletion
51,"('#caroline', 'Ma soeur, Fanchette ne revient point pour nous donner à gouter, et il est six heures.')","('#caroline', 'Ma soeur, Fanchette ne revient point pour nous donner à gouter, et il est six heures.')",0,Match
52,"('#josephine', ""Dame, mon Papa l'a envoyée en commission bien loin, bien loin ; il est dans la boutique ; veux-tu que je lui demande à gouter ?"")","('#josephine', ""Dame, mon Papa l'a envoyée en commission bien loin, bien loin ; il est dans la boutique ; veux-tu que je lui demande à gouter ?"")",0,Match
53,"('#caroline', 'Bon, il nous donnera du pain sec ; il y a dans le buffet un bon morceau de tourte de frangipane.')","('#caroline', 'Bon, il nous donnera du pain sec ; il y a dans le buffet un bon morceau de tourte de frangipane.')",0,Match
54,"('#josephine', 'Et puis un reste de pot de confitures.')","('#josephine', 'Et puis un reste de pot de confitures.')",0,Match
55,"('#caroline', 'Mon Papa est occupé dans la boutique avec des Marchands. Tiens, vois-tu, ma Soeur, mangeons-en un peu sans que cela paroisse. Elle ouvre le buffet. ')","('#caroline', 'Mon Papa est occupé dans la boutique avec des Marchands. Tiens, vois-tu, ma Soeur, mangeons-en un peu sans que cela paroisse. Elle ouvre le buffet. ')",0,Match
56,"('#josephine', 'Allons voyons, as-tu un couteau?')","('#josephine', 'Allons voyons, as-tu un couteau?')",0,Match
57,"('#caroline', ""Oui, tiens, coupons d'abord de la tourte. Tiens, voilà pour toi, et puis voilà pour moi, vois ; il n'y paraît presque pas. Elle coupe de la tourte. "")","('#caroline', ""Oui, tiens, coupons d'abord de la tourte. Tiens, voilà pour toi, et puis voilà pour moi, vois ; il n'y paraît presque pas. Elle coupe de la tourte. "")",0,Match
58,"('#josephine', ""Non, mais je n'en ai guère, prêtes-moi ton couteau. Tiens, je m'en vais prendre encore ce petit coin-là. Elle coupe."")","('#josephine', ""Non, mais je n'en ai guère, prêtes-moi ton couteau. Tiens, je m'en vais prendre encore ce petit coin-là. Elle coupe."")",0,Match
59,"('#caroline', ""Et moi donc, donnes m'en par-là."")","('#caroline', ""Et moi donc, donnes m'en par-là."")",0,Match
60,"('#josephine', ""Oui, mais la tourte s'en va."")","('#josephine', ""Oui, mais la tourte s'en va."")",0,Match
61,"('#caroline', ""Oh dame ! C'est si bon : donnes-moi encore ça, tiens, plus que ça : ah !  Voilà le morceau tout cassé, comment allons-nous faire ?"")","('#caroline', ""Oh dame ! C'est si bon : donnes-moi encore ça, tiens, plus que ça : ah !  Voilà le morceau tout cassé, comment allons-nous faire ?"")",0,Match
62,"('#josephine', ""Eh bien !  Mangeons tout, nous laisserons le buffet ouvert, et nous dirons que c'est le chat qui l'a mangé."")","('#josephine', ""Eh bien !  Mangeons tout, nous laisserons le buffet ouvert, et nous dirons que c'est le chat qui l'a mangé."")",0,Match
63,"('#caroline', 'Tu as raison, cela vaudra mieux que de laisser ce petit morceau tout rompu, tiens. Elles partagent le reste de la tourte.')","('#caroline', 'Tu as raison, cela vaudra mieux que de laisser ce petit morceau tout rompu, tiens. Elles partagent le reste de la tourte.')",0,Match
64,"('#josephine', ""Ah !  Que c'est bon de la tourte de frangipane ; quand je ferai grande et que j'aurai de l'argent, j'en veux manger à tous mes repas."")","('#josephine', ""Ah !  Que c'est bon de la tourte de frangipane ; quand je ferai grande et que j'aurai de l'argent, j'en veux manger à tous mes repas."")",0,Match
65,"('#caroline', 'La voilà partie tout-à-fait.')","('#caroline', 'La voilà partie tout-à-fait.')",0,Match
66,"('#josephine', 'Et la mienne aussi : et des confitures, en veux-tu ?')","('#josephine', 'Et la mienne aussi : et des confitures, en veux-tu ?')",0,Match
67,"('#caroline', ""Oui, un peu, mais n'en faisons pas comme de la tourte ; ne mangeons pas tout : tiens, voilà une petite cuillère pour toi et une pour moi, prenons dans le pot chacune à notre tour."")","('#caroline', ""Oui, un peu, mais n'en faisons pas comme de la tourte ; ne mangeons pas tout : tiens, voilà une petite cuillère pour toi et une pour moi, prenons dans le pot chacune à notre tour."")",0,Match
68,"('#josephine', 'Oui, prends.  Caroline prend, et elles continuent ainsi chacune à leur tour.  À moi, à toi, à moi, à toi, à moi : oh !  Voilà déjà le fond du pot que je vois.')","('#josephine', 'Oui, prends.  Caroline prend, et elles continuent ainsi chacune à leur tour.  À moi, à toi, à moi, à toi, à moi : oh !  Voilà déjà le fond du pot que je vois.')",0,Match
69,"('#caroline', ""Ma soeur, voilà mon frère qui revient de l'école, caches donc vite tout cela, et fermons le buffet ; dépêche-toi donc, dépêche-toi donc.  Joséphine ferme le buffet."")","('#caroline', ""Ma soeur, voilà mon frère qui revient de l'école, caches donc vite tout cela, et fermons le buffet ; dépêche-toi donc, dépêche-toi donc.  Joséphine ferme le buffet."")",0,Match
70,"('#le-petit-dulac', 'Mes soeurs, où est donc Fanchette ?  Avez-vous gouté ?')","('#le-petit-dulac', 'Mes soeurs, où est donc Fanchette ?  Avez-vous gouté ?')",0,Match
71,"('#caroline', ""Non, nous l'attendons, elle est allée en commission, elle va revenir."")","('#caroline', ""Non, nous l'attendons, elle est allée en commission, elle va revenir."")",0,Match
72,"('#dulac', ""Oh !  Moi, j'ai faim, je m'en vais prendre à gouter dans le buffet."")","('#dulac', ""Oh !  Moi, j'ai faim, je m'en vais prendre à gouter dans le buffet."")",0,Match
73,"('#caroline', ""Mon frère, n'ouvrez pas le buffet, vous savez bien que mon Papa ne veut pas que nous prenions à goûter nous-mêmes."")","('#caroline', ""Mon frère, n'ouvrez pas le buffet, vous savez bien que mon Papa ne veut pas que nous prenions à gouter nous-mêmes."")",0,Match
74,"('#dulac', ""Mais moi, j'ai faim, et je ne veux prendre que du pain."")","('#dulac', ""Mais moi, j'ai faim, et je ne veux prendre que du pain."")",0,Match
75,"('#josephine', ""Oh !  Tu n'ouvriras pas le buffet ; Fanchette va revenir , attends un moment, nous attendons bien nous."")","('#josephine', ""Oh !  Tu n'ouvriras pas le buffet ; Fanchette va revenir , attends un moment, nous attendons bien nous."")",0,Match
76,"('#monsieur-dulac', ""Dulac, qu'est-ce que vous faites là dedans ?"")","('#monsieur-dulac', ""Dulac, qu'est-ce que vous faites là dedans ?"")",0,Match
77,"('#dulac', 'Rien, mon Papa.  Il sort et va dans la boutique.')","('#dulac', 'Rien, mon Papa.  Il sort et va dans la boutique.')",0,Match
78,"('#josephine', ""Bon, le voilà occupé dans la boutique, achevons le pot de confitures, c'est à moi à prendre. Elle s'ouvre le buffet."")","('#josephine', ""Bon, le voilà occupé dans la boutique, achevons le pot de confitures, c'est à moi à prendre. Elle s'ouvre le buffet."")",0,Match
79,"('#caroline', ""Non, c'est à moi."")","('#caroline', ""Non, c'est à moi."")",0,Match
80,"('#josephine', ""Mademoiselle, c'est à moi.  Elles prennent toutes les deux ensemble dans le pot."")","('#josephine', ""Mademoiselle, c'est à moi.  Elles prennent toutes les deux ensemble dans le pot."")",0,Match
81,"('#caroline', ""Voyez-vous ce que vous faites, Mademoiselle, il n'y a plus rien à présent ; c'est pourtant vous qui êtes si gourmande..."")","('#caroline', ""Voyez-vous ce que vous faites, Mademoiselle, il n'y a plus rien à présent ; c'est pourtant vous qui êtes si gourmande..."")",0,Match
82,"('#josephine', ""Ah !  C'est bien vous même : comment allons-nous faire maintenant ?  Et quand on s'apercevra qu'il n'y a plus ni tourte, ni confitures..."")","('#josephine', ""Ah !  C'est bien vous même : comment allons-nous faire maintenant ?  Et quand on s'apercevra qu'il n'y a plus ni tourte, ni confitures..."")",0,Match
83,"('#caroline', ""Sais-tu ce qu'il faut faire ?  Voilà le chat qui dort, enfermons-le dans le buffet, cassons le pot de confitures avant, et on croira que c'est le chat qui a tout mangé et tout cassé. Elle casse le pot de confitures."")","('#caroline', ""Sais-tu ce qu'il faut faire ?  Voilà le chat qui dort, enfermons-le dans le buffet, cassons le pot de confitures avant, et on croira que c'est le chat qui a tout mangé et tout cassé. Elle casse le pot de confitures."")",0,Match
84,"('#josephine', ""C'est bon, c'est bon, tiens le voilà, prends garde qu'il ne s'en aille."")","('#josephine', ""C'est bon, c'est bon, tiens le voilà, prends garde qu'il ne s'en aille."")",0,Match
85,"('#caroline', 'Ah que non ; donne, tiens. Voilà le buffet bien fermé, vas, nous sommes des bonnes. Elle met le chat dans le buffet.')","('#caroline', 'Ah que non ; donne, tiens. Voilà le buffet bien fermé, vas, nous sommes des bonnes. Elle met le chat dans le buffet.')",0,Match
86,"('#dulac', 'Ma Mie, nous vous attendons, pour nous donner à gouter.')","('#dulac', 'Ma Mie, nous vous attendons, pour nous donner à gouter.')",0,Match
87,"('#fanchette', 'Vous ne pouviez pas en prendre ?')","('#fanchette', 'Vous ne pouviez pas en prendre ?')",0,Match
88,"('#dulac', ""Dame, mes soeurs n'ont pas voulu."")","('#dulac', ""Dame, mes soeurs n'ont pas voulu."")",0,Match
89,"('#josephine', ""Non, mon Papa a défendu qu'on ouvre le buffet, quand vous n'y êtes pas, ma Mie."")","('#josephine', ""Non, mon Papa a défendu qu'on ouvre le buffet, quand vous n'y êtes pas, ma Mie."")",0,Match
90,"('#fanchette', ""Allons, je m'en vais vous en donner, attendez un moment. Elle entend le bruit du chat dans le buffet.  Mais, qu'est-ce que j'entends donc là, dans ce buffet ?"")","('#fanchette', ""Allons, je m'en vais vous en donner, attendez un moment. Elle entend le bruit du chat dans le buffet.  Mais, qu'est-ce que j'entends donc là, dans ce buffet ?"")",0,Match
