,quinault-cadmus-hermione,quinault-isis,Cost,Operation Type
0,"('#pales', 'Hâtez-vous, Pasteurs, accourez.')","('#la-renommee #suite', 'Publions en tous lieux Du plus grand des héros la valeur triomphante. Que la Terre et les cieux  Retentissent du bruit de sa gloire éclatante.')",1.36,Substitution
1,"('#melisse', 'La voix des oiseaux nous appelle.')",,1.0,Insertion
2,"('#pales', 'Nos champs sont éclairés.')",,1.0,Insertion
3,"('#melisse', 'Nos coteaux sont dorés.')","('#la-renommee', ""C'est lui dont les Dieux ont fait choix  Pour combler le bonheur de l'Empire François, En vain pour le troubler, tout s'unit, tout conspire, C'est en vain que l'Envie a ligué tant de rois. Heureux l'Empire  Qui suit ses lois !"")",1.63,Substitution
4,"('#pales', ""Tout brille de l'éclat de la clarté nouvelle."")","('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",1.84,Substitution
5,"('#melisse', 'Mille fleurs naissent dans nos prés :')",,1.0,Insertion
6,"('#pales #melisse', ""Que l'Astre qui nous luit rend la nature belle ! Ne perdons pas un seul moment D'un jour si doux et si charmant. Le choeur répète les deux derniers vers."")","('#la-renommee', ""Il faut que partout on l'admire Parlons de ses vertus racontons ses exploits, A peine y pourrons nous suffire Avec toutes nos voix;"")",0.53,Substitution
7,,"('#le-choeur', ""Heureux l'Empire  Qui suit ses lois !"")",1.0,Deletion
8,,"('#la-renommee', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")",1.0,Deletion
9,,"('#le-choeur', ""Il faut le dire cent-et-cent fois Heureux l'empire qui suit ses lois."")",1.0,Deletion
10,"('#le-choeur', ""Admirons, admirons l'Astre qui nous éclaire, Chantons la gloire de son cours ; Que tout le Monde revère Le Dieu qui fait nos beaux jours. Pan, Dieu des Bergers paraît accompagné de joueurs d'instruments champêtres, et de danseurs rustiques, qui viennent prendre part à la réjouissance des nymphes et des pasteurs, et tous ensemble commencent à former une manière de fête à l'honneur du Dieu qui donne le jour."")","('#deux-tritons', ""C'est le Dieu des eaux qui va paraître Rangeons nous près de notre Maître Enchaînons les vents les plus terribles Que le bruit des flots cède à nos chants. Régnez Zéphirs paisibles, Ramenez le doux printemps."")",0.22,Substitution
11,"('#pan', ""Que chacun se ressente De la douceur charmante, Que le Soleil répand sur ces heureux climats. Il n'est rien qui n'enchante Dans ces lieux pleins d'appas, Tout y rit, tout y chante, Hé pourquoi ne rirons-nous pas ? Les danseurs rustiques qui ont suivi le Dieu Pan, commencent une fête qui est interrompue par des bruits souterrains, et par une espèce de Nuit qui obscurcit le théâtre entièrement, et tout_à_coup ; ce qui de frayeur qui sont une manière de concert affreux, avec les bruits souterrains."")","('#neptune', ""Mon empire a servi de théâtre à la guerre, Publiez des exploits nouveaux C'est le même vainqueur Si fameux sur la terre Qui triomphe encor sur les eaux."")",0.56,Substitution
12,"('#choeurs', ""Quel désordre soudain ! quel bruit affreux redoutable ! Que épouvantable fracas ! Quels gouffres s'ouvrent sous nos pas ! Le jour palît, le Ciel se trouble ; La Terre va vomir tout l'Enfer en courroux : Fuyons, fuyons, sauvons-nous, sauvons-nous. Dans cette obscurité soudaine, l'Envie sort de son antre qui s'ouvre au milieu du théâtre : elle évoque le monstrueux Serpent Python, qui paraît dans son marais bourbeux, jettant des feux par la gueule et par les yeux, qui sont la seule lumière qui éclaire le théâtre : elle appelle les Vents les plus impétueux pour seconder sa fureur, elle en fait sortir quatre de ceux qui sont renfermez dans les cavernes souterraines, et elle en fait descendre quatre autres de ceux qui forment les orages, qui tous après avoir volé et s'être croisés dans l'air, viennent se ranger autour d'elle, pour l'aider à troubler les beaux jours que le Soleil donne au monde."")","('#la-renommee #neptune', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")",0.93,Substitution
13,"('#l-envie', ""C'est trop voir le Soleil briller dans sa Carrière, Les Rayons qu'il lance en tous lieux, Ont trop blessé mes yeux ; Venez, noirs ennemis de sa vive lumière, Joignons nos transports furieux. Que chacun me seconde : Paraissez, Monstre affreux. Sortez ? Vents souterrains, des antres les plus creux, Volez, Tyrans des airs, troublez la Terre et l'Onde, Répandons la terreur ; Qu'avec nous le Ciel gronde : Que l'Enfer nous réponde ; Remplissons la Terre d'horreur : Que la Nature se confonde : Jetons dans tous les coeurs du monde La jalouse fureur Qui déchire mon coeur. Et vous Monstre, armez-vous pour nuire À cet astre puissant qui vous a su produire : Il répand trop de biens, il reçoit trop de voeux. Agitez vos marais bourbeux : Excitez contre lui mille vapeurs mortelles : Déployez, étendez vos ailes, Que tous les Vents impétueux S'efforcent d'éteindre ses feux. Osons tous obscurcir ses clartés les plus belles, Osons nous opposer à son cours trop heureux : Quels traits ont crevé le Nuage ? Quel Torrent enflammé s'ouvre un brillant passage ! Tu triomphes, Soleil ? Tout cède à ton pouvoir ? Que d'honneurs tu vas recevoir ! Ah quelle rage ! Ah quelle rage ! Quel désespoir ! Quel désespoir ! L'Envie distribue des Serpents aux Vents, qui forment autour d'elle de manières de tourbillons. L'envie continue à chanter. Ces vents forment de nouveaux tourbillons, tandis que le serpent Python l'élève en l'air, par un rond qu'il fait en volant.  L'Envie continue. Des traits enflammés percent l'épaisseur des nuages, et fondent sur le Serpent Python, qui après s'être débattu quelque temps en l'Air, tombe enfin tout embrasé dans son marais bourbeux ; une pluie de feu se répand sur toute la scène, et contraint l'Envie de s'abîmer avec les quatre Vents souterrains, tandis que les Vents de l'Air s'envolent, et dans le même instant les Nuages se dissipent et le théâtre devient entièrement éclairé. L'Assemblée champêtre que la frayeur avait chassée revient, pour célébrer la Victoire du Soleil, et pour lui préparer des trophées, et des sacrifices."")","('#choeurs', ""Célébrez son grand nom sur la terre et sur l'onde Qu'il ne soit pas borné par les plus vastes mers Qu'il vole jusqu'au bout du monde Qu'il dure autant que l'univers."")",0.62,Substitution
14,"('#pales', 'Chassons la crainte qui nous presse.')","('#calliope', 'Cessez pour quelque temps bruit terrible des armes Qui troublez le repos de cent climats divers  Ne troublez point les charmes De nos divins concerts.')",1.19,Substitution
15,"('#melisse', 'Rien ne doit plus faire peur.')",,1.0,Insertion
