id,Name,id_similar,Name_similar,Intersection,Distances,Renamings,Alignment Pair frequencies
fre000187,boyer-amours-jupiter-semele,fre000819,la-fontaine-daphne,"[""melpomene"", ""thalie"", ""apollon"", ""lamour"", ""jupiter"", ""momus"", ""venus""]",0.654930055141449,"{('leucippe2', 'junon1'), ('apollon2', 'alcmeon1')}","defaultdict(<class 'int'>, {('alcmeon1', 'apollon2'): 2, ('junon1', 'leucippe2'): 2})"
fre000187,boyer-amours-jupiter-semele,fre000536,dufresny-adieux-des-officiers,"[""lamour"", ""jupiter"", ""momus"", ""junon"", ""venus"", ""undesamours""]",0.31301945447921753,"{('venus2', 'melpomene1'), ('cupidon2', 'thalie1')}","defaultdict(<class 'int'>, {('melpomene1', 'venus2'): 1, ('thalie1', 'cupidon2'): 1})"
fre000207,cadet-gassicourt-souper-de-moliere,fre000296,chazet-dubois-moliere-chez-ninon,"[""laforet"", ""tous"", ""moliere"", ""boileau"", ""chapelle"", ""lafontaine""]",0.6570079028606415,"{('ninon2', 'antoine1'), ('moliere2', 'madelon1')}","defaultdict(<class 'int'>, {('antoine1', 'ninon2'): 1, ('madelon1', 'moliere2'): 1, ('le-choeur1', 'ninon2'): 1, ('moliere1', 'moliere2'): 1})"
fre000213,campistron-achille,fre000322,corneillep-andromede,"[""mercure"", ""melpomene"", ""lechoeur"", ""jupiter"", ""venus"", ""junon""]",0.9365758895874023,"{('andromede2', 'achille1'), ('persee2', 'briseis1'), ('junon1', 'aglante2')}","defaultdict(<class 'int'>, {('briseis1', 'persee2'): 2, ('achille1', 'andromede2'): 2, ('briseis1', 'andromede2'): 1, ('junon1', 'aglante2'): 1})"
fre000213,campistron-achille,fre000819,la-fontaine-daphne,"[""mercure"", ""melpomene"", ""thalie"", ""lechoeur"", ""jupiter"", ""venus"", ""unberger""]",0.5986036062240601,"{('achille1', 'leucippe2'), ('apollon2', 'briseis1')}","defaultdict(<class 'int'>, {('briseis1', 'apollon2'): 2, ('achille1', 'leucippe2'): 1, ('junon1', 'leucippe2'): 1})"
fre000213,campistron-achille,fre001176,quinault-isis,"[""mercure"", ""melpomene"", ""thalie"", ""lechoeur"", ""jupiter"", ""junon""]",0.5411380529403687,"{('hierax2', 'briseis1'), ('io2', 'achille1')}","defaultdict(<class 'int'>, {('achille1', 'hierax2'): 1, ('briseis1', 'hierax2'): 1, ('achille1', 'io2'): 1})"
fre000243,carmontelle-condamnez-sans-entendre,fre000274,carmontelle-statue,"[""lemarquis"", ""lebaron"", ""lacomtesse"", ""mademoiselledericheviere"", ""lechevalier"", ""lelaquais""]",80.55333423614502,"{('le-marquis1', 'le-marquis2'), ('le-chevalier1', 'le-chevalier2'), ('mademoiselle-de-richeviere2', 'mademoiselle-de-richeviere1'), ('le-laquais1', 'le-laquais2'), ('le-baron1', 'le-baron2'), ('la-comtesse1', 'la-comtesse2')}","defaultdict(<class 'int'>, {('le-marquis1', 'le-marquis2'): 30, ('le-baron1', 'le-baron2'): 27, ('le-baron1', 'le-marquis2'): 1, ('la-comtesse1', 'la-comtesse2'): 44, ('mademoiselle-de-richeviere1', 'mademoiselle-de-richeviere2'): 49, ('le-chevalier1', 'le-chevalier2'): 21, ('le-laquais1', 'le-laquais2'): 1})"
fre000287,chabanon-toison-d-or,fre001258,rousseaujb-jason,"[""medee"", ""jason"", ""orphee"", ""choeur"", ""lamour"", ""venus""]",0.4930381774902344,"{('medee2', 'jason1'), ('jason2', 'choeur1')}","defaultdict(<class 'int'>, {('choeur1', 'jason2'): 1, ('jason1', 'medee2'): 1})"
fre000301,chevalier-amours-de-calotin,fre001778,palaprat-le-muet,"[""lemarquis"", ""lebaron"", ""lechevalier"", ""lelaquais"", ""lacomtesse"", ""lisette""]",0.5000001192092896,"{('frontin2', 'tersandre1')}","defaultdict(<class 'int'>, {('tersandre1', 'frontin2'): 1})"
fre000301,chevalier-amours-de-calotin,fre000302,chevalier-barbons-amoureux,"[""ragotin"", ""guillot"", ""lisette"", ""beatrix"", ""policarpe"", ""boniface""]",0.5,"{('ragotin2', 'le-marquis1')}","defaultdict(<class 'int'>, {('le-marquis1', 'ragotin2'): 1})"
fre000322,corneillep-andromede,fre001176,quinault-isis,"[""melpomene"", ""lechoeur"", ""neptune"", ""junon"", ""mercure"", ""jupiter""]",0.6613377630710602,"{('jupiter2', 'andromede1'), ('io2', 'persee1')}","defaultdict(<class 'int'>, {('persee1', 'io2'): 3, ('andromede1', 'jupiter2'): 3, ('andromede1', 'io2'): 1})"
fre000322,corneillep-andromede,fre001178,quinault-persee,"[""cassiope"", ""persee"", ""cephee"", ""phinee"", ""lechoeur"", ""venus"", ""andromede"", ""mercure""]",0.7117551565170288,"{('cephee2', 'cassiope1'), ('suivante-de-la-vertu suivante-de-la-fortune2', 'le-choeur1'), ('cassiope2', 'persee1'), ('la-vertu la-fortune2', 'timante1'), ('la-vertu la-fortune choeurs2', 'cephee1')}","defaultdict(<class 'int'>, {('timante1', 'la-vertu la-fortune2'): 1, ('le-choeur1', 'suivante-de-la-vertu suivante-de-la-fortune2'): 1, ('cephee1', 'la-vertu la-fortune choeurs2'): 1, ('cassiope1', 'cephee2'): 1, ('persee1', 'cassiope2'): 1, ('cephee1', 'cephee2'): 1, ('ammon1', 'cassiope2'): 1, ('phinee1', 'cephee2'): 1})"
fre000324,corneillep-cid,fre000325,corneillep-cid-37,"[""chimene"", ""elvire"", ""linfante"", ""leonor"", ""page"", ""lecomte"", ""dondiegue"", ""donrodrigue"", ""donarias"", ""donfernand"", ""donsanche"", ""donalonse""]",152.92207595705986,"{('don-arias1', 'don-arias2'), ('page1', 'page2'), ('leonor1', 'leonor2'), ('l-infante1', 'l-infante2'), ('elvire1', 'elvire2'), ('don-sanche1', 'don-sanche2'), ('don-fernand1', 'don-fernand2'), ('don-rodrigue1', 'don-rodrigue2'), ('don-diegue2', 'don-diegue1'), ('don-alonse1', 'don-alonse2'), ('le-comte1', 'le-comte2'), ('chimene2', 'chimene1')}","defaultdict(<class 'int'>, {('elvire1', 'elvire2'): 25, ('chimene1', 'chimene2'): 91, ('l-infante1', 'l-infante2'): 38, ('leonor1', 'leonor2'): 16, ('page1', 'page2'): 4, ('le-comte1', 'le-comte2'): 37, ('don-diegue1', 'don-diegue2'): 38, ('le-comte1', 'don-diegue2'): 2, ('don-rodrigue1', 'don-rodrigue2'): 56, ('don-diegue1', 'don-rodrigue2'): 1, ('don-arias1', 'don-arias2'): 13, ('don-fernand1', 'don-fernand2'): 35, ('don-sanche1', 'don-sanche2'): 12, ('don-fernand1', 'don-arias2'): 1, ('don-alonse1', 'don-alonse2'): 3, ('don-diegue1', 'chimene2'): 1, ('chimene1', 'don-diegue2'): 2, ('chimene1', 'elvire2'): 1})"
