id,Name,id_similar,Name_similar,Intersection,Matching weight,Distances,Renamings,Percent of matches,Average cost of operations
fre000122,biancolelli-ecole-galante,fre000127,biancollelli-arlequin-gentilhomme,"[""arlequin"", ""pierrot"", ""octave"", ""leandre"", ""scaramouche"", ""ledocteur"", ""lachanteuse"", ""mezzetin""]",0.02739182215164748,612.2050199996338,"{('scaramouche1', 'scaramouche2'), ('mezzetin1', 'isabelle2'), ('octave1', 'leandre2'), ('leandre1', 'le-docteur2'), ('spinette1', 'geronte2'), ('le-docteur1', 'leonore2'), ('arlequin1', 'mezzetin2'), ('argentine1', 'arlequin2'), ('pierrot1', 'octave2')}",0.011345218800648298,0.9921717990275528
fre000122,biancolelli-ecole-galante,fre000540,dufresny-depart-des-comediens,"[""arlequin"", ""pierrot"", ""octave"", ""leandre"", ""lachanteuse"", ""mezzetin""]",0.03924418604651163,368.7429433573376,"{('argentine1', 'mezzetin2'), ('octave1', 'leandre2'), ('arlequin1', 'colombine2'), ('le-docteur1', 'la-pretresse2'), ('leandre1', 'arlequin2'), ('scaramouche1', 'pasquariel2'), ('pierrot1', 'octave2'), ('spinette1', 'pierrot2')}",0.00558659217877095,1.03
fre000122,biancolelli-ecole-galante,fre001032,mongin-promenades-de-paris,"[""arlequin"", ""pierrot"", ""octave"", ""leandre"", ""scaramouche"", ""mezzetin""]",0.030390738060781478,486.46421814506715,"{('leandre1', 'scaramouche2'), ('scaramouche1', 'pierrot2'), ('pierrot1', 'calmar2'), ('arlequin1', 'arlequin2'), ('spinette1', 'elise2'), ('le-docteur1', 'leandre2'), ('octave1', 'mezzetin2'), ('argentine1', 'colombine2')}",0.008620689655172414,1.0484698275862068
fre000127,biancollelli-arlequin-gentilhomme,fre000128,biancollelli-foire-galante,"[""colombine"", ""pierrot"", ""arlequin"", ""ledocteur"", ""scaramouche"", ""lachanteuse""]",0.042444821731748725,546.9831508181311,"{('octave1', 'venus2'), ('arlequin1', 'arlequin2'), ('geronte1', 'une-des-graces2'), ('le-docteur1', 'marinette2'), ('pierrot1', 'pierrot2'), ('leandre1', 'le-docteur2'), ('isabelle1', 'le-choeur2'), ('leonore1', 'colombine2'), ('scaramouche1', 'les-chanteuses2'), ('colombine1', 'scaramouche2')}",0.0034602076124567475,0.9463667820069204
fre000127,biancollelli-arlequin-gentilhomme,fre000533,dufresny-regnard-chinois,"[""colombine"", ""pierrot"", ""arlequin"", ""octave"", ""mezzetin"", ""isabelle""]",0.025079799361605107,668.833117008209,"{('colombine1', 'thalie2'), ('scaramouche1', 'la-petite-fille2'), ('geronte1', 'colombine2'), ('leonore1', 'la-rhetorique2'), ('arlequin1', 'arlequin2'), ('mezzetin1', 'l-auteur2'), ('le-docteur1', 'isabelle2'), ('leandre1', 'roquillard2'), ('octave1', 'octave2'), ('isabelle1', 'pierrot2'), ('la-chanteuse1', 'le-comedien-français2'), ('pierrot1', 'apollon2')}",0.0,1.0840194489465154
fre000127,biancollelli-arlequin-gentilhomme,fre000540,dufresny-depart-des-comediens,"[""colombine"", ""pierrot"", ""arlequin"", ""leandre"", ""octave"", ""mezzetin"", ""lachanteuse""]",0.0496,593.6857757568359,"{('geronte1', 'pasquariel2'), ('isabelle1', 'le-comedien2'), ('pierrot1', 'colombine2'), ('leonore1', 'octave2'), ('le-docteur1', 'pierrot2'), ('leandre1', 'mezzetin2'), ('arlequin1', 'arlequin2'), ('octave1', 'leandre2'), ('mezzetin1', 'la-chanteuse2')}",0.003430531732418525,1.0183533447684392
fre000127,biancollelli-arlequin-gentilhomme,fre001032,mongin-promenades-de-paris,"[""colombine"", ""pierrot"", ""arlequin"", ""scaramouche"", ""leandre"", ""octave"", ""mezzetin""]",0.025443330763299923,684.0486018332567,"{('leonore1', 'leandre2'), ('geronte1', 'colombine2'), ('le-docteur1', 'pierrot2'), ('leandre1', 'mezzetin2'), ('isabelle1', 'calmar2'), ('le-crocheteur1', 'elise2'), ('scaramouche1', 'jeanneton2'), ('arlequin1', 'scaramouche2'), ('octave1', 'arlequin2'), ('pierrot1', 'octave2')}",0.006339144215530904,1.0841045958795563
fre000127,biancollelli-arlequin-gentilhomme,fre001203,regnard-arlequin-bonnes-fortunes,"[""colombine"", ""pierrot"", ""arlequin"", ""ledocteur"", ""mezzetin"", ""isabelle""]",0.019736842105263157,729.7140720269904,"{('colombine1', 'le-vicomte2'), ('geronte1', 'colombine2'), ('mezzetin1', 'isabelle2'), ('pierrot1', 'le-laqauis2'), ('arlequin1', 'brocantin2'), ('scaramouche1', 'le-docteur2'), ('le-docteur1', 'arlequin2'), ('isabelle1', 'pierrot2'), ('leandre1', 'monsieur-bassinet2')}",0.001557632398753894,1.1364797507788165
fre000127,biancollelli-arlequin-gentilhomme,fre001207,regnard-coquette,"[""colombine"", ""pierrot"", ""arlequin"", ""octave"", ""mezzetin"", ""isabelle""]",0.023635340461451885,774.5660684162924,"{('leonore1', 'seconde-bohemienne2'), ('mezzetin1', 'isabelle2'), ('arlequin1', 'colombine2'), ('leandre1', 'nigaudin2'), ('pierrot1', 'pierrot2'), ('colombine1', 'margot2'), ('le-docteur1', 'arlequin2'), ('scaramouche1', 'madame-pindaret2'), ('geronte1', 'trafiquet2'), ('isabelle1', 'le-capitaine2'), ('octave1', 'mezzetin2')}",0.0,1.1112338593974174
fre000157,boissy-dehors-trompeurs,fre000160,boissy-homme-du-jour,"[""lisette"", ""celiante"", ""lacomtesse"", ""lemarquis"", ""lebaron"", ""champagne"", ""lucile"", ""monsieurdeforlis"", ""lelaquais""]",0.7233201581027668,34.0,"{('le-marquis1', 'le-marquis2'), ('lucile1', 'lucile2'), ('le-baron1', 'le-baron2'), ('champagne1', 'champagne2'), ('lisette1', 'lisette2'), ('monsieur-de-forlis1', 'monsieur-de-forlis2'), ('la-comtesse1', 'la-comtesse2'), ('le-laquais1', 'le-laquais2'), ('celiante1', 'celiante2')}",0.9557867360208062,0.044213263979193757
