,quinault-comedie-sans-comedie,quinault-docteur-de-verre,Cost,Operation Type
0,"('#jodelet', ""La Nuit qui verse à pleines mains Ses doux pavots sur les humains, Fait sommeiller le bruit et ronfler la tristesse : Et le Soleil ce grand falot Est allé plus vite qu'au trot, Chez Thétis son hôtesse, Dormir comme un sabot La fugue est raffinée et l'accord n'est pas sot."")",,1.0,Insertion
1,"('#hauteroche', ""C'est mon valet qui chante, ah l'insolence étrange !"")",,1.0,Insertion
2,"('#jodelet', ""Je me sens en humeur de chanter comme un Ange. Tandis parmi des loups-garous Des chats-huants et des hiboux, Je fais malgré mes dents ici le pied de grue, Peste au plus bel endroit une corde est rompue, Dieu ! C'est la chanterelle hélas quelle pitié, Si mon maître survient je suis estropié ; Ce soir à sa coquette il donne sérénade. Il continue à chanter. Une corde du Théorbe se rompt."")",,1.0,Insertion
3,"('#hauteroche', 'Le maraud !')",,1.0,Insertion
4,"('#jodelet', 'Je crains fort sa première boutade. Sa tête est bien légère et son bras est fort lourd, Il est prompt comme un diable, et frappe comme un sourd.')",,1.0,Insertion
5,"('#hauteroche', 'Assommons ce faquin.')",,1.0,Insertion
6,"('#jodelet', 'Au voleur on me tue !')",,1.0,Insertion
7,"('#chevalier', ""J'entends de Jodelet la voix qui m'est connue, Quelqu'un lui fait outrage, il faut le secourir, Qui que tu sois demeure, ou t'apprête à mourir."")",,1.0,Insertion
8,"('#hauteroche', 'Épargnez vos amis, calmez votre furie.')",,1.0,Insertion
9,"('#chevalier', ""C'est toi cher Hauteroche ! Excuse je te prie. Je croyais que quelque autre outrageait ton valet."")",,1.0,Insertion
10,"('#jodelet', ""Ma foi je m'ennuyais de garder le mulet. Une corde a sauté dont j'enrage, ou je meure."")",,1.0,Insertion
11,"('#hauteroche', 'Traître !')",,1.0,Insertion
12,"('#jodelet', 'Tout beau, je vais en mettre une meilleure.')",,1.0,Insertion
13,"('#hauteroche', ""J'ai soupé chez Ariste, et je viens dans l'espoir D'oser avec un air vous donner le bonsoir."")",,1.0,Insertion
14,"('#chevalier', 'Dis à ma jeune soeur dont ton âme est touchée...')",,1.0,Insertion
15,"('#hauteroche', ""Ma passion pour vous ne fut jamais cachée. Vous savez que je brûle et que sans votre aveu, J'aurais toujours langui sans découvrir mon feu ; Mais vos bontés en vain fondent mon espérance, La Fortune entre nous met trop de différence, Votre père est fort riche et chérissant le bien Il aura du mépris pour un comédien. Je crains qu'il soit atteint de l'horreur ordinaire Que notre nom imprime en l'âme du vulgaire, Et comme de notre art il ignore le prix, Notre amour n'obtiendra de lui que du mépris."")",,1.0,Insertion
16,"('#chevalier', ""Vous savez qu'il attend deux vaisseaux en Provence Où sont avec nos biens toute notre espérance. Et que d'un coup de vent le destin irrité Peut encore entre nous mettre l'égalité ; Je suis même alarmé d'avoir cet ordinaire Manqué de recevoir des lettres de mon père : Quoi qu'il arrive enfin j'espère à son retour Lui faire par mes soins approuver ton amour. Ma soeur de son côté te sera favorable."")",,1.0,Insertion
17,"('#hauteroche', ""Vous me voulez flatter d'un mensonge agréable."")",,1.0,Insertion
18,"('#chevalier', ""Non, je sais qu'elle t'aime."")",,1.0,Insertion
19,"('#hauteroche', ""Ah c'est trop de moitié ! Je suis assez heureux si je lui fais pitié, Je sais que fort souvent La_Roque la visite, Je connais mes défauts et connais son mérite : Il en reçoit sans doute un traitement bien doux."")",,1.0,Insertion
20,"('#chevalier', ""C'est-à-dire en un mot que tu deviens jaloux : Mais à tort sur ce point ton esprit s'inquiète La_Roque aime l'aînée et non pas la cadette : Elle n'est pas d'humeur à faire un second choix, Elle aimera toujours ce qu'elle aime une fois. Plût au Ciel que le sort me fût aussi propice, Hélas !"")",,1.0,Insertion
21,"('#hauteroche', 'Vous soupirez !')",,1.0,Insertion
22,"('#chevalier', ""C'est avecque justice."")",,1.0,Insertion
23,"('#hauteroche', ""Tout succède à vos voeux, tout rit à vos désirs, J'ignore quel sujet peut causer vos soupirs."")",,1.0,Insertion
24,"('#chevalier', ""Si tu peux l'ignorer, ton erreur est extrême, Alors que l'on soupire on dit toujours qu'on aime. Je l'avoue, oui l'amour a su me surmonter."")",,1.0,Insertion
