piis-cassandre-astrologue,anseaume-tableau-parlant,Score
"('#pierrot', 'La voisine Colombine Aurait-elle du souci ? AIR : Pierrot dit à Magdeleine.')",-,0.0
"('#colombine', ""De crainte, À parler sans feinte, Pierrot, j'ai le coeur transi. Ta Maitresse À mon adresse S'en rapporta ce matin ; Loin de remettre Sa lettre , Je l'ai perdue en chemin."")",-,0.0
"('#pierrot', ""Si bien donc que le beau Léandre Manque un rendez-vous précieux ; Car, tandis que Saturne aux Cieux Fixe les yeux Du vieux Cassandre, Vénus l'attendait en ces lieux. AIR : Je ne suis plus dans l'ignorance."")",-,0.0
"('#colombine', ""Léandre ici n'en doit pas moins se rendre ; De vive-voix je l'ai sollicité : J'avais, Pierrot, comme tu peux comprendre, Lu ce billet presque décacheté. Femme en ce cas ne saurait se défendre D'un mouvement de curiosité. AIR : D'un mouvement de curiosité."")",-,0.0
"('#pierrot', ""Me voilà rassuré Sur les feux d'Isabelle ; Mais, tiens, c'est à mon gré, S'occuper assez d'elle. AIR : Babet, que t'es gentille !"")",-,0.0
"('#colombine', 'Je te vois venir, Veux-tu bien finir ? . Trêve à la bagatelle.')",-,0.0
"('#pierrot', 'Tandis que mon maître est absent, Profitons aussi du moment, Pour nous jurer conjointement Une ardeur éternelle.')",-,0.0
"('#colombine', ""Zéphir leste et complaisant Qui voles près des Belles, Souviens-toi qu'en m'épousant L'Hymen te rogne à présent Les ailes. AIR : Jardinier, ne vois-tu pas ?"")",-,0.0
"('#colombine #pierrot', ""Oh ! Vous, oiseaux fidèles, Qui sans aucun détour Roucoulez nuit et jour, Vigilants sentinelles, Au bord des toits de ce séjour ; Petites Tourterelles, On vous prenait jusqu'à ce jour Pour le symbole de l'Amour ; Vous nous verrez : à votre tour Vous aurez des modèles. AIR : Tandis que tout sommeille ; (de l'AmantJaloux)"")",-,0.0
"('#leandre', ""Est-ce ici chez Monsieur Cassandre ? C'est vous ? Moments délicieux ! AIR : C'est ici que Rose respire. Il embrasse Colombine qu'il prend pour Isabelle."")",-,0.0
"('#pierrot', 'Quel transport !')",-,0.0
"('#leandre', ""J'ai pu me méprendre ; Que fait Colombine en ces lieux ?"")",-,0.0
"('#pierrot', 'Sans rabattre')",-,0.0
"('#colombine', 'Sans rabattre')",-,0.0
"('#colombine #pierrot', ""Rien de nos feux, Nous serons quatre Au lieu d'être deux. bis."")",-,0.0
"('#leandre', ""Jusques à quand la Beauté que j'adore Tardera-t-elle à se montrer ici ? AIR : Dans nos hameaux."")",-,0.0
"('#pierrot', ""À sa parure elle s'occupe encore, Et va bientôt bannir votre souci."")",-,0.0
"('#leandre', ""Quand verrons-nous une amante inquiète, Comme l'Amant qui lui fait les yeux doux, Voler le temps qu'on perd à la toilette, Pour allonger celui du rendez-vous ? Dis à mon Isabelle  Que je prétends la voir ;  L'ornement d'une Belle, Est de n'en point avoir. Quand on a sa figure, A-t-on besoin de fard ? C'est tricher la Nature Que d'emprunter à l'art. AIR : Dans ma cabane obscure."")",-,0.0
"('#colombine', ""De ce délai qui cause vos alarmes, Devriez-vous, Monsieur, être étonné ? Contre vous tous nous employons nos charmes, Comme un poltron au combat entraîné ; Si fort qu'il soit dans le métier des armes,  Il est plus sûr quand il est plastronné. AIR : Oh ! Mahomet, ton Paradis des femmes."")",-,0.0
"('#leandre', ""Isabelle. AIR : D'Isabelle et Gertrude."")",-,0.0
"('#isabelle', ""Qui m'appelle ?..."")",-,0.0
"('#leandre', ""Quand le fer, cherche l'aimant, L'aimant semble également Courir afin de l'atteindre ; . Vous deviez donc, pour me joindre, Vous donner obligeamment Un peu plus de mouvement. AIR : Ah ! vous dirai-je, maman ?"")",-,0.0
"('#isabelle', ""Sans un petit brin d'atour, Fut-elle belle comme le jour, Sans un petit brin d'atour ? Donne-t-on de l'amour ? AIR : Sans un petit brin d'amour."")",-,0.0
"('#colombine', ""Reconnaissez dans sa simple coiffure  Celle d'un Dieu toujours enfant."")",-,0.0
"('#pierrot', ""Voyez plus bas flotter cette ceinture, C'est de Vénus un ornement."")",-,0.0
"('#isabelle #colombine #pierrot', ""Sans un petit brin d'atour, Fût-on , etc."")",-,0.0
"('#leandre', ""À Cassandre, entre nous, Par-là vous pouvez plaire ; Aussi, j'en suis jaloux , Quand je vous considère. Je crains que ce vieux drille, Pour être votre époux , Oubliant sa béquille, Ne vole à vos genoux. AIR : La béquille du p7re Barnaba."")",-,0.0
"('#isabelle', ""Vraiment il a conçu Cet espoir téméraire, Mais il n'a jamais su Trouver le temps de faire L'amour, La nuit ni le jour. AIR : L'Amour, la nuit et le jour."")",-,0.0
"('#pierrot', ""Hélas ! Sans cesse il monte Dans son maudit donjon ;  Des étoiles qu'il compte, Il me dit chaque nom ; Mais, quand par la fenêtre : Mon oeil veut voyager, Je ne puis reconnaître  Que celle du Berger. AIR : Charmante Pastourelle."")",-,0.0
"('#colombine', ""C'est avec, ces lunettes  Qu'il prétend l'enseigner ?  Second Couplet."")",-,0.0
"('#leandre', 'Eh ! Quoi, sont-elles faites Exprès pour éloigner ? Tourne-les donc, méchante, Ou je vais me fâcher ; Quand le spectacle enchante, On doit le rapprocher.')",-,0.0
"('#isabelle', ""Le matin il s'attache, Aussitôt son réveil, à trouver quelque tache Sur le front du Soleil. Troisième Couplet."")",-,0.0
"('#leandre', ""S'il dirigeait son verre Sur vos divins appas, Je gagerais, ma Chère, Qu'il n'en trouverait pas."")",-,0.0
"('#pierrot', ""Quand à travers ses télescopes Il a regardé bien longtemps ; Pour tirer plusieurs horoscopes, Il met à profit les instants. Il en a même de sa plume, Écrit un énorme volume, Que ce réduit mystérieux Dérobe à tous les curieux. AIR : De l'Horoscope accompli."")",-,0.0
"('#leandre', 'Il ne revient que demain, Forçons la serrure. AIR : La bonne aventure au gué.')",-,0.0
"('#pierrot', ""J'ai fait en un tour de main Sauter la ferrure."")",-,0.0
"('#leandre', 'Trouves-tu ces papiers ?')",-,0.0
"('#pierrot', 'Oui.')",-,0.0
"('#leandre', ""Cherche avant celle d'autrui, Sa bonne aventure À lui, Sa bonne aventure."")",-,0.0
"('#pierrot', ""Le début en est curieux , Et c'est pure sornette ; Nous naissons, dit-il, deux à deux, Sous la même planète. AIR : Lise demande son portrait."")",-,0.0
"('#leandre', 'Contre ce système attrayant Ne fais pas de sortie ; Car nous devons, en les voyant, Croire à la sympathie.')",-,0.0
"('#colombine', ""Je vois en tête du tableau, Certain homme d'affaire ; Et sous le même numéro, La danseuse Glycère. À son étoile il est lié, Tellement pour la vie, Qu'un jour il lèvera le pied, Le tout par sympathie. Par ordre, on a placé sous lui Un Gascon parasite, Dont l'Astre est soumis à celui Du richard qui l'invite. À la diète, quand ce dernier Est mis pour maladie, Le Gascon jeûne en son grenier, Le tout par sympathie. Même air. Même air."")",-,0.0
"('#pierrot', 'Par son nom chacun est placé » Si je puis bien comprendre AIR : De Joconde.')",-,0.0
"('#leandre', ""Cherche donc à la lettre C L'article de Cassandre."")",-,0.0
"('#pierrot', ""Dans mon petit particulier, Permettez-moi de rire, D'un horoscope singulier, Que je m'en vais vous dire. C'est celui d'un célèbre auteur De l'Opéra-Comique , Qui doublé d'un compositeur, Fameux par sa musique, Ne craint jamais de succomber, Quand ce dernier sait plaire ; Mais qui s'il venait à tomber, Serait bientôt par terre. AIR : Du pas redoublé de l'Infanterie."")",-,0.0
"('#leandre', ""Encore un coup laisseras-tu, traître, Tous ces inconnus mis deux à deux ? Passe à l'horoscope de ton maître. AIR : Chantons les matines de Cythère."")",-,0.0
"('#pierrot', 'Ma foi, je le tiens.')",-,0.0
"('#leandre', 'Lis donc, si tu le peux.')",-,0.0
"('#pierrot', ""Depuis longtemps je me suis aperçu Que mon destin tient au sort d'un bossu ; Lequel d'un oeil aussi ne voyant pas, À chaque instant par le moindre faux-pas, Peut avec lui m'entraîner au trépas. Quand ce Bossu regorge de santé, Je deviens gras aussi de mon côté ; Si je maigris, c'est qu'il perd l'embonpoint ; Et quoiqu'ainsi je le suive en tout point, Pour mon malheur je ne le connais point. HOROSCOPE DE MONSIEUR CASSANDRE, Tiré par lui-même. AIR : Des Bossus."")",-,0.0
"('#leandre', ""Puisqu'il croit que ses années, Par l'effet D'un pouvoir secret, Dépendent des destinées D'un inconnu Borgne et bossu, Reprenons tous deux courage , On peut tromper le barbon ; Et, non, non, non, Je n'en dis pas davantage. AIR : Non, non, je n'en dis pas davantage."")",-,0.0
"('#isabelle', ""Mais, qu'est-ce qu'on entend ? AIR : Je suis un bon Soldat, ti, ta, ta."")",-,0.0
"('#cassandre', 'Pata pan.')",-,0.0
"('#leandre', 'Le Diable les emporte.')",-,0.0
"('#colombine', 'On frappe insolemment !')",-,0.0
"('#cassandre', 'Pata pan ! ')",-,0.0
"('#pierrot', ""Je m'en vais à la porte."")",-,0.0
