moissy-gourmandes,moissy-poupee,Score
-,"('#minette', 'Oui, Maman.')",0.0
-,"('#la-mere', ""Que vous soyez assez raisonnable pour penser qu'elle tient ma place auprès de vous, parce que je ne puis pas y être toujours."")",0.0
-,"('#minette', 'Oui, Maman.')",0.0
-,"('#la-mere', ""Et qu'enfin, lui déplaire, c'est déplaire à moi-même."")",0.0
-,"('#minette', 'Oui, Maman.')",0.0
-,"('#la-mere', ""Allons, la Bonne, rendez-lui sa poupée pour cette fois-ci. Et vous , Mademoiselle, songez à ce que vous me promettez, et à me tenir parole. À l'enfant. "")",0.0
-,"('#minette', 'Oui, Maman.')",0.0
-,"('#la-bonne', 'Tenez, Mademoiselle, la voilà ; vous êtes bienheureuse que votre Maman...')",0.0
-,"('#minette', ""Oui, ma Bonne... Ah !  La voilà.  Je savais bien moi que je l'aurais, mais j'ai eu bien de la peine...  Allez ma bonne, soyez tranquille, je ne lui parlerai plus jamais de vous du tout, du tout.  Oh !  Je vois bien que sans Maman...  Mais le Proverbe a raison qui dit que... En tenant la Poupée. "")",0.0
"('#caroline', 'Ma soeur, Fanchette ne revient point pour nous donner à gouter, et il est six heures.')","('#caroline', 'Ma soeur, Fanchette ne revient point pour nous donner à gouter, et il est six heures.')",1.000000238418579
"('#josephine', ""Dame, mon Papa l'a envoyée en commission bien loin, bien loin ; il est dans la boutique ; veux-tu que je lui demande à gouter ?"")","('#josephine', ""Dame, mon Papa l'a envoyée en commission bien loin, bien loin ; il est dans la boutique ; veux-tu que je lui demande à gouter ?"")",1.000000238418579
"('#caroline', 'Bon, il nous donnera du pain sec ; il y a dans le buffet un bon morceau de tourte de frangipane.')","('#caroline', 'Bon, il nous donnera du pain sec ; il y a dans le buffet un bon morceau de tourte de frangipane.')",0.9999997615814209
"('#josephine', 'Et puis un reste de pot de confitures.')","('#josephine', 'Et puis un reste de pot de confitures.')",1.0
"('#caroline', 'Mon Papa est occupé dans la boutique avec des Marchands. Tiens, vois-tu, ma Soeur, mangeons-en un peu sans que cela paroisse. Elle ouvre le buffet. ')","('#caroline', 'Mon Papa est occupé dans la boutique avec des Marchands. Tiens, vois-tu, ma Soeur, mangeons-en un peu sans que cela paroisse. Elle ouvre le buffet. ')",0.9999998807907104
"('#josephine', 'Allons voyons, as-tu un couteau?')","('#josephine', 'Allons voyons, as-tu un couteau?')",1.0000001192092896
"('#caroline', ""Oui, tiens, coupons d'abord de la tourte. Tiens, voilà pour toi, et puis voilà pour moi, vois ; il n'y paraît presque pas. Elle coupe de la tourte. "")","('#caroline', ""Oui, tiens, coupons d'abord de la tourte. Tiens, voilà pour toi, et puis voilà pour moi, vois ; il n'y paraît presque pas. Elle coupe de la tourte. "")",0.9999997615814209
"('#josephine', ""Non, mais je n'en ai guère, prêtes-moi ton couteau. Tiens, je m'en vais prendre encore ce petit coin-là. Elle coupe."")","('#josephine', ""Non, mais je n'en ai guère, prêtes-moi ton couteau. Tiens, je m'en vais prendre encore ce petit coin-là. Elle coupe."")",1.0
"('#caroline', ""Et moi donc, donnes m'en par-là."")","('#caroline', ""Et moi donc, donnes m'en par-là."")",0.9999997615814209
"('#josephine', ""Oui, mais la tourte s'en va."")","('#josephine', ""Oui, mais la tourte s'en va."")",1.0
"('#caroline', ""Oh dame ! C'est si bon : donnes-moi encore ça, tiens, plus que ça : ah !  Voilà le morceau tout cassé, comment allons-nous faire ?"")","('#caroline', ""Oh dame ! C'est si bon : donnes-moi encore ça, tiens, plus que ça : ah !  Voilà le morceau tout cassé, comment allons-nous faire ?"")",1.0
"('#josephine', ""Eh bien !  Mangeons tout, nous laisserons le buffet ouvert, et nous dirons que c'est le chat qui l'a mangé."")","('#josephine', ""Eh bien !  Mangeons tout, nous laisserons le buffet ouvert, et nous dirons que c'est le chat qui l'a mangé."")",0.9999996423721313
"('#caroline', 'Tu as raison, cela vaudra mieux que de laisser ce petit morceau tout rompu, tiens. Elles partagent le reste de la tourte.')","('#caroline', 'Tu as raison, cela vaudra mieux que de laisser ce petit morceau tout rompu, tiens. Elles partagent le reste de la tourte.')",0.9999997615814209
"('#josephine', ""Ah !  Que c'est bon de la tourte de frangipane ; quand je ferai grande et que j'aurai de l'argent, j'en veux manger à tous mes repas."")","('#josephine', ""Ah !  Que c'est bon de la tourte de frangipane ; quand je ferai grande et que j'aurai de l'argent, j'en veux manger à tous mes repas."")",1.0000001192092896
"('#caroline', 'La voilà partie tout-à-fait.')","('#caroline', 'La voilà partie tout-à-fait.')",1.0
"('#josephine', 'Et la mienne aussi : et des confitures, en veux-tu ?')","('#josephine', 'Et la mienne aussi : et des confitures, en veux-tu ?')",1.0
"('#caroline', ""Oui, un peu, mais n'en faisons pas comme de la tourte ; ne mangeons pas tout : tiens, voilà une petite cuillère pour toi et une pour moi, prenons dans le pot chacune à notre tour."")","('#caroline', ""Oui, un peu, mais n'en faisons pas comme de la tourte ; ne mangeons pas tout : tiens, voilà une petite cuillère pour toi et une pour moi, prenons dans le pot chacune à notre tour."")",0.9999998211860657
"('#josephine', 'Oui, prends.  Caroline prend, et elles continuent ainsi chacune à leur tour.  À moi, à toi, à moi, à toi, à moi : oh !  Voilà déjà le fond du pot que je vois.')","('#josephine', 'Oui, prends.  Caroline prend, et elles continuent ainsi chacune à leur tour.  À moi, à toi, à moi, à toi, à moi : oh !  Voilà déjà le fond du pot que je vois.')",0.9999998211860657
"('#caroline', ""Ma soeur, voilà mon frère qui revient de l'école, caches donc vite tout cela, et fermons le buffet ; dépêche-toi donc, dépêche-toi donc.  Joséphine ferme le buffet."")","('#caroline', ""Ma soeur, voilà mon frère qui revient de l'école, caches donc vite tout cela, et fermons le buffet ; dépêche-toi donc, dépêche-toi donc.  Joséphine ferme le buffet."")",1.0
"('#le-petit-dulac', 'Mes soeurs, où est donc Fanchette ?  Avez-vous gouté ?')","('#le-petit-dulac', 'Mes soeurs, où est donc Fanchette ?  Avez-vous gouté ?')",1.000000238418579
"('#caroline', ""Non, nous l'attendons, elle est allée en commission, elle va revenir."")","('#caroline', ""Non, nous l'attendons, elle est allée en commission, elle va revenir."")",0.9999998807907104
"('#dulac', ""Oh !  Moi, j'ai faim, je m'en vais prendre à gouter dans le buffet."")","('#dulac', ""Oh !  Moi, j'ai faim, je m'en vais prendre à gouter dans le buffet."")",0.9999998807907104
"('#caroline', ""Mon frère, n'ouvrez pas le buffet, vous savez bien que mon Papa ne veut pas que nous prenions à goûter nous-mêmes."")","('#caroline', ""Mon frère, n'ouvrez pas le buffet, vous savez bien que mon Papa ne veut pas que nous prenions à gouter nous-mêmes."")",0.9794992208480835
"('#dulac', ""Mais moi, j'ai faim, et je ne veux prendre que du pain."")","('#dulac', ""Mais moi, j'ai faim, et je ne veux prendre que du pain."")",1.0
"('#josephine', ""Oh !  Tu n'ouvriras pas le buffet ; Fanchette va revenir , attends un moment, nous attendons bien nous."")","('#josephine', ""Oh !  Tu n'ouvriras pas le buffet ; Fanchette va revenir , attends un moment, nous attendons bien nous."")",1.0000001192092896
"('#monsieur-dulac', ""Dulac, qu'est-ce que vous faites là dedans ?"")","('#monsieur-dulac', ""Dulac, qu'est-ce que vous faites là dedans ?"")",1.0
"('#dulac', 'Rien, mon Papa.  Il sort et va dans la boutique.')","('#dulac', 'Rien, mon Papa.  Il sort et va dans la boutique.')",0.9999996423721313
"('#josephine', ""Bon, le voilà occupé dans la boutique, achevons le pot de confitures, c'est à moi à prendre. Elle s'ouvre le buffet."")","('#josephine', ""Bon, le voilà occupé dans la boutique, achevons le pot de confitures, c'est à moi à prendre. Elle s'ouvre le buffet."")",1.0
"('#caroline', ""Non, c'est à moi."")","('#caroline', ""Non, c'est à moi."")",0.9999998807907104
"('#josephine', ""Mademoiselle, c'est à moi.  Elles prennent toutes les deux ensemble dans le pot."")","('#josephine', ""Mademoiselle, c'est à moi.  Elles prennent toutes les deux ensemble dans le pot."")",1.0000001192092896
"('#caroline', ""Voyez-vous ce que vous faites, Mademoiselle, il n'y a plus rien à présent ; c'est pourtant vous qui êtes si gourmande..."")","('#caroline', ""Voyez-vous ce que vous faites, Mademoiselle, il n'y a plus rien à présent ; c'est pourtant vous qui êtes si gourmande..."")",1.0000001192092896
"('#josephine', ""Ah !  C'est bien vous même : comment allons-nous faire maintenant ?  Et quand on s'apercevra qu'il n'y a plus ni tourte, ni confitures..."")","('#josephine', ""Ah !  C'est bien vous même : comment allons-nous faire maintenant ?  Et quand on s'apercevra qu'il n'y a plus ni tourte, ni confitures..."")",1.000000238418579
"('#caroline', ""Sais-tu ce qu'il faut faire ?  Voilà le chat qui dort, enfermons-le dans le buffet, cassons le pot de confitures avant, et on croira que c'est le chat qui a tout mangé et tout cassé. Elle casse le pot de confitures."")","('#caroline', ""Sais-tu ce qu'il faut faire ?  Voilà le chat qui dort, enfermons-le dans le buffet, cassons le pot de confitures avant, et on croira que c'est le chat qui a tout mangé et tout cassé. Elle casse le pot de confitures."")",1.0000001192092896
"('#josephine', ""C'est bon, c'est bon, tiens le voilà, prends garde qu'il ne s'en aille."")","('#josephine', ""C'est bon, c'est bon, tiens le voilà, prends garde qu'il ne s'en aille."")",1.0000001192092896
"('#caroline', 'Ah que non ; donne, tiens. Voilà le buffet bien fermé, vas, nous sommes des bonnes. Elle met le chat dans le buffet.')","('#caroline', 'Ah que non ; donne, tiens. Voilà le buffet bien fermé, vas, nous sommes des bonnes. Elle met le chat dans le buffet.')",1.0
"('#dulac', 'Ma Mie, nous vous attendons, pour nous donner à gouter.')","('#dulac', 'Ma Mie, nous vous attendons, pour nous donner à gouter.')",1.000000238418579
"('#fanchette', 'Vous ne pouviez pas en prendre ?')","('#fanchette', 'Vous ne pouviez pas en prendre ?')",1.0
"('#dulac', ""Dame, mes soeurs n'ont pas voulu."")","('#dulac', ""Dame, mes soeurs n'ont pas voulu."")",1.0000001192092896
