Nom,check_rule_1_play,check_rule_2_play,check_rule_4_play,check_rule_5_play
"Argélie, Reine de Thessalie",,40.0,5,"(0.625, 1.2)"
Coriolan,11.11111111111111,60.0,1,"(0.2857142857142857, 0.6)"
Lyncée,,,4,"(0.2857142857142857, 0.4)"
Risette ou Les Millions de la Mansarde,,,0,"(0.4, 2.0)"
L'Homme qui ne Peut pas Siffler,,,0,
L'Avare Amoureux,4.761904761904762,,0,"(0.875, 7.0)"
Pan et Doris Pastorale,,,0,"(0.3333333333333333, 3.0)"
Polixène,15.789473684210526,20.0,3,"(0.5714285714285714, 1.2)"
Les Trois Spectacles Prologue,,,0,
L'Epreuve Réciproque,5.882352941176471,,0,"(1.0, 6.0)"
L'Ecole des Bourgeois,,33.333333333333336,4,"(0.5384615384615384, 4.666666666666667)"
L'Hiver,7.142857142857143,,0,"(0.3, 3.0)"
Le Pauvre Bougre et le Bon Génie,11.11111111111111,,0,"(0.5, 2.0)"
Un Mécontent,,,0,
Les Papilllotes,,,0,"(0.4117647058823529, 7.0)"
Une Séduction,,50.0,0,"(1.0, 6.0)"
"Anaximandre, Comédie.",9.090909090909092,,0,"(0.6, 3.0)"
Molière et ses Amis ou La Soirée d'Auteuil,,,0,"(1.0, 9.0)"
Dialogue de la Prude et de la Coquette,,,0,
Adam,33.333333333333336,,0,"(0.16666666666666666, 3.0)"
Les Aventures de Ninette,,,0,
Les Bonnes Gens,,,0,"(0.3333333333333333, 2.0)"
Fragment d'une Comédie Intitulée Chapelain Décoiffé [2],,,0,
Fragment d'une Comédie Intitulée Chapelain Décoiffé.,,,0,"(0.3333333333333333, 1.0)"
Le Club des Dames ou Le Retour de Descartes,,,0,"(0.45454545454545453, 5.0)"
Dialogue d'Alcippe et de Dionice,,,0,
La Déroute des Précieuses,100.0,,0,
Dialogue des Yeux et de la Bouche,,,0,
Dialogue entre Voltaire et Rousseau,,,0,
Le Jeu d'Esmorée,33.333333333333336,,10,"(0.875, 3.0)"
Le Jus du Pelerin,,,0,
La Matinée du Comédien Français,,,0,"(0.4, 2.0)"
Farce Nouvelle Tres Bonne et Fort Joyeuse à Trois Personnages d'un Pardonneur d'un Triacleur et d'une Tavernière,,,0,
Farce Nouvelle Fort Joyeuse du Pont aux Anes,,,0,"(0.25, 1.0)"
Le Portier du Parnasse,9.090909090909092,,0,"(0.4166666666666667, 5.0)"
Le Prix d'un Moment,,,0,
La Réception de Monseigneur le Vicomte d'Argenson,100.0,,0,"(0.07692307692307693, 1.0)"
La Résurrection du Sauveur,20.0,,0,
Farce Nouvelle Très Bonne et Fort Joyeuse de la Resurrection de Jenin Landore,,,0,
Les Sauvages ou Le Roi Bienfaisant.,9.090909090909092,33.333333333333336,1,"(0.16666666666666666, 1.6666666666666667)"
Le Sérail de de Lys,,,0,
Sermon Joyeux de Bien Boire,,,0,
Vende,100.0,,6,
Les Vierges Sages et les Vierges Folles,,,0,
Oh ! Voilà Bien le Diable !,40.0,,0,"(0.2222222222222222, 2.0)"
Zélamire,,,2,"(0.5, 2.0)"
Cendrillon,7.6923076923076925,,0,"(0.46153846153846156, 6.0)"
Le Chinois Poli en France,,,0,"(0.5, 3.0)"
La Ressource Comique,6.666666666666667,,0,"(0.5714285714285714, 4.0)"
La Tableau Parlant,9.090909090909092,,0,"(0.8333333333333334, 5.0)"
Mademoiselle Lange,5.882352941176471,,0,"(0.625, 5.0)"
Ca n'en Est pas ou Tout ce qui Reluit n'est pas or,18.181818181818183,,0,"(0.6363636363636364, 7.0)"
La Comédie à l'Impromptu,,,0,"(0.6666666666666666, 6.0)"
"Les Etrennes de l'Amitié, de l'Amour et de la Nature",,,0,"(0.5, 5.0)"
Hurlubrelu,22.22222222222222,,0,"(0.2857142857142857, 4.0)"
Janot,14.285714285714286,,0,"(0.6, 6.0)"
Janot chez le Dégraisseur,6.25,,0,"(0.5555555555555556, 5.0)"
Jocrisse Changé de Condition,3.225806451612903,50.0,7,"(0.7142857142857143, 4.5)"
"On Fait ce qu'on Peut, Non pas ce qu'on Veut",,,0,"(0.18181818181818182, 2.0)"
Mon Ami Naze,,,0,
Les Guêpes,18.181818181818183,,0,"(0.625, 5.0)"
Le Cri de la Nature,7.6923076923076925,,0,"(0.75, 6.0)"
Horatius Coclès.,,,0,"(0.2857142857142857, 4.0)"
L'Héroïne Américaine,100.0,,5,
Le Centenaire de Molière,4.166666666666667,,0,"(0.3333333333333333, 6.0)"
La Pucelle d'Orléans,11.11111111111111,20.0,3,"(0.4, 1.8)"
L'Ecole Tragique ou Cadet Roussel Maitre de Déclamation,,,0,"(0.8125, 13.0)"
Albert Durer,,,0,"(0.5714285714285714, 4.0)"
La Comédie au Chateau,,,0,"(0.2, 2.0)"
