Nom,check_rule_1_play,check_rule_2_play,check_rule_4_play,check_rule_5_play
"DIDON SE SACRIFIANT, TRAGÉDIE.",,80.0,0,
Didon se sacrifiant,33.333333333333336,40.0,2,
La Mort d'Achille,35.294117647058826,60.0,5,"(0.4166666666666667, 1.2)"
"La Mort de Brute et de Porcie, ou La vengeance de la mort de César. Tragédie",45.833333333333336,20.0,2,"(0.4166666666666667, 2.4)"
"MARIANE, TRAGÉDIE",25.0,50.0,4,"(0.25, 1.0)"
"LA MORT DES ENFANTS D'HÉRODE OU SUITE DE MARIANE , TRAGÉDIE.",37.5,40.0,4,"(0.5, 1.2)"
"RODOGUNE, TRAGÉDIE",4.761904761904762,40.0,3,"(0.2857142857142857, 0.4)"
La Porcie romaine. Tragédie,5.2631578947368425,40.0,2,"(0.2222222222222222, 0.4)"
"BRADAMANTE, TRAGI-COMÉDIE",63.1578947368421,20.0,5,"(0.4117647058823529, 2.6)"
"MÉLITE, COMÉDIE",26.666666666666668,,5,"(0.8888888888888888, 2.6)"
Félismène,,40.0,2,"(0.06666666666666667, 0.2)"
La Belle Egyptienne,61.53846153846154,,3,"(0.35, 1.8)"
La Célimène,16.129032258064516,40.0,6,"(0.7, 2.2)"
"LA COMÉDIE DES COMÉDIENS, COMÉDIE",66.66666666666667,33.333333333333336,4,"(0.3125, 1.6666666666666667)"
La Diane,31.57894736842105,,5,"(0.6428571428571429, 2.4)"
"LA BRADAMANTE, TRAGI-COMÉDIE.",35.0,60.0,4,"(0.5454545454545454, 2.8)"
La Belle Égyptienne. Tragi-comédie,10.714285714285714,20.0,6,"(0.5833333333333334, 2.0)"
"RODOGUNE, TRAGI-COMÉDIE.",6.25,60.0,3,"(0.2, 0.2)"
Clorinde,8.695652173913043,60.0,3,"(0.75, 1.8)"
Le Fils supposé. Comédie,53.57142857142857,40.0,3,"(1.0, 2.8)"
"L'ILLUSION COMIQUE, COMÉDIE",22.857142857142858,40.0,9,"(0.75, 2.8)"
