Full author name,Wikidata_ID
Gaspard Abeille,Q1338057
Edmond About,Q361004
Eugène Adenis,Q52155506
Jules Adenis,Q531726
Jean Aicard,Q726967
Étienne Aignan,Q2355014
Jean Dumas D'Aigueberre,Q28933420
Léonor Jean Soulas D'Allainval,Q3271726
Alphonse Allais,Q371905
Jacques-Arsène-François-Polycarpe Ancelot,Q1677861
Jacques Arago,Q117913
François Andrieux,Q970585
Achille Jubinal,Q340222
Louis Anseaume,Q1094120
Louis-François Archambault,Q3037277
Dorvigny,Q3037277
Paul Arène,Q2633356
Aristophane,Q43353
Armand,Q2861745
Antoine Vincent Arnault,Q585558
Jean-François Arnould,Q23253801
Abbé D' Aubignac,Q714015
Isaac De Benserade,Q982037
Hippolyte-Jules Pilet De La Mesnardière,Q3136006
Joseph Aude,Q3184541
Louis-Dominique-Laurent Audiffret,Q130234069
Nicolas-Médard Audinot,Q3339992
François D'Aure,Q23419234
François-Thomas-Marie De Baculard D'Arnaud,Q548610
Honoré De Balzac,Q9711
Théodore De Banville,Q312630
Philoxène Boyer,Q2088334
Paul Siraudin,Q3372207
Marie-Anne Barbier,Q464431
Balthasar Baro,Q2881598
Pierre-Yves Barré,Q3180772
Jean-Baptiste-Denis Desprès,Q15556300
Augustin De Piis,Q3382839
Louis-Pierre-Pantaléon Resnier,Q3260829
Jean-Baptiste Radet,Q3164390
Desfontaines-Lavallée,Q3024383
Théodore Barrière,Q1974901
Léo Delibes,Q207951
Nicolas-Thomas Barthe,Q3340819
René Bary,Q3425806
Henri De Bornier,Q2340976
Pierre-Augustin Caron De Beaumarchais,Q70326
Alexandre-Louis-Bertrand De Beaunoir,Q2893251
Henry Becque,Q1153820
Fernand Beissier,Q16741996
Catherine Bernard,Q532297
Charles De Bernard,Q2349298
Tristan Bernard,Q379949
Claude Terrasse,Q1097179
Arnaud Berquin,Q350566
Auguste-Louis Bertin D'Antilly,Q4821034
Bertol-Graivil,Q15896880
René Berton,Q17425768
Charles De Beys,Q2958547
Théodore De Bèze,Q314981
Pierre-François Biancolelli,Q737646
Luigi Riccoboni,Q3266530
