Dracor_ID,Wikidata_ID
fre000001,Q1338057
fre000002,Q1338057
fre000003,Q1338057
fre000004,Q52155506
fre000005,Q28933420
fre000006,Q28933420
fre000007,Q28933420
fre000008,Q28933420
fre000009,
fre000010,Q3271726
fre000011,Q3271726
fre000012,Q371905
fre000013,Q371905
fre000014,Q1677861
fre000015,Q970585
fre000016,Q970585
fre000017,
fre000018,
fre000019,
fre000020,
fre000021,
fre000022,
fre000023,
fre000024,
fre000025,
fre000026,
fre000027,
fre000028,
fre000029,
fre000030,
fre000031,
fre000032,
fre000033,
fre000034,
fre000035,
fre000036,
fre000037,
fre000038,
fre000039,
fre000040,
fre000041,
fre000042,Q1094120
fre000043,Q1094120
fre000044,Q1094120
fre000045,Q3037277
fre000046,Q3037277
fre000047,Q3037277
fre000048,Q3037277
fre000049,Q3037277
fre000050,Q3037277
fre000051,Q3037277
fre000052,Q3037277
fre000053,Q2633356
fre000054,Q43353
fre000055,Q2861745
fre000056,Q585558
fre000057,Q23253801
fre000058,
fre000059,Q714015
fre000060,Q714015
fre000061,Q3184541
fre000062,Q130234069
fre000063,Q130234069
fre000064,Q130234069
fre000065,Q3339992
fre000066,Q3339992
fre000067,Q23419234
fre000068,Q23419234
fre000069,Q23419234
fre000070,Q548610
fre000071,Q312630
fre000072,
fre000073,
fre000074,
fre000075,
fre000076,Q464431
fre000077,Q464431
fre000078,
fre000079,Q2881598
fre000080,Q2881598
fre000081,Q2881598
fre000082,Q2881598
fre000083,Q2881598
fre000084,Q2881598
fre000085,
fre000086,Q3180772
fre000087,Q3180772
fre000088,Q2340976
fre000089,Q70326
fre000090,Q70326
fre000091,Q2893251
fre000092,Q2893251
fre000093,Q2893251
fre000094,Q2893251
fre000095,Q2893251
fre000096,Q2893251
fre000097,Q1153820
fre000098,Q1153820
fre000099,Q1153820
fre000100,Q1153820
fre000101,Q982037
fre000102,Q982037
fre000103,Q982037
fre000104,Q2349298
fre000105,Q379949
fre000106,Q379949
fre000107,Q379949
fre000108,Q379949
fre000109,Q379949
fre000110,Q379949
fre000111,Q379949
fre000112,Q379949
fre000113,Q379949
fre000114,Q379949
fre000115,Q532297
fre000116,Q532297
fre000117,Q15896880
fre000118,Q17425768
fre000119,Q2958547
fre000120,Q314981
fre000121,Q737646
fre000122,Q737646
fre000123,Q737646
fre000124,Q737646
fre000125,Q737646
fre000126,Q737646
fre000127,Q737646
fre000128,Q737646
fre000129,Q737646
fre000130,
fre000131,Q974287
fre000132,Q974287
fre000133,Q15969802
fre000134,Q3047682
fre000135,Q3047682
fre000136,
fre000137,
fre000138,
fre000139,
fre000140,
fre000141,Q274936
fre000142,Q274936
fre000143,Q274936
fre000144,Q274936
fre000145,Q21521854
fre000146,Q21521854
fre000147,Q188857
fre000148,Q560292
fre000149,Q560292
fre000150,Q560292
fre000151,Q560292
fre000152,Q364931
fre000153,Q364931
fre000154,Q364931
fre000155,Q364931
fre000156,Q364931
fre000157,Q364931
fre000158,Q364931
fre000159,Q364931
fre000160,Q364931
fre000161,Q364931
fre000162,Q364931
fre000163,Q364931
fre000164,Q364931
fre000165,Q364931
fre000166,Q95248204
fre000167,Q3370688
fre000168,Q3370688
fre000169,Q2340976
fre000170,Q2340976
fre000171,
fre000172,
fre000173,Q3047696
fre000174,Q3047696
fre000175,Q3047696
fre000176,Q3047696
fre000177,Q3047696
fre000178,Q3047696
fre000179,Q3047696
fre000180,Q3047696
fre000181,Q3047696
fre000182,Q3047696
fre000183,Q3047696
fre000184,Q3047696
fre000185,Q2821489
fre000186,Q2977083
fre000187,Q2977083
fre000188,Q2977083
fre000189,Q2977083
fre000190,Q2977083
fre000191,Q2977083
fre000192,Q2977083
fre000193,Q2977083
fre000194,Q2977083
fre000195,Q2977083
fre000196,Q2977083
fre000197,Q2977083
fre000198,Q2977083
fre000199,Q2977083
fre000200,Q965374
fre000201,Q2871684
fre000202,Q2871684
fre000203,
fre000204,
fre000205,Q3017432
fre000206,
fre000207,
fre000208,Q325083
fre000209,
fre000210,Q2847019
fre000211,Q445087
fre000212,Q445087
fre000213,
fre000214,
fre000215,
fre000216,
fre000217,
fre000218,
fre000219,
fre000220,
fre000221,
fre000222,
fre000223,
fre000224,
fre000225,
fre000226,
fre000227,Q982053
fre000228,Q982053
fre000229,Q982053
fre000230,Q982053
fre000231,Q982053
fre000232,Q982053
fre000233,Q982053
fre000234,Q982053
fre000235,Q982053
fre000236,Q982053
fre000237,Q982053
fre000238,Q982053
fre000239,Q982053
fre000240,Q982053
fre000241,Q982053
fre000242,Q982053
fre000243,Q982053
fre000244,Q982053
fre000245,Q982053
fre000246,Q982053
fre000247,Q982053
fre000248,Q982053
fre000249,Q982053
fre000250,Q982053
fre000251,Q982053
fre000252,Q982053
fre000253,Q982053
fre000254,Q982053
fre000255,Q982053
fre000256,Q982053
fre000257,Q982053
fre000258,Q982053
fre000259,Q982053
fre000260,Q982053
fre000261,Q982053
fre000262,Q982053
fre000263,Q982053
fre000264,Q982053
fre000265,Q982053
fre000266,Q982053
fre000267,Q982053
fre000268,Q982053
fre000269,Q982053
fre000270,Q982053
fre000271,Q982053
fre000272,Q982053
fre000273,Q982053
fre000274,Q982053
fre000275,Q982053
fre000276,Q982053
fre000277,Q982053
fre000278,Q982053
fre000279,
fre000280,
fre000281,
fre000282,
fre000283,
fre000284,Q3384589
fre000285,Q3310534
fre000286,Q3310534
fre000287,Q3310534
fre000288,Q347891
fre000289,Q347891
fre000290,Q1063939
fre000291,Q1063939
fre000292,Q117352511
fre000293,Q330573
fre000294,
fre000295,
fre000296,
fre000297,
fre000298,
fre000299,Q736424
fre000300,Q3260439
fre000301,
fre000302,
fre000303,
fre000304,
fre000305,
fre000306,
fre000307,
fre000308,
fre000309,Q3552156
fre000310,Q747
fre000311,Q747
fre000312,Q912271
fre000313,
fre000314,
fre000315,Q2404425
fre000316,Q2404425
fre000317,Q2404425
fre000318,Q2404425
fre000319,Q2404425
fre000320,Q123089
fre000321,Q747
fre000322,Q747
fre000323,Q747
fre000324,Q747
fre000325,Q747
fre000326,Q747
fre000327,Q747
fre000328,Q747
fre000329,Q747
fre000330,Q747
fre000331,Q747
fre000332,Q747
fre000333,Q747
fre000334,Q747
fre000335,Q747
fre000336,Q747
fre000337,Q747
fre000338,Q747
fre000339,Q747
fre000340,Q747
fre000341,Q747
fre000342,Q747
fre000343,Q747
fre000344,Q747
fre000345,Q747
fre000346,Q747
fre000347,Q747
fre000348,Q747
fre000349,Q747
fre000350,Q747
fre000351,Q747
fre000352,Q747
fre000353,Q747
fre000354,Q747
fre000355,Q747
fre000356,Q747
fre000357,Q747
fre000358,Q551787
fre000359,Q551787
fre000360,Q551787
fre000361,Q551787
fre000362,Q551787
fre000363,Q551787
fre000364,Q551787
fre000365,Q551787
fre000366,Q551787
fre000367,Q551787
fre000368,Q551787
fre000369,Q551787
fre000370,Q551787
fre000371,Q551787
fre000372,Q551787
fre000373,Q551787
fre000374,Q551787
fre000375,Q551787
fre000376,Q551787
fre000377,Q551787
fre000378,Q551787
fre000379,Q551787
fre000380,Q551787
fre000381,Q551787
fre000382,Q551787
fre000383,Q551787
fre000384,Q551787
fre000385,Q551787
fre000386,Q551787
fre000387,Q551787
fre000388,Q551787
fre000389,Q551787
fre000390,
fre000391,
fre000392,Q51107
fre000393,Q51107
fre000394,Q51107
fre000395,Q51107
fre000396,Q733161
fre000397,Q551721
fre000398,Q551721
fre000399,Q551721
fre000400,Q551721
fre000401,Q551721
fre000402,Q551721
fre000403,Q551721
fre000404,Q551721
fre000405,Q551721
fre000406,
fre000407,Q356575
fre000408,Q356575
fre000409,Q356575
fre000410,Q356575
fre000411,Q356575
fre000412,Q356575
fre000413,Q356575
fre000414,Q55025770
fre000415,Q55025770
fre000416,Q55025770
fre000417,Q55025770
fre000418,Q55025770
fre000419,Q55025770
fre000420,Q55025770
fre000421,Q55025770
fre000422,Q55025770
fre000423,Q213614
fre000424,Q213614
fre000425,Q2960722
fre000426,Q2437020
fre000427,Q2437020
fre000428,Q2437020
fre000429,Q2437020
fre000430,Q2437020
fre000431,Q2437020
fre000432,Q2437020
fre000433,Q2437020
fre000434,Q2437020
fre000435,Q2437020
fre000436,Q2437020
fre000437,Q2437020
fre000438,Q2437020
fre000439,Q2437020
fre000440,Q2437020
fre000441,Q2437020
fre000442,Q2437020
fre000443,Q2437020
fre000444,Q2437020
fre000445,Q2437020
fre000446,Q2437020
fre000447,Q2437020
fre000448,Q2437020
fre000449,Q2437020
fre000450,Q2437020
fre000451,Q2437020
fre000452,Q2437020
fre000453,Q2437020
fre000454,Q2437020
fre000455,Q2437020
fre000456,Q2437020
fre000457,Q2437020
fre000458,Q2437020
fre000459,Q2437020
fre000460,Q2437020
fre000461,Q2437020
fre000462,Q2437020
fre000463,Q2437020
fre000464,Q2437020
fre000465,Q2437020
fre000466,Q2437020
fre000467,Q2437020
fre000468,Q2437020
fre000469,Q2437020
fre000470,Q2437020
fre000471,Q2437020
fre000472,Q2437020
fre000473,Q2437020
fre000474,Q2437020
fre000475,Q2437020
fre000476,Q2437020
fre000477,
fre000478,Q126961
fre000479,Q126961
fre000480,Q126961
fre000481,Q1338449
fre000482,Q3024383
fre000483,Q3340576
fre000484,Q3340576
fre000485,Q3340576
fre000486,Q3340576
fre000487,Q469957
fre000488,Q469957
fre000489,Q464422
fre000490,Q464422
fre000491,Q53118548
fre000492,Q266337
fre000493,
fre000494,
fre000495,Q266337
fre000496,
fre000497,Q448
fre000498,Q448
fre000499,Q448
fre000500,Q448
fre000501,Q448
fre000502,
fre000503,Q3171779
fre000504,Q3171779
fre000505,Q3171779
fre000506,Q3171779
fre000507,Q3171779
fre000508,Q3171779
fre000509,Q3171779
fre000510,Q3171779
fre000511,Q3171779
fre000512,Q3171779
fre000513,Q3171779
fre000514,Q3171779
fre000515,Q361456
fre000516,Q361456
fre000517,Q3037045
fre000518,Q3037045
fre000519,Q3037045
fre000520,Q3037045
fre000521,Q11927097
fre000522,Q11927097
fre000523,Q11927097
fre000524,Q11927097
fre000525,Q11927097
fre000526,Q11927097
fre000527,Q116687710
fre000528,Q109283126
fre000529,
fre000530,Q3184258
fre000531,
fre000532,
fre000533,Q732695
fre000534,
fre000535,Q732695
fre000536,Q3184258
fre000537,Q3184258
fre000538,Q3184258
fre000539,Q3184258
fre000540,Q3184258
fre000541,Q3184258
fre000542,Q3184258
fre000543,Q3184258
fre000544,Q3184258
fre000545,Q3184258
fre000546,Q3184258
fre000547,Q3184258
fre000548,Q3184258
fre000549,Q3184258
fre000550,Q3184258
fre000551,Q3184258
fre000552,Q3184258
fre000553,Q3184258
fre000554,
fre000555,
fre000556,Q3041146
fre000557,Q3041146
fre000558,Q3041146
fre000559,Q3041146
fre000560,Q3041146
fre000561,Q3041146
fre000562,
fre000563,Q747
fre000564,
fre000565,Q2856864
fre000566,Q2941899
fre000567,Q2941899
fre000568,Q2941899
fre000569,Q2941899
fre000570,Q2941899
fre000571,Q2941899
fre000572,Q2941899
fre000573,Q2941899
fre000574,Q2941899
fre000575,Q2941899
fre000576,Q2633293
fre000577,Q2633293
fre000578,Q2633293
fre000579,Q2633293
fre000580,Q2633293
fre000581,Q2633293
fre000582,Q2633293
fre000583,Q2633293
fre000584,Q2633293
fre000585,Q2633293
fre000586,Q2633293
fre000587,Q2633293
fre000588,Q2633293
fre000589,Q2633293
fre000590,Q2633293
fre000591,Q2633293
fre000592,Q2633293
fre000593,Q356575
fre000594,
fre000595,Q3092326
fre000596,Q3092326
fre000597,Q1580114
fre000598,Q40939
fre000599,Q40939
fre000600,Q40939
fre000601,Q40939
fre000602,Q48305
fre000603,Q48305
fre000604,Q48305
fre000605,Q48305
fre000606,Q48305
fre000607,Q48305
fre000608,Q48305
fre000609,
fre000610,Q553446
fre000611,Q2885943
fre000612,Q2885943
fre000613,Q2885943
fre000614,Q2885943
fre000615,Q981902
fre000616,Q981902
fre000617,Q1063422
fre000618,Q981902
fre000619,Q981902
fre000620,Q12362715
fre000621,
fre000622,Q49465
fre000623,Q49465
fre000624,Q49465
fre000625,Q49465
fre000626,Q49465
fre000627,Q49465
fre000628,Q49465
fre000629,Q49465
fre000630,Q49465
fre000631,Q49465
fre000632,Q49465
fre000633,Q49465
fre000634,Q49465
fre000635,Q49465
fre000636,Q49465
fre000637,Q49465
fre000638,Q49465
fre000639,Q49465
fre000640,Q49465
fre000641,Q49465
fre000642,Q49465
fre000643,
fre000644,
fre000645,
fre000646,
fre000647,
fre000648,
fre000649,
fre000650,
fre000651,
fre000652,Q3579842
fre000653,Q3579842
fre000654,Q3261972
fre000655,Q267962
fre000656,Q3261972
fre000657,Q3261972
fre000658,Q3261972
fre000659,
fre000660,
fre000661,Q56007043
fre000662,Q56007043
fre000663,Q56007043
fre000664,Q56007043
fre000665,Q56007043
fre000666,Q56007043
fre000667,Q56007043
fre000668,Q56007043
fre000669,Q56007043
fre000670,Q56007043
fre000671,Q56007043
fre000672,Q56007043
fre000673,Q56007043
fre000674,Q56007043
fre000675,Q56007043
fre000676,Q56007043
fre000677,Q56007043
fre000678,Q56007043
fre000679,Q56007043
fre000680,Q113089
fre000681,Q2957993
fre000682,Q2957993
fre000683,Q2957993
fre000684,Q55037230
fre000685,Q55037230
fre000686,Q55037230
fre000687,Q55037230
fre000688,Q55037230
fre000689,Q55037230
fre000690,Q55037230
fre000691,Q55037230
fre000692,Q55037230
fre000693,Q55037230
fre000694,Q55037230
fre000695,Q55037230
fre000696,Q55037230
fre000697,Q55037230
fre000698,Q55037230
fre000699,Q55037230
fre000700,Q55037230
fre000701,Q55037230
fre000702,Q55037230
fre000703,Q55037230
fre000704,
fre000705,Q1291302
fre000706,Q1291302
fre000707,Q1291302
fre000708,Q1291302
fre000709,Q5562124
fre000710,Q5562124
fre000711,Q5562124
fre000712,Q5562124
fre000713,Q732695
fre000714,Q309974
fre000715,Q309974
fre000716,
fre000717,Q23820309
fre000718,Q206972
fre000719,Q206972
fre000720,Q206972
fre000721,
fre000722,
fre000723,Q353876
