ID,Raw Name,Title,Normalized author,Author,wikidataId Author,yearPrinted,datePremiered,dateWriting,Genre,Type,in_TD,in_BD,in_Dracor
1917,violet_d_epagny_alexandre_jarry-malcontents_de_1579,Les Malcontents de 1579,- Alexandre Violet d’Épagny Jarry,- Alexandre VIOLET D’ÉPAGNY JARRY,Q23766423,,1834-04-26,,,,TD1917,,
1747,raimond_deslandes_eugene_labiche-famille_de_l_horloger,La Famille de l’horloger,- Eugène Raimond Deslandes Labiche,- Eugène RAIMOND DESLANDES LABICHE,Q4157023,,1860-09-29,,Comédie,,TD1747,,
56,albert_fabrice_labrousse-fleurette_ou_le_premier_amour_de_henri_iv,Fleurette,- Fabrice Albert Labrousse,- Fabrice ALBERT LABROUSSE,Q19945121,,1855-03-11,,,,TD56,,
1527,melesville_michel_nicolas_balisson_de_rougemont_charles_gaspard_delestre_poirson-bal_bourgeois,Un Bal bourgeois,- Michel-Nicolas Balisson De-Charles-Gaspard Mélesville Rougemont Delestre-Poirson,- Michel-Nicolas Balisson de - Charles-Gaspard MÉLESVILLE ROUGEMONT DELESTRE-POIRSON,Q3308793,,1819-04-01,,Vaudeville,,TD1527,,
1528,melesville_pierre_carmouche_nicolas_brazier-tony_ou_cinq_annees_en_deux_heures,Tony,- Pierre-Nicolas Mélesville Carmouche Brazier,- Pierre - Nicolas MÉLESVILLE CARMOUCHE BRAZIER,Q3384294,,1827-02-10,,Comédie,,TD1528,,
1592,moliere_pierre_corneille_philippe_quinault-psyche,Psyché,- Pierre-Philippe Molière Corneille Quinault,- Pierre - Philippe MOLIÈRE CORNEILLE QUINAULT,Q747,,1671-07-24,,Tragédie,,TD1592,,
1529,melesville_xavier_boniface_saintine-bouffon_du_prince,Le Bouffon du Prince,- Xavier-Boniface Mélesville Saintine,- Xavier-Boniface MÉLESVILLE SAINTINE,Q2660806,,1831-05-04,,Comédie,,TD1529,,
2084,anonyme-adam,Adam,[Anonyme],[anonyme],IDUNKNOWN,1170,,,,,,,fre000017
2085,anonyme-aventures-de-ninette,Les Aventures de Ninette,[Anonyme],[anonyme],IDUNKNOWN,1833,1833-01-01,,Comedy,,,,fre000018
2086,anonyme-bonnes-gens,Les Bonnes Gens,[Anonyme],[anonyme],IDUNKNOWN,1772,,,Comedy,,,,fre000019
2087,anonyme-chapelain-decoiffe,Fragment d'une Comédie Intitulée Chapelain Décoiffé.,[Anonyme],[anonyme],IDUNKNOWN,1666,,,,,,,fre000020
2088,anonyme-chapelain-decoiffe-2,Fragment d'une Comédie Intitulée Chapelain Décoiffé [2],[Anonyme],[anonyme],IDUNKNOWN,1666,,,,,,,fre000021
2089,anonyme-club-des-dames,Le Club des Dames ou Le Retour de Descartes,[Anonyme],[anonyme],IDUNKNOWN,1784,,,Comedy,,,,fre000022
2090,anonyme-deroute-des-precieuses,La Déroute des Précieuses,[Anonyme],[anonyme],IDUNKNOWN,1659,,,,,,,fre000023
2091,anonyme-dialogue-rousseau-voltaire,Dialogue entre Voltaire et Rousseau,[Anonyme],[anonyme],IDUNKNOWN,1778,,,Comedy,,,,fre000024
2092,anonyme-jeu-d-esmoree,Le Jeu d'Esmorée,[Anonyme],[anonyme],IDUNKNOWN,1835,,,,,,,fre000025
2093,anonyme-jus-du-pelerin,Le Jus du Pelerin,[Anonyme],[anonyme],IDUNKNOWN,1834,,,Comedy,,,,fre000026
2094,anonyme-matinee-comedien-francais,La Matinée du Comédien Français,[Anonyme],[anonyme],IDUNKNOWN,1785,,,,,,,fre000027
2095,anonyme-pardonneur,Farce Nouvelle Tres Bonne et Fort Joyeuse à Trois Personnages d'un Pardonneur d'un Triacleur et d'une Tavernière,[Anonyme],[anonyme],IDUNKNOWN,,,,Comedy,,,,fre000028
2096,anonyme-pont-aux-anes,Farce Nouvelle Fort Joyeuse du Pont aux Anes,[Anonyme],[anonyme],IDUNKNOWN,,,,Comedy,,,,fre000029
2097,anonyme-portier-du-parnasse,Le Portier du Parnasse,[Anonyme],[anonyme],IDUNKNOWN,1770,,,Comedy,,,,fre000030
2098,anonyme-prix-d-un-moment,Le Prix d'un Moment,[Anonyme],[anonyme],IDUNKNOWN,1772,,,Comedy,,,,fre000031
2099,anonyme-reception-argenson,La Réception de Monseigneur le Vicomte d'Argenson,[Anonyme],[anonyme],IDUNKNOWN,1658,1658-07-28,,,,,,fre000032
2100,anonyme-resurrection-du-sauveur,La Résurrection du Sauveur,[Anonyme],[anonyme],IDUNKNOWN,1834,,,,,,,fre000033
2101,anonyme-resurrection-jenin-landore,Farce Nouvelle Très Bonne et Fort Joyeuse de la Resurrection de Jenin Landore,[Anonyme],[anonyme],IDUNKNOWN,1547/1557,,,Comedy,,,,fre000034
2102,anonyme-sauvages-civilises,Les Sauvages ou Le Roi Bienfaisant.,[Anonyme],[anonyme],IDUNKNOWN,1789,,,,,,,fre000035
2103,anonyme-serail-de-de-lys,Le Sérail de de Lys,[Anonyme],[anonyme],IDUNKNOWN,1735,,,Comedy,,,,fre000036
2104,anonyme-sermon-joyeux,Sermon Joyeux de Bien Boire,[Anonyme],[anonyme],IDUNKNOWN,1545,,,Comedy,,,,fre000037
2105,anonyme-vende,Vende,[Anonyme],[anonyme],IDUNKNOWN,1644,,,Tragedy,,,,fre000038
2106,anonyme-vierges-folles-vierges-sages,Les Vierges Sages et les Vierges Folles,[Anonyme],[anonyme],IDUNKNOWN,1834,,,,,,,fre000039
2107,anonyme-voila-bien-le-diable,Oh ! Voilà Bien le Diable !,[Anonyme],[anonyme],IDUNKNOWN,1772,,,Comedy,,,,fre000040
2108,anonyme-zelamire,Zélamire,[Anonyme],[anonyme],IDUNKNOWN,1786,,,Comedy,,,,fre000041
2270,carriere-doisin-cafe-litteraire,Le Café Littéraire ou La Folie du Jour,A. Carrière Doisin,A. Carrière-Doisin,,1785,,,Comedy,,,,fre000279
2271,carriere-doisin-journee-de-titus,La Journée de Titus ou Le Bon Prince,A. Carrière Doisin,A. Carrière-Doisin,,1790,,,,,,,fre000280
