Dracor_ID,Full author name
fre000001,Gaspard Abeille
fre000002,Gaspard Abeille
fre000003,Gaspard Abeille
fre001461,Edmond About
fre001562,Eugène Adenis
fre001563,Eugène Adenis
fre000004,Eugène Adenis
fre001821,Eugène Adenis
fre001561,Jules Adenis
fre001564,Jean Aicard
fre001565,Jean Aicard
fre001566,Jean Aicard
fre001567,Jean Aicard
fre001568,Jean Aicard
fre001569,Étienne Aignan
fre000005,Jean Dumas D'Aigueberre
fre000006,Jean Dumas D'Aigueberre
fre000007,Jean Dumas D'Aigueberre
fre000008,Jean Dumas D'Aigueberre
fre000009,Robert Alain
fre000010,Léonor Jean Soulas D'Allainval
fre000011,Léonor Jean Soulas D'Allainval
fre000012,Alphonse Allais
fre000013,Alphonse Allais
fre001570,Alphonse Allais
fre001822,Camille Allary
fre000014,Jacques-Arsène-François-Polycarpe Ancelot
fre001501,Jacques-Arsène-François-Polycarpe Ancelot
fre000015,François Andrieux
fre001571,François Andrieux
fre001573,François Andrieux
fre001572,François Andrieux
fre000016,François Andrieux
fre001504,
fre000017,
fre000018,
fre000019,
fre000021,
fre000020,
fre000022,
fre001502,
fre000023,
fre001503,
fre000024,
fre001575,
fre000025,
fre000026,
fre001574,
fre001577,
fre000027,
fre001576,
fre001578,
fre001579,
fre000028,
fre000029,
fre000030,
fre000031,
fre000032,
fre000033,
fre000034,
fre000035,
fre000036,
fre000037,
fre001580,
fre000038,
fre000039,
fre000040,
fre000041,
fre000042,Louis Anseaume
fre000043,Louis Anseaume
fre000044,Louis Anseaume
fre001462,Louis Anseaume
fre001505,Jacques Arago
fre000045,Louis-François Archambault
fre000046,Dorvigny
fre000047,Louis-François Archambault
fre000048,Louis-François Archambault
fre000049,Louis-François Archambault
fre000050,Louis-François Archambault
fre000051,Louis-François Archambault
fre000052,Dorvigny
fre000053,Paul Arène
fre000054,Aristophane
fre000055,Armand
fre000056,Antoine Vincent Arnault
fre001581,Antoine Vincent Arnault
fre000057,Jean-François Arnould
fre000058,Jean-Baptiste Artaud
fre000060,Abbé D' Aubignac
fre000059,Abbé D' Aubignac
fre001506,Xavier Aubryet
fre000061,Joseph Aude
fre000062,Louis-Dominique-Laurent Audiffret
fre000063,Louis-Dominique-Laurent Audiffret
fre000064,Louis-Dominique-Laurent Audiffret
fre000065,Nicolas-Médard Audinot
fre000066,Nicolas-Médard Audinot
fre001582,Jacques Auger
fre000067,François D'Aure
fre000068,François D'Aure
fre000069,François D'Aure
fre000070,François-Thomas-Marie De Baculard D'Arnaud
fre001823,Honoré De Balzac
fre000071,Théodore De Banville
fre001825,Théodore De Banville
fre001826,Théodore De Banville
fre001824,Théodore De Banville
fre001583,Théodore De Banville
fre000072,Baptiste
fre000075,Claude-Ignace Brugière De Barante
fre000073,Barante
fre000074,Barante
fre001584,Claude-Ignace Brugière De Barante
fre000076,Marie-Anne Barbier
fre000077,Marie-Anne Barbier
fre000078,P.J. Barbier
fre000079,Balthasar Baro
fre000080,Balthasar Baro
fre000081,Balthasar Baro
fre000082,Balthasar Baro
fre000083,Balthasar Baro
fre000084,Balthasar Baro
fre000085,Jacques Robbe
fre001585,Pierre-Yves Barré
fre000086,Pierre-Yves Barré
fre001827,Jean-Baptiste Radet
fre000087,Pierre-Yves Barré
fre001828,Théodore Barrière
fre001829,Théodore Barrière
fre001586,Nicolas-Thomas Barthe
fre001801,René Bary
fre001802,René Bary
fre001830,René Bary
fre001839,René Bary
fre001840,René Bary
fre001817,René Bary
fre001841,René Bary
fre001844,René Bary
fre001845,René Bary
