Play Name,Best Match (Match %),Match %,Best Match (Avg Cost),Avg Cost,Best Match (Similarity),Similarity,Best Match (Renaming),Renaming Weight
fre000001,,-1,,inf,,-1,,-1
fre000002,,-1,,inf,,-1,,-1
fre000003,,-1,,inf,,-1,,-1
fre001461,,-1,,inf,,-1,,-1
fre001562,,-1,,inf,,-1,,-1
fre001563,,-1,,inf,,-1,,-1
fre000004,,-1,,inf,,-1,,-1
fre001821,,-1,,inf,,-1,,-1
fre001561,,-1,,inf,,-1,,-1
fre001564,,-1,,inf,,-1,,-1
fre001565,,-1,,inf,,-1,,-1
fre001566,,-1,,inf,,-1,,-1
fre001567,,-1,,inf,,-1,,-1
fre001568,,-1,,inf,,-1,,-1
fre001569,,-1,,inf,,-1,,-1
fre000005,,-1,,inf,,-1,,-1
fre000006,,-1,,inf,,-1,,-1
fre000007,,-1,,inf,,-1,,-1
fre000008,,-1,,inf,,-1,,-1
fre000009,,-1,,inf,,-1,,-1
fre000010,,-1,,inf,,-1,,-1
fre000011,,-1,,inf,,-1,,-1
fre000012,,-1,,inf,,-1,,-1
fre000013,,-1,,inf,,-1,,-1
fre001570,,-1,,inf,,-1,,-1
fre001822,,-1,,inf,,-1,,-1
fre000014,,-1,,inf,,-1,,-1
fre001501,,-1,,inf,,-1,,-1
fre000015,,-1,,inf,,-1,,-1
fre001571,,-1,,inf,,-1,,-1
fre001573,,-1,,inf,,-1,,-1
fre001572,,-1,,inf,,-1,,-1
fre000016,,-1,,inf,,-1,,-1
fre001504,,-1,,inf,,-1,,-1
fre000017,,-1,,inf,,-1,,-1
fre000018,,-1,,inf,,-1,,-1
fre000019,,-1,,inf,,-1,,-1
fre000021,,-1,,inf,,-1,,-1
fre000020,,-1,,inf,,-1,,-1
fre000022,,-1,,inf,,-1,,-1
fre001502,,-1,,inf,,-1,,-1
fre000023,,-1,,inf,,-1,,-1
fre001503,,-1,,inf,,-1,,-1
fre000024,,-1,,inf,,-1,,-1
fre001575,,-1,,inf,,-1,,-1
fre000025,,-1,,inf,,-1,,-1
fre000026,,-1,,inf,,-1,,-1
fre001574,,-1,,inf,,-1,,-1
fre001577,,-1,,inf,,-1,,-1
fre000027,,-1,,inf,,-1,,-1
fre001576,,-1,,inf,,-1,,-1
fre001578,,-1,,inf,,-1,,-1
fre001579,,-1,,inf,,-1,,-1
fre000028,,-1,,inf,,-1,,-1
fre000029,,-1,,inf,,-1,,-1
fre000030,,-1,,inf,,-1,,-1
fre000031,,-1,,inf,,-1,,-1
fre000032,,-1,,inf,,-1,,-1
fre000033,,-1,,inf,,-1,,-1
fre000034,,-1,,inf,,-1,,-1
fre000035,,-1,,inf,,-1,,-1
fre000036,,-1,,inf,,-1,,-1
fre000037,,-1,,inf,,-1,,-1
fre001580,,-1,,inf,,-1,,-1
fre000038,,-1,,inf,,-1,,-1
fre000039,,-1,,inf,,-1,,-1
fre000040,,-1,,inf,,-1,,-1
fre000041,,-1,,inf,,-1,,-1
fre000042,,-1,,inf,,-1,,-1
fre000043,,-1,,inf,,-1,,-1
fre000044,,-1,,inf,,-1,,-1
fre001462,,-1,,inf,,-1,,-1
fre001505,,-1,,inf,,-1,,-1
fre000045,,-1,,inf,,-1,,-1
fre000046,,-1,,inf,,-1,,-1
fre000047,,-1,,inf,,-1,,-1
fre000048,,-1,,inf,,-1,,-1
fre000049,,-1,,inf,,-1,,-1
fre000050,,-1,,inf,,-1,,-1
fre000051,,-1,,inf,,-1,,-1
fre000052,,-1,,inf,,-1,,-1
fre000053,,-1,,inf,,-1,,-1
fre000054,,-1,,inf,,-1,,-1
fre000055,,-1,,inf,,-1,,-1
fre000056,,-1,,inf,,-1,,-1
fre001581,,-1,,inf,,-1,,-1
fre000057,,-1,,inf,,-1,,-1
fre000058,,-1,,inf,,-1,,-1
fre000060,,-1,,inf,,-1,,-1
fre000059,,-1,,inf,,-1,,-1
fre001506,,-1,,inf,,-1,,-1
fre000061,,-1,,inf,,-1,,-1
fre000062,,-1,,inf,,-1,,-1
fre000063,,-1,,inf,,-1,,-1
fre000064,,-1,,inf,,-1,,-1
fre000065,,-1,,inf,,-1,,-1
fre000066,,-1,,inf,,-1,,-1
fre001582,,-1,,inf,,-1,,-1
fre000067,,-1,,inf,,-1,,-1
fre000068,,-1,,inf,,-1,,-1
fre000069,,-1,,inf,,-1,,-1
fre000070,,-1,,inf,,-1,,-1
fre001823,,-1,,inf,,-1,,-1
fre000071,,-1,,inf,,-1,,-1
fre001825,,-1,,inf,,-1,,-1
fre001826,,-1,,inf,,-1,,-1
fre001824,,-1,,inf,,-1,,-1
fre001583,,-1,,inf,,-1,,-1
fre000072,,-1,,inf,,-1,,-1
fre000075,,-1,,inf,,-1,,-1
fre000073,,-1,,inf,,-1,,-1
fre000074,,-1,,inf,,-1,,-1
fre001584,,-1,,inf,,-1,,-1
fre000076,,-1,,inf,,-1,,-1
fre000077,,-1,,inf,,-1,,-1
fre000078,,-1,,inf,,-1,,-1
fre000079,,-1,,inf,,-1,,-1
fre000080,,-1,,inf,,-1,,-1
fre000081,,-1,,inf,,-1,,-1
fre000082,,-1,,inf,,-1,,-1
fre000083,,-1,,inf,,-1,,-1
fre000084,,-1,,inf,,-1,,-1
fre000085,,-1,,inf,,-1,,-1
