,Title,Author,title,firstAuthor
0,Une Collaboration,Lambert,Une Collaboration,Lambert
1,Don Juan De Marana,Dumas,Don Juan De Marana,Dumas
2,La Fausse Alarme,Piron,La Fausse Alarme,Piron
3,Gustave Wasa,Piron,Gustave Wasa,Piron
4,André Del Sarto,Musset,André Del Sarto,Musset
5,Barberine,Musset,Barberine,Musset
6,Un Caprice,Musset,Un Caprice,Musset
7,Les Caprices De Marianne,Musset,Les Caprices De Marianne,Musset
8,Le Chandelier,Musset,Le Chandelier,Musset
9,La Coupe Et Les Lèvres,Musset,La Coupe Et Les Lèvres,Musset
10,Fantasio,Musset,Fantasio,Musset
11,Il Ne Faut Jurer De Rien,Musset,Il Ne Faut Jurer De Rien,Musset
12,Lorenzaccio,Musset,Lorenzaccio,Musset
13,Louison,Musset,Louison,Musset
14,La Nuit Vénitienne,Musset,La Nuit Vénitienne,Musset
15,On Ne Badine Pas Avec Lamour,Musset,On Ne Badine Pas Avec Lamour,Musset
16,La Cour Bergère,Mareschal,La Cour Bergère,Mareschal
17,Le Railleur,Mareschal,Le Railleur,Mareschal
18,Célinde,Baro,Célinde,Baro
19,La Clorise,Baro,La Clorise,Baro
20,La Parthénie,Baro,La Parthénie,Baro
21,Le Prince Fugitif,Baro,Le Prince Fugitif,Baro
22,Saint Eustache Martyr,Baro,Saint Eustache Martyr,Baro
23,Poinsinet Et Molière,Imbert,Poinsinet Et Molière,Imbert
24,Lautre Tartuffe,Beaumarchais,Lautre Tartuffe,Beaumarchais
25,Molière En Voyage,Pifteau,Molière En Voyage,Pifteau
26,Lamant Ridicule,Boisrobert,Lamant Ridicule,Boisrobert
27,Les Rivaux Amis,Boisrobert,Les Rivaux Amis,Boisrobert
28,Lombre De Molière,Brécourt,Lombre De Molière,Brécourt
29,Les Comédiens,Delavigne,Les Comédiens,Delavigne
30,Les Vêpres Siciliennes,Delavigne,Les Vêpres Siciliennes,Delavigne
31,Les Fragments De Molière,Champmeslé,Les Fragments De Molière,Champmeslé
32,Les Adieux Des Officiers,Dufresny,Les Adieux Des Officiers,Dufresny
33,Le Chevalier Joueur,Dufresny,Le Chevalier Joueur,Dufresny
34,Le Dédit,Dufresny,Le Dédit,Dufresny
35,Le Départ Des Comédiens,Dufresny,Le Départ Des Comédiens,Dufresny
36,Le Double Veuvage,Dufresny,Le Double Veuvage,Dufresny
37,Lesprit De Contradiction,Dufresny,Lesprit De Contradiction,Dufresny
38,Le Faux Honnête Homme,Dufresny,Le Faux Honnête Homme,Dufresny
39,Le Faux Instinct,Dufresny,Le Faux Instinct,Dufresny
40,Le Faux Sincère,Dufresny,Le Faux Sincère,Dufresny
41,La Joueuse,Dufresny,La Joueuse,Dufresny
42,La Malade Sans Maladie,Dufresny,La Malade Sans Maladie,Dufresny
43,Les Malassortis,Dufresny,Les Malassortis,Dufresny
44,Le Mariage Fait Et Rompu,Dufresny,Le Mariage Fait Et Rompu,Dufresny
45,Le Négligent,Dufresny,Le Négligent,Dufresny
46,La Noce Interrompue,Dufresny,La Noce Interrompue,Dufresny
47,La Réconciliation Normande,Dufresny,La Réconciliation Normande,Dufresny
48,Agamemnon,Boyer,Agamemnon,Boyer
49,Aristodème,Boyer,Aristodème,Boyer
50,Artaxerce,Boyer,Artaxerce,Boyer
51,Clotilde,Boyer,Clotilde,Boyer
52,Fédéric,Boyer,Fédéric,Boyer
53,Le Jeune Marius,Boyer,Le Jeune Marius,Boyer
54,Judith,Boyer,Judith,Boyer
55,La Mort Des Enfants De Brute,Boyer,La Mort Des Enfants De Brute,Boyer
56,La Porcie Romaine,Boyer,La Porcie Romaine,Boyer
57,Porus,Boyer,Porus,Boyer
58,Tyridate,Boyer,Tyridate,Boyer
59,Les Agioteurs,Dancourt,Les Agioteurs,Dancourt
60,Le Bon Soldat,Dancourt,Le Bon Soldat,Dancourt
61,Les Bourgeoises À La Mode,Dancourt,Les Bourgeoises À La Mode,Dancourt
62,Céphale Et Procris,Dancourt,Céphale Et Procris,Dancourt
63,Le Charivari,Dancourt,Le Charivari,Dancourt
64,Le Chevalier À La Mode,Dancourt,Le Chevalier À La Mode,Dancourt
65,Colinmaillard,Dancourt,Colinmaillard,Dancourt
66,La Comédie Des Comédiens,Dancourt,La Comédie Des Comédiens,Dancourt
67,Les Curieux De Compiègne,Dancourt,Les Curieux De Compiègne,Dancourt
68,La Déroute Du Pharaon,Dancourt,La Déroute Du Pharaon,Dancourt
69,La Désolation Des Joueuses,Dancourt,La Désolation Des Joueuses,Dancourt
70,Le Diable Boiteux,Dancourt,Le Diable Boiteux,Dancourt
71,Divertissement De Sceaux,Dancourt,Divertissement De Sceaux,Dancourt
72,Les Enfants De Paris,Dancourt,Les Enfants De Paris,Dancourt
73,Les Fées,Dancourt,Les Fées,Dancourt
74,La Fête De Village,Dancourt,La Fête De Village,Dancourt
75,La Foire De Besons,Dancourt,La Foire De Besons,Dancourt
76,La Folle Enchère,Dancourt,La Folle Enchère,Dancourt
77,Les Fonds Perdus,Dancourt,Les Fonds Perdus,Dancourt
78,Le Galant Jardinier,Dancourt,Le Galant Jardinier,Dancourt
79,La Gazette,Dancourt,La Gazette,Dancourt
80,La Loterie,Dancourt,La Loterie,Dancourt
81,Madame Artus,Dancourt,Madame Artus,Dancourt
82,La Maison De Campagne,Dancourt,La Maison De Campagne,Dancourt
83,Le Mari Retrouvé,Dancourt,Le Mari Retrouvé,Dancourt
84,Le Moulin De Javelle,Dancourt,Le Moulin De Javelle,Dancourt
85,La Parisienne,Dancourt,La Parisienne,Dancourt
86,Renaud Et Armide,Dancourt,Renaud Et Armide,Dancourt
87,Le Retour Des Officiers,Dancourt,Le Retour Des Officiers,Dancourt
88,Second Chapitre Du Diable Boiteux,Dancourt,Second Chapitre Du Diable Boiteux,Dancourt
89,La Trahison Punie,Dancourt,La Trahison Punie,Dancourt
90,Le Tuteur,Dancourt,Le Tuteur,Dancourt
91,Les Vacances,Dancourt,Les Vacances,Dancourt
92,Les Vendanges,Dancourt,Les Vendanges,Dancourt
93,Les Vendanges De Suresnes,Dancourt,Les Vendanges De Suresnes,Dancourt
94,Le Vertgalant,Dancourt,Le Vertgalant,Dancourt
95,Les Embarras Du Derrière Du Théâtre,Brueys,Les Embarras Du Derrière Du Théâtre,Brueys
96,Les Empiriques,Brueys,Les Empiriques,Brueys
97,Le Fils Naturel,Diderot,Le Fils Naturel,Diderot
98,Paradoxe Sur Le Comédien,Diderot,Paradoxe Sur Le Comédien,Diderot
99,Le Père De Famille,Diderot,Le Père De Famille,Diderot
100,Les Amours De Trapolin,Dorimond,Les Amours De Trapolin,Dorimond
101,La Comédie De La Comédie,Dorimond,La Comédie De La Comédie,Dorimond
102,La Femme Industrieuse,Dorimond,La Femme Industrieuse,Dorimond
103,La Comédie Sans Titre,Boursault,La Comédie Sans Titre,Boursault
104,Germanicus,Boursault,Germanicus,Boursault
105,Marie Stuard,Boursault,Marie Stuard,Boursault
106,Le Médecin Volant,Boursault,Le Médecin Volant,Boursault
107,Le Mort Vivant,Boursault,Le Mort Vivant,Boursault
108,Les Mots À La Mode,Boursault,Les Mots À La Mode,Boursault
109,Le Portrait Du Peintre,Boursault,Le Portrait Du Peintre,Boursault
110,La Satire Des Satires,Boursault,La Satire Des Satires,Boursault
111,Cyrano De Bergerac,Rostand,Cyrano De Bergerac,Rostand
112,La Fille De Molière,Fournier,La Fille De Molière,Fournier
113,Molière Enfant,Vierne,Molière Enfant,Vierne
114,Molière En Bonne Fortune,Blémont,Molière En Bonne Fortune,Blémont
115,Molière En Bonne Fortune,Blémont,Molière En Bonne Fortune,Blémont
116,Thérèse Raquin,Zola,Thérèse Raquin,Zola
117,Un Coup De Rasoir,Labiche,Un Coup De Rasoir,Labiche
118,Molière Et Montespan,Fabié,Molière Et Montespan,Fabié
119,Molière À Vienne,Ponsard,Molière À Vienne,Ponsard
120,Coriolan,Abeille,Coriolan,Abeille
121,Lyncée,Abeille,Lyncée,Abeille
122,Larticle 330,Courteline,Larticle 330,Courteline
123,Les Balances,Courteline,Les Balances,Courteline
124,La Conversion Dalceste,Courteline,La Conversion Dalceste,Courteline
125,Le Gora,Courteline,Le Gora,Courteline
126,Gros Chagrins,Courteline,Gros Chagrins,Courteline
127,Monsieur Badin,Courteline,Monsieur Badin,Courteline
128,Le Principal Témoin,Courteline,Le Principal Témoin,Courteline
129,Théodore Cherche Des Allumettes,Courteline,Théodore Cherche Des Allumettes,Courteline
130,Amour Et Piano,Feydeau,Amour Et Piano,Feydeau
131,Aux Antipodes,Feydeau,Aux Antipodes,Feydeau
132,Le Billet De Mille,Feydeau,Le Billet De Mille,Feydeau
133,Les Célèbres,Feydeau,Les Célèbres,Feydeau
134,Le Colis,Feydeau,Le Colis,Feydeau
135,Un Coup De Tête,Feydeau,Un Coup De Tête,Feydeau
136,Un Coup De Tête,Feydeau,Un Coup De Tête,Feydeau
137,Les Enfants,Feydeau,Les Enfants,Feydeau
138,Gibier De Potence,Feydeau,Gibier De Potence,Feydeau
139,Le Juré,Feydeau,Le Juré,Feydeau
140,Jai Mal Aux Dents,Feydeau,Jai Mal Aux Dents,Feydeau
141,Un Monsieur Qui Est Condamné À Mort,Feydeau,Un Monsieur Qui Est Condamné À Mort,Feydeau
142,Un Monsieur Qui Naime Pas Les Monologues,Feydeau,Un Monsieur Qui Naime Pas Les Monologues,Feydeau
143,Le Mouchoir,Feydeau,Le Mouchoir,Feydeau
144,Notre Futur,Feydeau,Notre Futur,Feydeau
145,La Petite Révoltée,Feydeau,La Petite Révoltée,Feydeau
146,Le Petit Ménage,Feydeau,Le Petit Ménage,Feydeau
147,Le Potache,Feydeau,Le Potache,Feydeau
148,Tout À Brownséquard,Feydeau,Tout À Brownséquard,Feydeau
149,Trop Vieux,Feydeau,Trop Vieux,Feydeau
150,Le Volontaire,Feydeau,Le Volontaire,Feydeau
151,Aldo Le Rimeur,Sand,Aldo Le Rimeur,Sand
152,François Le Champi,Sand,François Le Champi,Sand
153,Molière,Sand,Molière,Sand
154,Le Roi Attend,Sand,Le Roi Attend,Sand
155,Lamant Qui Ne Flatte Point,Hauteroche,Lamant Qui Ne Flatte Point,Hauteroche
156,Le Cocher Supposé,Hauteroche,Le Cocher Supposé,Hauteroche
157,Le Deuil,Hauteroche,Le Deuil,Hauteroche
158,Le Songe De Molière,Minier,Le Songe De Molière,Minier
159,Le Centenaire De Molière,Artaud,Le Centenaire De Molière,Artaud
160,Achille,La Fontaine,Achille,La Fontaine
161,Astrée,La Fontaine,Astrée,La Fontaine
162,Amélie,Rotrou,Amélie,Rotrou
163,Antigone,Rotrou,Antigone,Rotrou
164,La Bague De Loubli,Rotrou,La Bague De Loubli,Rotrou
165,La Belle Alphrède,Rotrou,La Belle Alphrède,Rotrou
166,Les Captifs,Rotrou,Les Captifs,Rotrou
167,La Céliane,Rotrou,La Céliane,Rotrou
168,La Célimène,Rotrou,La Célimène,Rotrou
169,Cléagénor Et Doristée,Rotrou,Cléagénor Et Doristée,Rotrou
170,Crisante,Rotrou,Crisante,Rotrou
171,Les Deux Pucelles,Rotrou,Les Deux Pucelles,Rotrou
172,La Diane,Rotrou,La Diane,Rotrou
173,Don Lope De Cardone,Rotrou,Don Lope De Cardone,Rotrou
174,Le Filandre,Rotrou,Le Filandre,Rotrou
175,Hercule Mourant,Rotrou,Hercule Mourant,Rotrou
