Raw Name,Title,Author,Date impression,Date premiere,Date ecriture,Genre,Type
abbe_augustin_theodore_vincent_lebeau_de_schosne-assemblee ,L’Assemblée,Abbé Augustin-Théodore-Vincent LEBEAU DE SCHOSNE,[vide],1773-02-17,[vide],Comédie,vers
abbe_de_voisenon-retour_de_l_ombre_de_moliere ,Le Retour de l’ombre de Molière,Abbé de VOISENON,[vide],1739-11-21,[vide],Comédie,vers
abel_jannet-moliere_en_menage ,Molière en ménage,Abel JANNET,[vide],1855-11-11,[vide],Comédie,vers
adele_regnauld_de_prebois-chien_et_chat ,Chien et chat,Adèle REGNAULD DE PRÉBOIS,[vide],1852-11-20,[vide],Comédie,[indéfini]
adele_regnauld_de_prebois-marion ,Marion,Adèle REGNAULD DE PRÉBOIS,[vide],1851-03-22,[vide],Comédie,[indéfini]
adele_regnauld_de_prebois_theodore_barriere-pecheresse ,Une Pécheresse,Adèle - Théodore REGNAULD DE PRÉBOIS BARRIÈRE,[vide],1860-05-25,[vide],[indéfini],[indéfini]
adele_regnauld _de_prebois-infidelites_conjugales ,Les Infidélités conjugales,Adèle  REGNAULD DE PRÉBOIS,[vide],1850-10-26,[vide],Comédie,[indéfini]
adele_regnauld _de_prebois-moulin_de_l_ermitage ,Le Moulin de l’Ermitage,Adèle  REGNAULD DE PRÉBOIS,[vide],1855-11-22,[vide],[indéfini],[indéfini]
adolphe_de_leuven_armand_d_artois_philippe_auguste_alfred_pittaud_de_forges-mon_ami_pierre ,Mon ami Pierre,Adolphe - Armand - Philippe-Auguste-Alfred DE LEUVEN D&#039;ARTOIS PITTAUD DE FORGES,[vide],1827-09-08,[vide],Comédie,[indéfini]
adolphe_de_leuven_emmanuel_theaulon_philippe_auguste_alfred_pittaud_de_forges-perle_de_marienbourg ,La Perle de Marienbourg,Adolphe - Emmanuel - Philippe-Auguste-Alfred DE LEUVEN THÉAULON PITTAUD DE FORGES,[vide],1828-10-11,[vide],Comédie,[indéfini]
adolphe_de_leuven_louis_emile_vanderburch-marie_michon ,Marie Michon,Adolphe - Louis-Émile DE LEUVEN VANDERBURCH,[vide],1846-03-11,[vide],Comédie,[indéfini]
adolphe_de_leuven_theophile_marion_dumersan-biribi_le_mazourkiste ,Biribi le mazourkiste,Adolphe - Théophile Marion DE LEUVEN DUMERSAN,[vide],1845-02-02,[vide],Vaudeville,[indéfini]
adolphe_de_leuven_victor_lherie-mistriss_siddons_ou_une_actrice_anglaise ,Mistriss Siddons,Adolphe - Victor DE LEUVEN LHÉRIE,[vide],1836-08-01,[vide],Comédie,[indéfini]
adolphe_de_leuven_ _armand_d_artois_philippe_auguste_alfred_pittaud_de_forges-brigand_napolitain ,Le Brigand Napolitain,Adolphe -  Armand - Philippe-Auguste-Alfred DE LEUVEN D&#039;ARTOIS PITTAUD DE FORGES,[vide],1829-09-25,[vide],Vaudeville,[indéfini]
adolphe_de_leuven_ _armand_d_artois_philippe_auguste_alfred_pittaud_de_forges-portefeuille ,Le Portefeuille,Adolphe -  Armand - Philippe-Auguste-Alfred DE LEUVEN D&#039;ARTOIS PITTAUD DE FORGES,[vide],1827-12-29,[vide],Comédie,[indéfini]
adolphe_dumas-mademoiselle_de_la_valliere ,Mademoiselle de La Vallière,Adolphe DUMAS,[vide],1843-05-15,[vide],[indéfini],vers
adolphe_d_ennery-changement_d_uniforme ,Changement d&#039;uniforme,Adolphe D&#039;ENNERY,[vide],1835-06-02,[vide],Comédie,[indéfini]
adolphe_d_ennery-grisette_au_vert ,La Grisette au vert,Adolphe D’ENNERY,[vide],1840-07-08,[vide],[indéfini],[indéfini]
adolphe_d_ennery-marchesa_ou_la_courtisane_de_rome ,La Marchesa,Adolphe D&#039;ENNERY,[vide],1834-06-03,[vide],[indéfini],[indéfini]
adolphe_d_ennery-marche_de_londres ,Le Marché de Londres,Adolphe D’ENNERY,[vide],1846-07-06,[vide],[indéfini],[indéfini]
adolphe_d_ennery-tremblement_de_terre_de_la_martinique ,Le Tremblement de terre de la Martinique,Adolphe D’ENNERY,[vide],1840-01-23,[vide],[indéfini],[indéfini]
adolphe_d_ennery_achille_d_artois_edmond_burat_de_gurgy-trois_coeurs_de_femmes ,Trois cœurs de femmes,Adolphe - Achille - Edmond D’ENNERY D’ARTOIS BURAT DE GURGY,[vide],1836-11-17,[vide],Vaudeville,[indéfini]
adolphe_d_ennery_adolphe_de_leuven_dumanoir-hotel_des_haricots_ou_il_vaut_mieux_monter_sa_garde ,L’Hôtel des Haricots,Adolphe - Adolphe - D&#039;ENNERY DE LEUVEN DUMANOIR,[vide],1837-08-09,[vide],[indéfini],[indéfini]
