,Title,Author,title,firstAuthor
483,Esther,Pierre DU RYER,Esther,Du Ryer
484,Esther,Pierre DU RYER,Esther,Nadal
485,Esther,Pierre DU RYER,Esther,Racine
486,Lisandre Et Caliste,Pierre DU RYER,Lisandre Et Caliste,Du Ryer
487,Lucrèce,Pierre DU RYER,Lucrèce,Arnault
488,Lucrèce,Pierre DU RYER,Lucrèce,Du Ryer
489,Saül,Pierre DU RYER,Saül,Du Ryer
490,Saül,Pierre DU RYER,Saül,Nadal
491,Saül,Pierre DU RYER,Saül,Voltaire
492,Scévole,Pierre DU RYER,Scévole,Du Ryer
493,Thémistocle,Pierre DU RYER,Thémistocle,Du Ryer
494,Thémistocle,Pierre DU RYER,Thémistocle,Folard
495,Idoménée,Prosper Jolyot de CRÉBILLON,Idoménée,Crébillon
496,Idoménée,Prosper Jolyot de CRÉBILLON,Idoménée,Lemierre
497,Atrée Et Thyeste,Prosper Jolyot de CRÉBILLON,Atrée Et Thyeste,Crébillon
498,Catilina,Prosper Jolyot de CRÉBILLON,Catilina,Crébillon
499,Pyrrhus,Prosper Jolyot de CRÉBILLON,Pyrrhus,Crébillon
500,Sémiramis,Prosper Jolyot de CRÉBILLON,Sémiramis,Bideau de Montigny
501,Sémiramis,Prosper Jolyot de CRÉBILLON,Sémiramis,Crébillon
502,Sémiramis,Prosper Jolyot de CRÉBILLON,Sémiramis,Gilbert
503,Sémiramis,Prosper Jolyot de CRÉBILLON,Sémiramis,Voltaire
504,Le Triumvirat,Prosper Jolyot de CRÉBILLON,Le Triumvirat,Crébillon
505,Molière Chez Ninon,René - Jean-Baptiste DE CHAZET DUBOIS,Molière Chez Ninon,Gouges
506,La Mort De Molière,Théophile Marion DUMERSAN,La Mort De Molière,Cubières-Palmézeaux
507,La Mort De Molière,Théophile Marion DUMERSAN,La Mort De Molière,Cubières-Palmézeaux
508,Lamour À La Mode,Thomas CORNEILLE,Lamour À La Mode,Corneille
509,Antiochus,Thomas CORNEILLE,Antiochus,Corneille
510,Antiochus,Thomas CORNEILLE,Antiochus,Nadal
511,Ariane,Thomas CORNEILLE,Ariane,Corneille
512,Le Baron Dalbikrac,Thomas CORNEILLE,Le Baron Dalbikrac,Corneille
513,Bérénice,Thomas CORNEILLE,Bérénice,Corneille
514,Bérénice,Thomas CORNEILLE,Bérénice,Du Ryer
515,Bérénice,Thomas CORNEILLE,Bérénice,Racine
516,Le Berger Extravagant,Thomas CORNEILLE,Le Berger Extravagant,Corneille
517,Le Charme De La Voix,Thomas CORNEILLE,Le Charme De La Voix,Corneille
518,La Comtesse Dorgueil,Thomas CORNEILLE,La Comtesse Dorgueil,Corneille
519,Le Comte Dessex,Thomas CORNEILLE,Le Comte Dessex,Corneille
520,Le Comte Dessex,Thomas CORNEILLE,Le Comte Dessex,La Calprenede
521,Darius,Thomas CORNEILLE,Darius,Corneille
522,Don Bertran De Cigarral,Thomas CORNEILLE,Don Bertran De Cigarral,Corneille
523,Don César Davalos,Thomas CORNEILLE,Don César Davalos,Corneille
524,Les Engagements Du Hasard,Thomas CORNEILLE,Les Engagements Du Hasard,Corneille
525,Le Feint Astrologue,Thomas CORNEILLE,Le Feint Astrologue,Corneille
526,Le Festin De Pierre,Thomas CORNEILLE,Le Festin De Pierre,Corneille
527,Le Festin De Pierre,Thomas CORNEILLE,Le Festin De Pierre,Deschamps
528,Le Galant Doublé,Thomas CORNEILLE,Le Galant Doublé,Corneille
529,Le Geôlier De Soimême,Thomas CORNEILLE,Le Geôlier De Soimême,Corneille
530,Les Illustres Ennemis,Thomas CORNEILLE,Les Illustres Ennemis,Corneille
531,Maximian,Thomas CORNEILLE,Maximian,Corneille
532,La Mort Dachille,Thomas CORNEILLE,La Mort Dachille,Corneille
533,La Mort Dannibal,Thomas CORNEILLE,La Mort Dannibal,Corneille
534,Persée Et Démétrius,Thomas CORNEILLE,Persée Et Démétrius,Corneille
535,Pyrrhus,Thomas CORNEILLE,Pyrrhus,Crébillon
536,Stilicon,Thomas CORNEILLE,Stilicon,Corneille
537,Théodat,Thomas CORNEILLE,Théodat,Corneille
538,Théodat,Thomas CORNEILLE,Théodat,Gourmont
539,Timocrate,Thomas CORNEILLE,Timocrate,Corneille
540,Bradamante,Thomas - Jean CORNEILLE DONNEAU DE VISÉ,Bradamante,Corneille
541,Bradamante,Thomas - Jean CORNEILLE DONNEAU DE VISÉ,Bradamante,Garnier
542,Circé,Thomas - Jean CORNEILLE DONNEAU DE VISÉ,Circé,Corneille
543,La Devineresse,Thomas - Jean CORNEILLE DONNEAU DE VISÉ,La Devineresse,Donneau de Visé
544,Linconnu,Thomas - Jean CORNEILLE DONNEAU DE VISÉ,Linconnu,Corneille
545,Les Pieds Nickelés,Tristan BERNARD,Les Pieds Nickelés,Bernard
546,Cléopâtre,Victorien - Émile SARDOU MOREAU,Cléopâtre,Benserade
547,Les Gueux,Victor HUGO,Les Gueux,Hugo
548,Ruy Blas,Victor HUGO,Ruy Blas,Hugo
549,Sur La Lisière Dun Bois,Victor HUGO,Sur La Lisière Dun Bois,Hugo
550,Adélaïde Du Guesclin, VOLTAIRE,Adélaïde Du Guesclin,Voltaire
551,Agathocle, VOLTAIRE,Agathocle,Voltaire
552,Alzire, VOLTAIRE,Alzire,Voltaire
553,Amélie, VOLTAIRE,Amélie,Rotrou
554,Brutus, VOLTAIRE,Brutus,Bernard
555,Le Comte De Boursoufle, VOLTAIRE,Le Comte De Boursoufle,Voltaire
556,Le Droit Du Seigneur, VOLTAIRE,Le Droit Du Seigneur,Voltaire
557,Le Fanatisme, VOLTAIRE,Le Fanatisme,Voltaire
558,La Femme Qui A Raison, VOLTAIRE,La Femme Qui A Raison,Voltaire
559,Les Guèbres, VOLTAIRE,Les Guèbres,Voltaire
560,Irène, VOLTAIRE,Irène,Voltaire
561,Mariamne, VOLTAIRE,Mariamne,Nadal
562,Mariamne, VOLTAIRE,Mariamne,Voltaire
563,Mérope, VOLTAIRE,Mérope,Voltaire
564,La Mort De César, VOLTAIRE,La Mort De César,Barbier
565,La Mort De César, VOLTAIRE,La Mort De César,Scudery
566,La Mort De César, VOLTAIRE,La Mort De César,Voltaire
567,Nanine, VOLTAIRE,Nanine,Voltaire
568,Olympie, VOLTAIRE,Olympie,Voltaire
569,Oreste, VOLTAIRE,Oreste,Voltaire
570,Rome Sauvée, VOLTAIRE,Rome Sauvée,Voltaire
571,Saül, VOLTAIRE,Saül,Du Ryer
572,Saül, VOLTAIRE,Saül,Nadal
573,Saül, VOLTAIRE,Saül,Voltaire
574,Les Scythes, VOLTAIRE,Les Scythes,Voltaire
575,Sémiramis, VOLTAIRE,Sémiramis,Bideau de Montigny
576,Sémiramis, VOLTAIRE,Sémiramis,Crébillon
577,Sémiramis, VOLTAIRE,Sémiramis,Gilbert
578,Sémiramis, VOLTAIRE,Sémiramis,Voltaire
579,Socrate, VOLTAIRE,Socrate,Voltaire
580,Sophonisbe, VOLTAIRE,Sophonisbe,Corneille
581,Sophonisbe, VOLTAIRE,Sophonisbe,Mairet
582,Sophonisbe, VOLTAIRE,Sophonisbe,Voltaire
583,Tancrède, VOLTAIRE,Tancrède,Voltaire
584,Tanis Et Zélide, VOLTAIRE,Tanis Et Zélide,Voltaire
585,Zaïre, VOLTAIRE,Zaïre,Voltaire
586,Zulime, VOLTAIRE,Zulime,Voltaire
